

Ente;Liste/Gruppi;Voti;
ALFONSINE;PARTITO DEMOCRATICO;4690;;
ALFONSINE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1076;;
ALFONSINE;FORZA ITALIA;585;;
ALFONSINE;L'ALTRA EUROPA CON TSIPRAS;253;;
ALFONSINE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;232;;
ALFONSINE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;94;;
ALFONSINE;NUOVO CENTRO DESTRA - UDC;73;;
ALFONSINE;VERDI EUROPEI-GREEN ITALIA;52;;
ALFONSINE;ITALIA DEI VALORI;33;;
ALFONSINE;SCELTA EUROPEA;31;;
ALFONSINE;IO CAMBIO - MAIE;14;;
ALFONSINE;SVP;4;;
BAGNACAVALLO;PARTITO DEMOCRATICO;5472;;
BAGNACAVALLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1786;;
BAGNACAVALLO;FORZA ITALIA;912;;
BAGNACAVALLO;L'ALTRA EUROPA CON TSIPRAS;449;;
BAGNACAVALLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;437;;
BAGNACAVALLO;NUOVO CENTRO DESTRA - UDC;189;;
BAGNACAVALLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;173;;
BAGNACAVALLO;VERDI EUROPEI-GREEN ITALIA;124;;
BAGNACAVALLO;ITALIA DEI VALORI;50;;
BAGNACAVALLO;SCELTA EUROPEA;46;;
BAGNACAVALLO;IO CAMBIO - MAIE;13;;
BAGNACAVALLO;SVP;10;;
BAGNARA DI ROMAGNA;PARTITO DEMOCRATICO;747;;
BAGNARA DI ROMAGNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;232;;
BAGNARA DI ROMAGNA;FORZA ITALIA;108;;
BAGNARA DI ROMAGNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;57;;
BAGNARA DI ROMAGNA;NUOVO CENTRO DESTRA - UDC;33;;
BAGNARA DI ROMAGNA;L'ALTRA EUROPA CON TSIPRAS;30;;
BAGNARA DI ROMAGNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;29;;
BAGNARA DI ROMAGNA;VERDI EUROPEI-GREEN ITALIA;12;;
BAGNARA DI ROMAGNA;ITALIA DEI VALORI;5;;
BAGNARA DI ROMAGNA;SCELTA EUROPEA;4;;
BAGNARA DI ROMAGNA;SVP;1;;
BAGNARA DI ROMAGNA;IO CAMBIO - MAIE;0;;
BRISIGHELLA;PARTITO DEMOCRATICO;2292;;
BRISIGHELLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;823;;
BRISIGHELLA;FORZA ITALIA;498;;
BRISIGHELLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;271;;
BRISIGHELLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;155;;
BRISIGHELLA;L'ALTRA EUROPA CON TSIPRAS;149;;
BRISIGHELLA;NUOVO CENTRO DESTRA - UDC;113;;
BRISIGHELLA;VERDI EUROPEI-GREEN ITALIA;34;;
BRISIGHELLA;ITALIA DEI VALORI;26;;
BRISIGHELLA;SCELTA EUROPEA;22;;
BRISIGHELLA;IO CAMBIO - MAIE;7;;
BRISIGHELLA;SVP;4;;
CASOLA VALSENIO;PARTITO DEMOCRATICO;904;;
CASOLA VALSENIO;FORZA ITALIA;220;;
CASOLA VALSENIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;214;;
CASOLA VALSENIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;64;;
CASOLA VALSENIO;L'ALTRA EUROPA CON TSIPRAS;60;;
CASOLA VALSENIO;NUOVO CENTRO DESTRA - UDC;39;;
CASOLA VALSENIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;28;;
CASOLA VALSENIO;VERDI EUROPEI-GREEN ITALIA;17;;
CASOLA VALSENIO;SCELTA EUROPEA;6;;
CASOLA VALSENIO;ITALIA DEI VALORI;5;;
CASOLA VALSENIO;IO CAMBIO - MAIE;2;;
CASOLA VALSENIO;SVP;2;;
CASTEL BOLOGNESE;PARTITO DEMOCRATICO;2720;;
CASTEL BOLOGNESE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;908;;
CASTEL BOLOGNESE;FORZA ITALIA;553;;
CASTEL BOLOGNESE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;250;;
CASTEL BOLOGNESE;L'ALTRA EUROPA CON TSIPRAS;211;;
CASTEL BOLOGNESE;NUOVO CENTRO DESTRA - UDC;211;;
CASTEL BOLOGNESE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;80;;
CASTEL BOLOGNESE;VERDI EUROPEI-GREEN ITALIA;51;;
CASTEL BOLOGNESE;ITALIA DEI VALORI;15;;
CASTEL BOLOGNESE;SCELTA EUROPEA;15;;
CASTEL BOLOGNESE;IO CAMBIO - MAIE;4;;
CASTEL BOLOGNESE;SVP;3;;
CERVIA;PARTITO DEMOCRATICO;8194;;
CERVIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;3326;;
CERVIA;FORZA ITALIA;2306;;
CERVIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;680;;
CERVIA;L'ALTRA EUROPA CON TSIPRAS;466;;
CERVIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;429;;
CERVIA;NUOVO CENTRO DESTRA - UDC;386;;
CERVIA;VERDI EUROPEI-GREEN ITALIA;160;;
CERVIA;SCELTA EUROPEA;102;;
CERVIA;ITALIA DEI VALORI;56;;
CERVIA;IO CAMBIO - MAIE;22;;
CERVIA;SVP;11;;
CONSELICE;PARTITO DEMOCRATICO;3131;;
CONSELICE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;972;;
CONSELICE;FORZA ITALIA;431;;
CONSELICE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;201;;
CONSELICE;L'ALTRA EUROPA CON TSIPRAS;164;;
CONSELICE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;73;;
CONSELICE;NUOVO CENTRO DESTRA - UDC;70;;
CONSELICE;ITALIA DEI VALORI;49;;
CONSELICE;VERDI EUROPEI-GREEN ITALIA;44;;
CONSELICE;IO CAMBIO - MAIE;18;;
CONSELICE;SCELTA EUROPEA;13;;
CONSELICE;SVP;4;;
COTIGNOLA;PARTITO DEMOCRATICO;2588;;
COTIGNOLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;825;;
COTIGNOLA;FORZA ITALIA;401;;
COTIGNOLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;148;;
COTIGNOLA;L'ALTRA EUROPA CON TSIPRAS;128;;
COTIGNOLA;NUOVO CENTRO DESTRA - UDC;111;;
COTIGNOLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;79;;
COTIGNOLA;VERDI EUROPEI-GREEN ITALIA;30;;
COTIGNOLA;SCELTA EUROPEA;20;;
COTIGNOLA;ITALIA DEI VALORI;19;;
COTIGNOLA;IO CAMBIO - MAIE;7;;
COTIGNOLA;SVP;3;;
FAENZA;PARTITO DEMOCRATICO;17056;;
FAENZA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;4752;;
FAENZA;FORZA ITALIA;2760;;
FAENZA;L'ALTRA EUROPA CON TSIPRAS;1349;;
FAENZA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1242;;
FAENZA;NUOVO CENTRO DESTRA - UDC;902;;
FAENZA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;606;;
FAENZA;VERDI EUROPEI-GREEN ITALIA;278;;
FAENZA;SCELTA EUROPEA;143;;
FAENZA;ITALIA DEI VALORI;109;;
FAENZA;IO CAMBIO - MAIE;38;;
FAENZA;SVP;33;;
FUSIGNANO;PARTITO DEMOCRATICO;2837;;
FUSIGNANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;672;;
FUSIGNANO;FORZA ITALIA;369;;
FUSIGNANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;200;;
FUSIGNANO;L'ALTRA EUROPA CON TSIPRAS;179;;
FUSIGNANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;72;;
FUSIGNANO;NUOVO CENTRO DESTRA - UDC;64;;
FUSIGNANO;VERDI EUROPEI-GREEN ITALIA;44;;
FUSIGNANO;ITALIA DEI VALORI;25;;
FUSIGNANO;SCELTA EUROPEA;9;;
FUSIGNANO;IO CAMBIO - MAIE;9;;
FUSIGNANO;SVP;3;;
LUGO;PARTITO DEMOCRATICO;10583;;
LUGO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2745;;
LUGO;FORZA ITALIA;2020;;
LUGO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;783;;
