

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
BELVEDERE DI SPINELLO ;2037;1481;247;300;
CACCURI ;1619;1167;88;123;
CARFIZZI ;633;497;58;76;
CASABONA ;2359;1856;247;337;
CASTELSILANO ;1357;899;90;131;
CERENZIA ;1113;552;7;23;
CIRO' ;2906;721;9;52;
CIRO' MARINA ;11496;3530;43;136;
COTRONEI ;4545;1862;16;88;
CROTONE ;47973;17364;93;614;
CRUCOLI ;3148;2173;185;257;
CUTRO ;8063;3058;23;124;
ISOLA DI CAPO RIZZUTO ;11614;3342;36;156;
MELISSA ;2754;2060;202;268;
MESORACA ;7720;3810;413;577;
PALLAGORIO ;1189;632;26;63;
PETILIA POLICASTRO ;7434;2745;35;144;
ROCCABERNARDA ;2835;1168;6;36;
ROCCA DI NETO ;4596;1646;9;59;
SAN MAURO MARCHESATO ;1772;1506;180;250;
SAN NICOLA DELL'ALTO ;826;581;46;65;
SANTA SEVERINA ;1845;718;9;42;
SAVELLI ;1755;641;15;36;
SCANDALE ;2688;1170;14;45;
STRONGOLI ;5366;2003;16;96;
UMBRIATICO ;807;640;101;127;
VERZINO ;1713;1151;144;225;
