

Ente;Liste/Gruppi;Voti;
CAMANDONA;PARTITO DEMOCRATICO;73;;
CAMANDONA;FORZA ITALIA;61;;
CAMANDONA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;41;;
CAMANDONA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;29;;
CAMANDONA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;11;;
CAMANDONA;VERDI EUROPEI-GREEN ITALIA;5;;
CAMANDONA;SCELTA EUROPEA;5;;
CAMANDONA;L'ALTRA EUROPA CON TSIPRAS;2;;
CAMANDONA;NUOVO CENTRO DESTRA - UDC;2;;
CAMANDONA;ITALIA DEI VALORI;1;;
CAMANDONA;IO CAMBIO - MAIE;1;;
CAMBURZANO;PARTITO DEMOCRATICO;272;;
CAMBURZANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;142;;
CAMBURZANO;FORZA ITALIA;110;;
CAMBURZANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;67;;
CAMBURZANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;34;;
CAMBURZANO;L'ALTRA EUROPA CON TSIPRAS;18;;
CAMBURZANO;SCELTA EUROPEA;17;;
CAMBURZANO;VERDI EUROPEI-GREEN ITALIA;10;;
CAMBURZANO;NUOVO CENTRO DESTRA - UDC;8;;
CAMBURZANO;ITALIA DEI VALORI;7;;
CAMBURZANO;IO CAMBIO - MAIE;2;;
CAMPIGLIA CERVO;PARTITO DEMOCRATICO;35;;
CAMPIGLIA CERVO;FORZA ITALIA;15;;
CAMPIGLIA CERVO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;13;;
CAMPIGLIA CERVO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;12;;
CAMPIGLIA CERVO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;5;;
CAMPIGLIA CERVO;SCELTA EUROPEA;3;;
CAMPIGLIA CERVO;NUOVO CENTRO DESTRA - UDC;3;;
CAMPIGLIA CERVO;VERDI EUROPEI-GREEN ITALIA;2;;
CAMPIGLIA CERVO;L'ALTRA EUROPA CON TSIPRAS;2;;
CAMPIGLIA CERVO;ITALIA DEI VALORI;0;;
CAMPIGLIA CERVO;IO CAMBIO - MAIE;0;;
CANDELO;PARTITO DEMOCRATICO;1639;;
CANDELO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;886;;
