

Ente;Liste/Gruppi;Voti;
ALTIVOLE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;897;;
ALTIVOLE;PARTITO DEMOCRATICO;882;;
ALTIVOLE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;749;;
ALTIVOLE;FORZA ITALIA;741;;
ALTIVOLE;NUOVO CENTRO DESTRA - UDC;76;;
ALTIVOLE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;74;;
ALTIVOLE;SCELTA EUROPEA;33;;
ALTIVOLE;L'ALTRA EUROPA CON TSIPRAS;29;;
ALTIVOLE;VERDI EUROPEI-GREEN ITALIA;27;;
ALTIVOLE;ITALIA DEI VALORI;21;;
ALTIVOLE;SVP;8;;
ALTIVOLE;IO CAMBIO - MAIE;3;;
ARCADE;PARTITO DEMOCRATICO;692;;
ARCADE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;439;;
ARCADE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;367;;
ARCADE;FORZA ITALIA;212;;
ARCADE;L'ALTRA EUROPA CON TSIPRAS;40;;
ARCADE;NUOVO CENTRO DESTRA - UDC;34;;
ARCADE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;34;;
ARCADE;SCELTA EUROPEA;22;;
ARCADE;VERDI EUROPEI-GREEN ITALIA;19;;
ARCADE;ITALIA DEI VALORI;15;;
ARCADE;SVP;8;;
ARCADE;IO CAMBIO - MAIE;4;;
ASOLO;PARTITO DEMOCRATICO;1333;;
ASOLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;977;;
ASOLO;FORZA ITALIA;856;;
ASOLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;783;;
ASOLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;146;;
ASOLO;NUOVO CENTRO DESTRA - UDC;134;;
ASOLO;SCELTA EUROPEA;81;;
ASOLO;L'ALTRA EUROPA CON TSIPRAS;77;;
ASOLO;VERDI EUROPEI-GREEN ITALIA;50;;
ASOLO;ITALIA DEI VALORI;29;;
ASOLO;IO CAMBIO - MAIE;12;;
ASOLO;SVP;11;;
BORSO DEL GRAPPA;PARTITO DEMOCRATICO;747;;
BORSO DEL GRAPPA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;576;;
BORSO DEL GRAPPA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;530;;
BORSO DEL GRAPPA;FORZA ITALIA;366;;
BORSO DEL GRAPPA;NUOVO CENTRO DESTRA - UDC;123;;
BORSO DEL GRAPPA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;75;;
BORSO DEL GRAPPA;L'ALTRA EUROPA CON TSIPRAS;35;;
BORSO DEL GRAPPA;SCELTA EUROPEA;24;;
BORSO DEL GRAPPA;VERDI EUROPEI-GREEN ITALIA;24;;
BORSO DEL GRAPPA;ITALIA DEI VALORI;14;;
BORSO DEL GRAPPA;IO CAMBIO - MAIE;9;;
BORSO DEL GRAPPA;SVP;4;;
BREDA DI PIAVE;PARTITO DEMOCRATICO;1245;;
BREDA DI PIAVE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;733;;
BREDA DI PIAVE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;560;;
BREDA DI PIAVE;FORZA ITALIA;425;;
BREDA DI PIAVE;NUOVO CENTRO DESTRA - UDC;99;;
BREDA DI PIAVE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;72;;
BREDA DI PIAVE;L'ALTRA EUROPA CON TSIPRAS;69;;
BREDA DI PIAVE;SCELTA EUROPEA;43;;
BREDA DI PIAVE;VERDI EUROPEI-GREEN ITALIA;28;;
BREDA DI PIAVE;ITALIA DEI VALORI;13;;
BREDA DI PIAVE;SVP;10;;
BREDA DI PIAVE;IO CAMBIO - MAIE;4;;
CAERANO DI SAN MARCO;PARTITO DEMOCRATICO;1368;;
CAERANO DI SAN MARCO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;986;;
CAERANO DI SAN MARCO;FORZA ITALIA;690;;
CAERANO DI SAN MARCO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;644;;
CAERANO DI SAN MARCO;NUOVO CENTRO DESTRA - UDC;137;;
CAERANO DI SAN MARCO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;113;;
CAERANO DI SAN MARCO;L'ALTRA EUROPA CON TSIPRAS;82;;
CAERANO DI SAN MARCO;VERDI EUROPEI-GREEN ITALIA;41;;
CAERANO DI SAN MARCO;SCELTA EUROPEA;38;;
CAERANO DI SAN MARCO;ITALIA DEI VALORI;22;;
CAERANO DI SAN MARCO;IO CAMBIO - MAIE;9;;
CAERANO DI SAN MARCO;SVP;5;;
CAPPELLA MAGGIORE;PARTITO DEMOCRATICO;824;;
CAPPELLA MAGGIORE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;424;;
CAPPELLA MAGGIORE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;307;;
CAPPELLA MAGGIORE;FORZA ITALIA;221;;
CAPPELLA MAGGIORE;NUOVO CENTRO DESTRA - UDC;95;;
CAPPELLA MAGGIORE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;59;;
CAPPELLA MAGGIORE;L'ALTRA EUROPA CON TSIPRAS;59;;
CAPPELLA MAGGIORE;SCELTA EUROPEA;24;;
CAPPELLA MAGGIORE;VERDI EUROPEI-GREEN ITALIA;14;;
CAPPELLA MAGGIORE;ITALIA DEI VALORI;9;;
CAPPELLA MAGGIORE;SVP;7;;
CAPPELLA MAGGIORE;IO CAMBIO - MAIE;3;;
CARBONERA;PARTITO DEMOCRATICO;2438;;
CARBONERA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1146;;
CARBONERA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;873;;
CARBONERA;FORZA ITALIA;688;;
CARBONERA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;185;;
CARBONERA;L'ALTRA EUROPA CON TSIPRAS;167;;
CARBONERA;NUOVO CENTRO DESTRA - UDC;152;;
CARBONERA;VERDI EUROPEI-GREEN ITALIA;78;;
CARBONERA;SCELTA EUROPEA;58;;
CARBONERA;ITALIA DEI VALORI;36;;
CARBONERA;IO CAMBIO - MAIE;15;;
CARBONERA;SVP;3;;
CASALE SUL SILE;PARTITO DEMOCRATICO;2351;;
CASALE SUL SILE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1451;;
CASALE SUL SILE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;695;;
CASALE SUL SILE;FORZA ITALIA;678;;
CASALE SUL SILE;NUOVO CENTRO DESTRA - UDC;160;;
CASALE SUL SILE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;132;;
CASALE SUL SILE;L'ALTRA EUROPA CON TSIPRAS;119;;
CASALE SUL SILE;VERDI EUROPEI-GREEN ITALIA;44;;
CASALE SUL SILE;SCELTA EUROPEA;34;;
CASALE SUL SILE;ITALIA DEI VALORI;23;;
CASALE SUL SILE;SVP;16;;
CASALE SUL SILE;IO CAMBIO - MAIE;10;;
CASIER;PARTITO DEMOCRATICO;2385;;
CASIER;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1385;;
CASIER;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;763;;
CASIER;FORZA ITALIA;701;;
CASIER;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;189;;
CASIER;NUOVO CENTRO DESTRA - UDC;168;;
CASIER;L'ALTRA EUROPA CON TSIPRAS;158;;
CASIER;VERDI EUROPEI-GREEN ITALIA;81;;
CASIER;SCELTA EUROPEA;58;;
CASIER;ITALIA DEI VALORI;29;;
CASIER;IO CAMBIO - MAIE;12;;
CASIER;SVP;10;;
CASTELCUCCO;PARTITO DEMOCRATICO;262;;
CASTELCUCCO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;258;;
CASTELCUCCO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;157;;
CASTELCUCCO;FORZA ITALIA;121;;
CASTELCUCCO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;23;;
CASTELCUCCO;NUOVO CENTRO DESTRA - UDC;17;;
CASTELCUCCO;SCELTA EUROPEA;10;;
CASTELCUCCO;VERDI EUROPEI-GREEN ITALIA;6;;
CASTELCUCCO;ITALIA DEI VALORI;5;;
CASTELCUCCO;L'ALTRA EUROPA CON TSIPRAS;4;;
CASTELCUCCO;SVP;2;;
CASTELCUCCO;IO CAMBIO - MAIE;0;;
CASTELFRANCO VENETO;PARTITO DEMOCRATICO;6563;;
CASTELFRANCO VENETO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2807;;
CASTELFRANCO VENETO;FORZA ITALIA;2096;;
CASTELFRANCO VENETO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;2058;;
CASTELFRANCO VENETO;L'ALTRA EUROPA CON TSIPRAS;451;;
CASTELFRANCO VENETO;NUOVO CENTRO DESTRA - UDC;407;;
CASTELFRANCO VENETO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;286;;
CASTELFRANCO VENETO;VERDI EUROPEI-GREEN ITALIA;180;;
CASTELFRANCO VENETO;SCELTA EUROPEA;166;;
CASTELFRANCO VENETO;ITALIA DEI VALORI;54;;
CASTELFRANCO VENETO;IO CAMBIO - MAIE;27;;
CASTELFRANCO VENETO;SVP;27;;
CASTELLO DI GODEGO;PARTITO DEMOCRATICO;1096;;
CASTELLO DI GODEGO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;666;;
CASTELLO DI GODEGO;FORZA ITALIA;657;;
CASTELLO DI GODEGO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;587;;
CASTELLO DI GODEGO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;82;;
CASTELLO DI GODEGO;NUOVO CENTRO DESTRA - UDC;76;;
CASTELLO DI GODEGO;L'ALTRA EUROPA CON TSIPRAS;59;;
CASTELLO DI GODEGO;SCELTA EUROPEA;25;;
CASTELLO DI GODEGO;VERDI EUROPEI-GREEN ITALIA;25;;
CASTELLO DI GODEGO;ITALIA DEI VALORI;17;;
CASTELLO DI GODEGO;SVP;4;;
CASTELLO DI GODEGO;IO CAMBIO - MAIE;4;;
CAVASO DEL TOMBA;PARTITO DEMOCRATICO;541;;
CAVASO DEL TOMBA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;372;;
CAVASO DEL TOMBA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;233;;
CAVASO DEL TOMBA;FORZA ITALIA;224;;
CAVASO DEL TOMBA;L'ALTRA EUROPA CON TSIPRAS;55;;
CAVASO DEL TOMBA;NUOVO CENTRO DESTRA - UDC;50;;
CAVASO DEL TOMBA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;36;;
CAVASO DEL TOMBA;SCELTA EUROPEA;16;;
CAVASO DEL TOMBA;ITALIA DEI VALORI;11;;
CAVASO DEL TOMBA;VERDI EUROPEI-GREEN ITALIA;11;;
CAVASO DEL TOMBA;IO CAMBIO - MAIE;5;;
CAVASO DEL TOMBA;SVP;0;;
CESSALTO;PARTITO DEMOCRATICO;553;;
CESSALTO;FORZA ITALIA;293;;
CESSALTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;258;;
CESSALTO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;210;;
CESSALTO;NUOVO CENTRO DESTRA - UDC;35;;
CESSALTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;32;;
CESSALTO;SCELTA EUROPEA;17;;
CESSALTO;L'ALTRA EUROPA CON TSIPRAS;14;;
CESSALTO;VERDI EUROPEI-GREEN ITALIA;13;;
CESSALTO;ITALIA DEI VALORI;6;;
CESSALTO;IO CAMBIO - MAIE;3;;
CESSALTO;SVP;1;;
CHIARANO;PARTITO DEMOCRATICO;552;;
CHIARANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;508;;
CHIARANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;309;;
CHIARANO;FORZA ITALIA;291;;
CHIARANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;50;;
CHIARANO;NUOVO CENTRO DESTRA - UDC;39;;
CHIARANO;L'ALTRA EUROPA CON TSIPRAS;37;;
CHIARANO;VERDI EUROPEI-GREEN ITALIA;19;;
CHIARANO;SCELTA EUROPEA;15;;
CHIARANO;ITALIA DEI VALORI;10;;
CHIARANO;SVP;4;;
CHIARANO;IO CAMBIO - MAIE;2;;
CIMADOLMO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;471;;
CIMADOLMO;PARTITO DEMOCRATICO;420;;
CIMADOLMO;FORZA ITALIA;352;;
CIMADOLMO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;292;;
CIMADOLMO;NUOVO CENTRO DESTRA - UDC;100;;
CIMADOLMO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;71;;
CIMADOLMO;L'ALTRA EUROPA CON TSIPRAS;30;;
CIMADOLMO;SCELTA EUROPEA;23;;
CIMADOLMO;ITALIA DEI VALORI;11;;
CIMADOLMO;VERDI EUROPEI-GREEN ITALIA;10;;
CIMADOLMO;IO CAMBIO - MAIE;8;;
CIMADOLMO;SVP;4;;
CISON DI VALMARINO;PARTITO DEMOCRATICO;416;;
CISON DI VALMARINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;250;;
CISON DI VALMARINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;235;;
CISON DI VALMARINO;FORZA ITALIA;212;;
CISON DI VALMARINO;NUOVO CENTRO DESTRA - UDC;91;;
CISON DI VALMARINO;SCELTA EUROPEA;47;;
CISON DI VALMARINO;L'ALTRA EUROPA CON TSIPRAS;37;;
CISON DI VALMARINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;33;;
CISON DI VALMARINO;VERDI EUROPEI-GREEN ITALIA;30;;
CISON DI VALMARINO;IO CAMBIO - MAIE;13;;
CISON DI VALMARINO;ITALIA DEI VALORI;8;;
CISON DI VALMARINO;SVP;1;;
CODOGNE';PARTITO DEMOCRATICO;889;;
CODOGNE';LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;697;;
CODOGNE';FORZA ITALIA;422;;
CODOGNE';MOVIMENTO 5 STELLE BEPPEGRILLO.IT;414;;
CODOGNE';FRATELLI D'ITALIA - ALLEANZA NAZIONALE;101;;
CODOGNE';NUOVO CENTRO DESTRA - UDC;91;;
CODOGNE';SCELTA EUROPEA;61;;
CODOGNE';L'ALTRA EUROPA CON TSIPRAS;46;;
CODOGNE';VERDI EUROPEI-GREEN ITALIA;30;;
CODOGNE';IO CAMBIO - MAIE;13;;
CODOGNE';ITALIA DEI VALORI;9;;
CODOGNE';SVP;6;;
COLLE UMBERTO;PARTITO DEMOCRATICO;931;;
COLLE UMBERTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;561;;
COLLE UMBERTO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;516;;
COLLE UMBERTO;FORZA ITALIA;343;;
COLLE UMBERTO;L'ALTRA EUROPA CON TSIPRAS;100;;
COLLE UMBERTO;NUOVO CENTRO DESTRA - UDC;75;;
COLLE UMBERTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;68;;
COLLE UMBERTO;SCELTA EUROPEA;65;;
COLLE UMBERTO;VERDI EUROPEI-GREEN ITALIA;23;;
COLLE UMBERTO;ITALIA DEI VALORI;11;;
COLLE UMBERTO;IO CAMBIO - MAIE;6;;
COLLE UMBERTO;SVP;5;;
CONEGLIANO;PARTITO DEMOCRATICO;6369;;
CONEGLIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2442;;
CONEGLIANO;FORZA ITALIA;2259;;
CONEGLIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1749;;
CONEGLIANO;NUOVO CENTRO DESTRA - UDC;738;;
CONEGLIANO;L'ALTRA EUROPA CON TSIPRAS;575;;
CONEGLIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;429;;
CONEGLIANO;SCELTA EUROPEA;265;;
CONEGLIANO;VERDI EUROPEI-GREEN ITALIA;151;;
CONEGLIANO;ITALIA DEI VALORI;45;;
CONEGLIANO;IO CAMBIO - MAIE;33;;
CONEGLIANO;SVP;24;;
CORDIGNANO;PARTITO DEMOCRATICO;1170;;
CORDIGNANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;643;;
CORDIGNANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;515;;
CORDIGNANO;FORZA ITALIA;368;;
CORDIGNANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;95;;
CORDIGNANO;NUOVO CENTRO DESTRA - UDC;92;;
CORDIGNANO;L'ALTRA EUROPA CON TSIPRAS;59;;
CORDIGNANO;SCELTA EUROPEA;42;;
CORDIGNANO;VERDI EUROPEI-GREEN ITALIA;20;;
CORDIGNANO;ITALIA DEI VALORI;12;;
CORDIGNANO;IO CAMBIO - MAIE;7;;
CORDIGNANO;SVP;5;;
CORNUDA;PARTITO DEMOCRATICO;1104;;
CORNUDA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;724;;
CORNUDA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;497;;
CORNUDA;FORZA ITALIA;487;;
CORNUDA;NUOVO CENTRO DESTRA - UDC;108;;
CORNUDA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;82;;
CORNUDA;L'ALTRA EUROPA CON TSIPRAS;69;;
CORNUDA;SCELTA EUROPEA;44;;
CORNUDA;ITALIA DEI VALORI;25;;
CORNUDA;VERDI EUROPEI-GREEN ITALIA;25;;
CORNUDA;SVP;13;;
CORNUDA;IO CAMBIO - MAIE;4;;
CRESPANO DEL GRAPPA;PARTITO DEMOCRATICO;562;;
CRESPANO DEL GRAPPA;FORZA ITALIA;345;;
CRESPANO DEL GRAPPA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;337;;
CRESPANO DEL GRAPPA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;286;;
CRESPANO DEL GRAPPA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;53;;
CRESPANO DEL GRAPPA;NUOVO CENTRO DESTRA - UDC;38;;
CRESPANO DEL GRAPPA;L'ALTRA EUROPA CON TSIPRAS;27;;
CRESPANO DEL GRAPPA;VERDI EUROPEI-GREEN ITALIA;14;;
CRESPANO DEL GRAPPA;SCELTA EUROPEA;9;;
CRESPANO DEL GRAPPA;SVP;5;;
CRESPANO DEL GRAPPA;ITALIA DEI VALORI;4;;
CRESPANO DEL GRAPPA;IO CAMBIO - MAIE;2;;
CROCETTA DEL MONTELLO;PARTITO DEMOCRATICO;946;;
CROCETTA DEL MONTELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;805;;
CROCETTA DEL MONTELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;593;;
CROCETTA DEL MONTELLO;FORZA ITALIA;461;;
CROCETTA DEL MONTELLO;NUOVO CENTRO DESTRA - UDC;116;;
CROCETTA DEL MONTELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;100;;
CROCETTA DEL MONTELLO;L'ALTRA EUROPA CON TSIPRAS;45;;
CROCETTA DEL MONTELLO;VERDI EUROPEI-GREEN ITALIA;40;;
CROCETTA DEL MONTELLO;SCELTA EUROPEA;32;;
CROCETTA DEL MONTELLO;ITALIA DEI VALORI;12;;
CROCETTA DEL MONTELLO;IO CAMBIO - MAIE;8;;
CROCETTA DEL MONTELLO;SVP;7;;
FARRA DI SOLIGO;PARTITO DEMOCRATICO;1261;;
FARRA DI SOLIGO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1137;;
FARRA DI SOLIGO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;771;;
FARRA DI SOLIGO;FORZA ITALIA;692;;
FARRA DI SOLIGO;SCELTA EUROPEA;133;;
FARRA DI SOLIGO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;126;;
FARRA DI SOLIGO;NUOVO CENTRO DESTRA - UDC;103;;
FARRA DI SOLIGO;L'ALTRA EUROPA CON TSIPRAS;99;;
