

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUASPARTA ;3659;2788;90;219;
ALLERONA ;1522;1074;30;68;
ALVIANO ;1230;1050;55;88;
AMELIA ;9712;5955;60;256;
ARRONE ;2198;1761;64;138;
ATTIGLIANO ;1474;942;8;42;
AVIGLIANO UMBRO ;2010;1237;13;74;
BASCHI ;2250;1585;49;116;
CALVI DELL'UMBRIA ;1544;845;6;56;
CASTEL GIORGIO ;1821;1122;4;51;
CASTEL VISCARDO ;2480;2017;98;176;
FABRO ;2285;1682;51;109;
FERENTILLO ;1532;1251;62;107;
FICULLE ;1373;1037;37;67;
GIOVE ;1544;953;12;47;
GUARDEA ;1511;1298;70;122;
LUGNANO IN TEVERINA ;1280;1062;46;97;
MONTECASTRILLI ;3997;2446;22;102;
MONTECCHIO ;1375;1137;59;94;
MONTEFRANCO ;1008;852;30;61;
MONTEGABBIONE ;993;764;34;45;
MONTELEONE D'ORVIETO ;1226;999;35;74;
NARNI ;16143;9837;74;315;
ORVIETO ;16496;12679;298;680;
OTRICOLI ;1539;1179;39;95;
PARRANO ;505;290;2;14;
PENNA IN TEVERINA ;902;674;24;54;
POLINO ;210;194;16;21;
PORANO ;1605;1319;44;98;
SAN GEMINI ;4115;3075;77;193;
SAN VENANZO ;1824;1503;56;96;
STRONCONE ;3916;3018;139;263;
TERNI ;87344;60253;975;2761;
