

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUANEGRA CREMONESE ;982;709;31;53;
AGNADELLO ;2809;2159;48;122;
ANNICCO ;1737;1206;29;77;
AZZANELLO ;523;322;5;13;
BAGNOLO CREMASCO ;3741;2991;66;150;
BONEMERSE ;1256;990;32;72;
BORDOLANO ;435;337;13;27;
CA' D'ANDREA ;368;296;22;30;
CALVATONE ;985;777;21;53;
CAMISANO ;1072;831;22;53;
CAMPAGNOLA CREMASCA ;547;365;2;18;
CAPERGNANICA ;1745;1164;19;47;
CAPPELLA CANTONE ;490;380;17;37;
CAPPELLA DE' PICENARDI ;345;210;17;25;
CAPRALBA ;1996;1433;23;67;
CASALBUTTANO ED UNITI ;3154;2295;58;143;
CASALE CREMASCO VIDOLASCO ;1339;1026;32;80;
CASALETTO CEREDANO ;971;808;32;58;
CASALETTO DI SOPRA ;430;366;11;28;
CASALETTO VAPRIO ;1314;887;14;55;
CASALMAGGIORE ;11195;7884;229;481;
CASALMORANO ;1404;1013;28;66;
CASTELDIDONE ;485;336;9;29;
CASTEL GABBIANO ;326;209;3;9;
CASTELLEONE ;7484;5528;109;284;
CASTELVERDE ;4653;3353;79;198;
CASTELVISCONTI ;250;227;11;25;
CELLA DATI ;458;329;14;25;
CHIEVE ;1807;1368;39;92;
CICOGNOLO ;734;540;17;46;
CINGIA DE' BOTTI ;1066;738;39;62;
CORTE DE' CORTESI CON CIGNONE ;812;516;23;47;
CORTE DE' FRATI ;1196;708;10;32;
CREDERA RUBBIANO ;1370;895;10;36;
CREMA ;26772;17414;131;527;
CREMONA ;54984;39469;596;1589;
CREMOSANO ;1350;838;14;55;
CROTTA D'ADDA ;527;382;10;20;
CUMIGNANO SUL NAVIGLIO ;342;262;14;28;
DEROVERE ;260;173;10;15;
DOVERA ;2989;2195;38;101;
DRIZZONA ;434;363;12;15;
FIESCO ;916;609;14;46;
FORMIGARA ;882;702;20;49;
GABBIONETA BINANUOVA ;829;569;23;45;
GADESCO PIEVE DELMONA ;1516;1029;25;58;
GENIVOLTA ;910;725;24;49;
GERRE DE' CAPRIOLI ;1035;814;16;40;
GOMBITO ;564;424;20;41;
GRONTARDO ;1208;917;28;53;
GRUMELLO CREMONESE ED UNITI ;1516;1154;37;76;
GUSSOLA ;2140;1654;42;101;
ISOLA DOVARESE ;1000;797;31;55;
IZANO ;1660;1104;16;62;
MADIGNANO ;2304;1743;48;118;
MALAGNINO ;1354;968;34;58;
MARTIGNANA DI PO ;1451;1085;45;83;
MONTE CREMASCO ;1763;1324;26;94;
MONTODINE ;2054;1668;38;101;
MOSCAZZANO ;651;506;23;34;
MOTTA BALUFFI ;978;578;14;44;
OFFANENGO ;4649;3206;75;203;
OLMENETA ;816;561;11;26;
OSTIANO ;2298;1723;73;133;
PADERNO PONCHIELLI ;1233;879;28;58;
PALAZZO PIGNANO ;3003;1957;12;85;
PANDINO ;6676;4911;99;261;
PERSICO DOSIMO ;2697;2072;58;127;
PESCAROLO ED UNITI ;1318;938;35;76;
PESSINA CREMONESE ;511;407;19;25;
PIADENA ;2764;2056;35;90;
PIANENGO ;2006;1325;14;48;
PIERANICA ;895;745;30;57;
PIEVE D'OLMI ;1099;800;24;57;
PIEVE SAN GIACOMO ;1237;792;12;26;
PIZZIGHETTONE ;5349;3388;32;230;
POZZAGLIO ED UNITI ;1168;692;8;35;
QUINTANO ;678;517;14;31;
RICENGO ;1285;942;22;57;
RIPALTA ARPINA ;805;636;26;46;
RIPALTA CREMASCA ;2803;2181;49;119;
RIPALTA GUERINA ;430;398;15;29;
RIVAROLO DEL RE ED UNITI ;1526;1129;30;72;
RIVOLTA D'ADDA ;6453;4023;34;148;
ROBECCO D'OGLIO ;1865;1134;14;62;
ROMANENGO ;2320;1858;44;103;
SALVIROLA ;939;741;35;52;
SAN BASSANO ;1681;1271;38;98;
SAN DANIELE PO ;1334;941;47;91;
SAN GIOVANNI IN CROCE ;1367;828;13;32;
SAN MARTINO DEL LAGO ;435;251;7;17;
SCANDOLARA RAVARA ;1259;886;41;60;
SCANDOLARA RIPA D'OGLIO ;475;356;26;40;
SERGNANO ;2718;2058;58;145;
SESTO ED UNITI ;2527;1590;12;72;
SOLAROLO RAINERIO ;738;566;17;27;
SONCINO ;6256;4104;43;151;
SORESINA ;6576;4800;91;234;
SOSPIRO ;2724;1807;64;175;
SPINADESCO ;1326;1021;36;67;
SPINEDA ;511;420;18;31;
SPINO D'ADDA ;5219;3250;24;123;
STAGNO LOMBARDO ;1361;966;23;59;
TICENGO ;386;331;11;20;
TORLINO VIMERCATI ;347;269;4;8;
TORNATA ;391;323;10;24;
TORRE DE' PICENARDI ;1505;1034;40;76;
TORRICELLA DEL PIZZO ;640;309;5;13;
TRESCORE CREMASCO ;2182;1406;7;59;
TRIGOLO ;1530;1095;32;73;
VAIANO CREMASCO ;3012;2341;68;150;
VAILATE ;3398;2501;64;174;
VESCOVATO ;2987;2189;71;153;
VOLONGO ;439;369;17;31;
VOLTIDO ;335;249;18;24;
