

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ANDREIS ;258;184;13;26;
ARBA ;1144;756;33;66;
ARZENE ;1597;762;8;35;
AVIANO ;7542;3894;33;147;
AZZANO DECIMO ;13045;6911;66;258;
BARCIS ;266;119;0;8;
BRUGNERA ;7414;5148;123;297;
BUDOIA ;2099;1429;25;89;
CANEVA ;6475;2943;17;93;
CASARSA DELLA DELIZIA ;7249;3620;34;153;
CASTELNOVO DEL FRIULI ;1025;368;1;9;
CAVASSO NUOVO ;1522;877;18;67;
CHIONS ;4285;2837;96;198;
CIMOLAIS ;405;175;5;15;
CLAUT ;879;374;5;11;
CLAUZETTO ;555;155;1;5;
CORDENONS ;15993;8878;49;292;
CORDOVADO ;2289;1598;67;128;
ERTO E CASSO ;429;151;1;12;
FANNA ;1468;910;33;80;
FIUME VENETO ;9874;5211;35;196;
FONTANAFREDDA ;9976;6585;156;378;
FRISANCO ;926;375;13;39;
MANIAGO ;9526;4843;31;231;
MEDUNO ;1444;1042;26;65;
MONTEREALE VALCELLINA ;3810;2178;17;92;
MORSANO AL TAGLIAMENTO ;2725;1681;68;148;
PASIANO DI PORDENONE ;6324;4335;140;290;
PINZANO AL TAGLIAMENTO ;1320;651;7;36;
POLCENIGO ;3081;1483;16;55;
PORCIA ;12575;8571;114;431;
PORDENONE ;39238;22946;125;568;
PRATA DI PORDENONE ;6551;3537;27;135;
PRAVISDOMINI ;2626;1251;6;52;
ROVEREDO IN PIANO ;4803;3521;56;183;
SACILE ;16128;10738;206;531;
SAN GIORGIO DELLA RICHINVELDA ;4361;1929;17;71;
SAN MARTINO AL TAGLIAMENTO ;1443;895;36;58;
SAN QUIRINO ;3772;2150;10;63;
SAN VITO AL TAGLIAMENTO ;12868;6655;50;243;
SEQUALS ;1937;983;8;45;
SESTO AL REGHENA ;5623;3695;127;293;
SPILIMBERGO ;9795;5094;30;159;
TRAMONTI DI SOPRA ;531;270;21;28;
TRAMONTI DI SOTTO ;441;300;9;15;
TRAVESIO ;1745;742;6;32;
VAJONT ;1188;594;3;24;
VALVASONE ;2153;1332;45;88;
VITO D'ASIO ;1106;365;3;14;
VIVARO ;1194;842;33;62;
ZOPPOLA ;7770;3731;21;139;
