

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUASANTA TERME ;3580;1435;14;52;
ACQUAVIVA PICENA ;3175;1637;19;65;
APPIGNANO DEL TRONTO ;1688;1078;12;54;
ARQUATA DEL TRONTO ;1329;563;9;29;
ASCOLI PICENO ;42478;32480;1204;2159;
CARASSAI ;1093;717;45;75;
CASTEL DI LAMA ;6791;5442;187;336;
CASTIGNANO ;2565;1935;132;216;
CASTORANO ;1901;1509;69;130;
COLLI DEL TRONTO ;2948;2333;110;167;
COMUNANZA ;2628;2154;190;268;
COSSIGNANO ;1037;631;46;51;
CUPRA MARITTIMA ;4522;3233;133;218;
FOLIGNANO ;7711;5875;222;417;
FORCE ;1294;606;18;40;
GROTTAMMARE ;12700;7260;59;195;
MALTIGNANO ;2089;1602;50;122;
MASSIGNANO ;1435;1035;70;118;
MONSAMPOLO DEL TRONTO ;3638;2690;115;198;
MONTALTO DELLE MARCHE ;2105;1573;106;141;
MONTEDINOVE ;556;361;27;43;
MONTEFIORE DELL'ASO ;1890;1360;73;117;
MONTEGALLO ;548;241;1;8;
MONTEMONACO ;553;455;48;76;
MONTEPRANDONE ;9745;7158;284;456;
OFFIDA ;4450;3402;106;203;
PALMIANO ;185;154;15;17;
RIPATRANSONE ;3738;2044;36;112;
ROCCAFLUVIONE ;1826;1497;100;170;
ROTELLA ;788;633;65;81;
SAN BENEDETTO DEL TRONTO ;38813;21984;154;570;
SPINETOLI ;5550;4209;123;248;
VENAROTTA ;1852;1427;103;176;
