

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUAVIVA DELLE FONTI ;17464;8305;72;322;
ADELFIA ;15043;6694;49;276;
ALBEROBELLO ;9601;4675;82;263;
ALTAMURA ;53326;26717;232;1269;
BARI ;273433;189274;10604;17540;
BINETTO ;1810;1591;105;162;
BITETTO ;9771;5116;32;249;
BITONTO ;45667;20180;196;1244;
BITRITTO ;9727;7222;372;635;
CAPURSO ;13174;5646;36;194;
CASAMASSIMA ;16114;6394;46;254;
CASSANO DELLE MURGE ;12011;8735;407;781;
CASTELLANA GROTTE ;17070;8726;100;434;
CELLAMARE ;4720;3571;149;293;
CONVERSANO ;22300;9996;87;404;
CORATO ;39632;29292;1589;2573;
GIOIA DEL COLLE ;23163;11307;129;627;
GIOVINAZZO ;18126;7683;77;310;
GRAVINA IN PUGLIA ;34523;15090;91;741;
GRUMO APPULA ;11368;4954;43;224;
LOCOROTONDO ;12250;6460;117;434;
MODUGNO ;31741;13714;79;531;
MOLA DI BARI ;24748;8943;64;336;
MOLFETTA ;53905;18511;107;511;
MONOPOLI ;41746;18540;171;800;
NOCI ;16196;8759;84;357;
NOICATTARO ;20688;8853;67;307;
PALO DEL COLLE ;18123;7781;62;373;
POGGIORSINI ;1128;1056;85;121;
POLIGNANO A MARE ;16100;7102;80;333;
PUTIGNANO ;23074;18053;899;1756;
RUTIGLIANO ;15149;12081;805;1193;
RUVO DI PUGLIA ;20845;9657;123;521;
SAMMICHELE DI BARI ;5902;2773;32;146;
SANNICANDRO DI BARI ;9368;3816;34;154;
SANTERAMO IN COLLE ;22284;11496;127;700;
TERLIZZI ;22195;9514;101;628;
TORITTO ;7646;5775;357;518;
TRIGGIANO ;24216;10077;46;313;
TURI ;10783;8008;494;836;
VALENZANO ;15827;7345;29;191;
