

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AMEGLIA ;3818;2839;84;181;
ARCOLA ;8573;5717;90;258;
BEVERINO ;2225;1686;74;159;
BOLANO ;6582;4648;133;313;
BONASSOLA ;838;608;15;33;
BORGHETTO DI VARA ;1096;516;5;13;
BRUGNATO ;1079;624;12;25;
CALICE AL CORNOVIGLIO ;1138;693;22;55;
CARRO ;660;297;1;12;
CARRODANO ;556;341;14;20;
CASTELNUOVO MAGRA ;7001;4990;104;267;
DEIVA MARINA ;1368;987;30;53;
FOLLO ;5387;3837;117;260;
FRAMURA ;757;483;16;37;
LA SPEZIA ;75055;41828;221;1253;
LERICI ;9128;5369;34;179;
LEVANTO ;4956;2787;14;97;
MAISSANA ;591;422;31;41;
MONTEROSSO AL MARE ;1787;1047;30;72;
ORTONOVO ;6998;4110;20;146;
PIGNONE ;877;445;28;45;
PORTOVENERE ;3513;1934;17;56;
RICCO' DEL GOLFO DI SPEZIA ;3183;2223;73;175;
RIOMAGGIORE ;1650;983;10;34;
ROCCHETTA DI VARA ;613;474;29;51;
SANTO STEFANO DI MAGRA ;7495;4570;24;153;
SARZANA ;18111;10539;43;304;
SESTA GODANO ;1597;1016;70;123;
VARESE LIGURE ;2104;1362;86;169;
VERNAZZA ;1002;577;17;33;
VEZZANO LIGURE ;6198;4398;82;190;
ZIGNAGO ;464;385;24;44;
