

Ente;Liste/Gruppi;Voti;
ARGENTA;PARTITO DEMOCRATICO;7134;;
ARGENTA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2187;;
ARGENTA;FORZA ITALIA;1602;;
ARGENTA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;575;;
ARGENTA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;530;;
ARGENTA;L'ALTRA EUROPA CON TSIPRAS;268;;
ARGENTA;NUOVO CENTRO DESTRA - UDC;207;;
ARGENTA;VERDI EUROPEI-GREEN ITALIA;123;;
ARGENTA;ITALIA DEI VALORI;57;;
ARGENTA;SCELTA EUROPEA;50;;
ARGENTA;IO CAMBIO - MAIE;19;;
ARGENTA;SVP;11;;
BERRA;PARTITO DEMOCRATICO;1389;;
BERRA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;529;;
BERRA;FORZA ITALIA;519;;
BERRA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;169;;
BERRA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;83;;
BERRA;NUOVO CENTRO DESTRA - UDC;75;;
BERRA;L'ALTRA EUROPA CON TSIPRAS;38;;
BERRA;VERDI EUROPEI-GREEN ITALIA;33;;
BERRA;ITALIA DEI VALORI;20;;
BERRA;SCELTA EUROPEA;10;;
BERRA;IO CAMBIO - MAIE;5;;
BERRA;SVP;4;;
BONDENO;PARTITO DEMOCRATICO;3952;;
BONDENO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1399;;
BONDENO;FORZA ITALIA;1384;;
BONDENO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1317;;
BONDENO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;268;;
BONDENO;NUOVO CENTRO DESTRA - UDC;161;;
BONDENO;L'ALTRA EUROPA CON TSIPRAS;159;;
BONDENO;VERDI EUROPEI-GREEN ITALIA;85;;
BONDENO;SCELTA EUROPEA;37;;
