

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALAGNA ;769;452;3;20;
ALBAREDO ARNABOLDI ;206;135;10;19;
ALBONESE ;500;393;17;36;
ALBUZZANO ;2644;1968;53;146;
ARENA PO ;1320;1009;40;82;
BADIA PAVESE ;314;190;0;1;
BAGNARIA ;668;448;14;27;
BARBIANELLO ;718;541;18;38;
BASCAPE' ;1339;1090;14;51;
BASTIDA PANCARANA ;890;533;7;21;
BATTUDA ;523;403;12;57;
BELGIOIOSO ;4789;3652;98;317;
BEREGUARDO ;2208;1686;35;84;
BORGARELLO ;2038;1277;18;50;
BORGO PRIOLO ;1209;945;47;83;
BORGORATTO MORMOROLO ;333;233;13;15;
BORGO SAN SIRO ;847;519;6;21;
BORNASCO ;1978;1461;22;79;
BOSNASCO ;526;357;3;14;
BRALLO DI PREGOLA ;634;462;38;51;
BREME ;888;364;5;21;
BRESSANA BOTTARONE ;2909;2100;46;120;
BRONI ;7157;4424;35;157;
CALVIGNANO ;107;57;1;2;
CAMPOSPINOSO ;873;606;32;59;
CANDIA LOMELLINA ;1601;1046;32;94;
CANEVINO ;105;84;7;10;
CANNETO PAVESE ;1282;823;24;51;
CARBONARA AL TICINO ;1199;955;21;50;
CASANOVA LONATI ;381;303;11;17;
CASATISMA ;788;609;24;42;
CASEI GEROLA ;2171;1617;56;138;
CASORATE PRIMO ;6508;4834;99;315;
CASSOLNOVO ;5917;3929;103;286;
CASTANA ;606;507;32;48;
CASTEGGIO ;5623;4045;93;240;
CASTELLETTO DI BRANDUZZO ;902;682;38;60;
CASTELLO D'AGOGNA ;901;542;6;20;
CASTELNOVETTO ;604;380;16;25;
CAVA MANARA ;5343;4207;99;234;
CECIMA ;201;173;12;29;
CERANOVA ;1491;1135;33;74;
CERETTO LOMELLINA ;195;115;3;9;
CERGNAGO ;670;475;13;32;
CERTOSA DI PAVIA ;4094;2900;41;144;
CERVESINA ;1028;883;48;83;
CHIGNOLO PO ;2996;2164;63;142;
CIGOGNOLA ;1208;915;31;51;
CILAVEGNA ;4578;3312;85;218;
CODEVILLA ;916;717;24;52;
CONFIENZA ;1422;809;12;59;
COPIANO ;1431;1203;58;118;
CORANA ;692;609;37;53;
CORNALE E BASTIDA ;765;612;39;59;
CORTEOLONA ;1567;959;11;50;
CORVINO SAN QUIRICO ;992;707;24;33;
COSTA DE' NOBILI ;280;166;3;9;
COZZO ;385;154;3;11;
CURA CARPIGNANO ;3544;2723;68;186;
DORNO ;3769;2723;71;193;
FERRERA ERBOGNONE ;887;713;25;64;
FILIGHERA ;661;522;16;52;
FORTUNAGO ;353;230;9;14;
FRASCAROLO ;1090;619;10;34;
GALLIAVOLA ;189;142;6;8;
GAMBARANA ;209;147;5;14;
GAMBOLO' ;8288;4597;48;224;
GARLASCO ;8202;4640;47;165;
GENZONE ;290;240;7;46;
GERENZAGO ;1059;855;37;86;
GIUSSAGO ;3937;2403;16;96;
GODIASCO SALICE TERME ;2687;1985;59;117;
GOLFERENZO ;160;122;5;8;
GRAVELLONA LOMELLINA ;2255;1270;7;59;
GROPELLO CAIROLI ;3768;2228;25;92;
INVERNO E MONTELEONE ;1129;899;33;102;
LANDRIANO ;4613;3505;70;193;
LANGOSCO ;513;279;4;11;
LARDIRAGO ;994;554;6;25;
LINAROLO ;2167;1538;31;133;
LIRIO ;123;90;11;15;
LOMELLO ;1913;1411;45;102;
LUNGAVILLA ;2054;1585;52;104;
MAGHERNO ;1334;1069;33;70;
MARCIGNAGO ;1941;1537;40;112;
MARZANO ;1138;698;9;26;
MEDE ;5552;3045;30;171;
MENCONICO ;391;265;27;40;
MEZZANA BIGLI ;1082;540;8;23;
