

Ente;Liste/Gruppi;Voti;
ARMUNGIA;PARTITO DEMOCRATICO;81;;
ARMUNGIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;29;;
ARMUNGIA;FORZA ITALIA;14;;
ARMUNGIA;L'ALTRA EUROPA CON TSIPRAS;6;;
ARMUNGIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;5;;
ARMUNGIA;NUOVO CENTRO DESTRA - UDC;4;;
ARMUNGIA;ITALIA DEI VALORI;2;;
ARMUNGIA;VERDI EUROPEI-GREEN ITALIA;1;;
ARMUNGIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
ARMUNGIA;SCELTA EUROPEA;0;;
ARMUNGIA;IO CAMBIO - MAIE;0;;
ASSEMINI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;3730;;
ASSEMINI;PARTITO DEMOCRATICO;2795;;
ASSEMINI;FORZA ITALIA;1193;;
ASSEMINI;L'ALTRA EUROPA CON TSIPRAS;333;;
ASSEMINI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;301;;
ASSEMINI;NUOVO CENTRO DESTRA - UDC;162;;
ASSEMINI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;103;;
ASSEMINI;SCELTA EUROPEA;80;;
ASSEMINI;VERDI EUROPEI-GREEN ITALIA;47;;
ASSEMINI;ITALIA DEI VALORI;26;;
ASSEMINI;IO CAMBIO - MAIE;4;;
BALLAO;PARTITO DEMOCRATICO;95;;
BALLAO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;73;;
BALLAO;FORZA ITALIA;44;;
BALLAO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;18;;
BALLAO;NUOVO CENTRO DESTRA - UDC;12;;
BALLAO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;5;;
BALLAO;L'ALTRA EUROPA CON TSIPRAS;4;;
BALLAO;ITALIA DEI VALORI;2;;
BALLAO;VERDI EUROPEI-GREEN ITALIA;1;;
BALLAO;IO CAMBIO - MAIE;0;;
BALLAO;SCELTA EUROPEA;0;;
BARRALI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;117;;
BARRALI;PARTITO DEMOCRATICO;87;;
BARRALI;FORZA ITALIA;64;;
BARRALI;NUOVO CENTRO DESTRA - UDC;26;;
BARRALI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;5;;
BARRALI;L'ALTRA EUROPA CON TSIPRAS;4;;
BARRALI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
BARRALI;IO CAMBIO - MAIE;0;;
BARRALI;VERDI EUROPEI-GREEN ITALIA;0;;
BARRALI;ITALIA DEI VALORI;0;;
BARRALI;SCELTA EUROPEA;0;;
BURCEI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;173;;
BURCEI;PARTITO DEMOCRATICO;129;;
BURCEI;FORZA ITALIA;124;;
BURCEI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;55;;
BURCEI;NUOVO CENTRO DESTRA - UDC;15;;
BURCEI;L'ALTRA EUROPA CON TSIPRAS;6;;
BURCEI;SCELTA EUROPEA;6;;
BURCEI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;5;;
BURCEI;VERDI EUROPEI-GREEN ITALIA;1;;
BURCEI;ITALIA DEI VALORI;1;;
BURCEI;IO CAMBIO - MAIE;1;;
CAGLIARI;PARTITO DEMOCRATICO;22904;;
CAGLIARI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;15099;;
CAGLIARI;FORZA ITALIA;9484;;
CAGLIARI;L'ALTRA EUROPA CON TSIPRAS;3674;;
CAGLIARI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;2384;;
CAGLIARI;NUOVO CENTRO DESTRA - UDC;1907;;
CAGLIARI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;732;;
CAGLIARI;SCELTA EUROPEA;619;;
CAGLIARI;VERDI EUROPEI-GREEN ITALIA;366;;
CAGLIARI;ITALIA DEI VALORI;204;;
CAGLIARI;IO CAMBIO - MAIE;33;;
CAPOTERRA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2838;;
CAPOTERRA;PARTITO DEMOCRATICO;2427;;
CAPOTERRA;FORZA ITALIA;1217;;
CAPOTERRA;L'ALTRA EUROPA CON TSIPRAS;310;;
CAPOTERRA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;249;;
