

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AILOCHE ;285;149;1;13;
ANDORNO MICCA ;3043;2001;72;178;
BENNA ;988;784;40;76;
BIELLA ;37169;24985;588;1527;
BIOGLIO ;841;599;23;57;
BORRIANA ;760;612;45;72;
BRUSNENGO ;2282;1267;51;136;
CALLABIANA ;120;98;1;6;
CAMANDONA ;334;255;12;24;
CAMBURZANO ;1009;759;31;72;
CAMPIGLIA CERVO ;203;104;6;14;
CANDELO ;6634;4602;128;360;
CAPRILE ;184;139;1;8;
CASAPINTA ;416;278;17;32;
CASTELLETTO CERVO ;700;414;8;34;
CAVAGLIA' ;2905;2228;95;259;
CERRETO CASTELLO ;530;415;11;35;
CERRIONE ;2496;1854;85;207;
COGGIOLA ;1741;1016;19;67;
COSSATO ;12532;8653;225;602;
CREVACUORE ;1375;1037;57;113;
CROSA ;266;184;9;20;
CURINO ;510;282;23;39;
DONATO ;613;376;31;57;
DORZANO ;434;268;5;18;
GAGLIANICO ;3188;2353;77;190;
GIFFLENGA ;100;82;10;14;
GRAGLIA ;1390;999;63;140;
LESSONA ;2161;1575;57;130;
MAGNANO ;382;252;10;25;
MASSAZZA ;439;332;18;38;
MASSERANO ;1968;986;20;57;
MEZZANA MORTIGLIENGO ;520;319;4;24;
MIAGLIANO ;538;370;27;47;
MONGRANDO ;3300;2423;98;227;
MOSSO ;1417;923;57;109;
MOTTALCIATA ;1205;857;53;109;
MUZZANO ;571;414;21;39;
NETRO ;861;656;37;82;
OCCHIEPPO INFERIORE ;3345;2393;79;194;
OCCHIEPPO SUPERIORE ;2423;1897;99;201;
PETTINENGO ;1280;923;35;88;
PIATTO ;473;387;16;47;
PIEDICAVALLO ;199;139;5;12;
POLLONE ;1828;1273;53;109;
PONDERANO ;3259;2395;76;174;
PORTULA ;1218;835;39;82;
PRALUNGO ;2270;1576;83;160;
PRAY ;1985;1367;56;124;
QUAREGNA ;1146;858;27;81;
QUITTENGO ;223;142;7;15;
RONCO BIELLESE ;1268;921;24;66;
ROPPOLO ;772;626;26;52;
ROSAZZA ;100;67;0;4;
SAGLIANO MICCA ;1495;967;29;80;
SALA BIELLESE ;515;313;11;40;
SALUSSOLA ;1711;1180;56;138;
SANDIGLIANO ;2336;1761;68;157;
SAN PAOLO CERVO ;160;95;3;4;
SELVE MARCONE ;78;59;3;6;
SOPRANA ;656;483;33;65;
SORDEVOLO ;1114;834;46;98;
SOSTEGNO ;651;505;29;59;
STRONA ;1009;622;28;58;
TAVIGLIANO ;845;512;6;41;
TERNENGO ;248;168;2;7;
TOLLEGNO ;2157;1397;52;126;
TORRAZZO ;175;144;11;21;
TRIVERO ;5056;2966;53;197;
VALDENGO ;2096;1603;78;165;
VALLANZENGO ;207;129;2;7;
VALLE MOSSO ;2876;1848;66;168;
VALLE SAN NICOLAO ;983;608;22;52;
VEGLIO ;456;243;11;23;
VERRONE ;1028;816;28;75;
VIGLIANO BIELLESE ;6874;5016;153;374;
VILLA DEL BOSCO ;318;216;12;25;
VILLANOVA BIELLESE ;168;156;13;21;
VIVERONE ;1152;904;36;81;
ZIMONE ;367;304;35;49;
ZUBIENA ;1052;810;36;101;
ZUMAGLIA ;925;724;33;82;
