

Ente;Liste/Gruppi;Voti;
CROTONE;PARTITO DEMOCRATICO;6566;;
CROTONE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;4952;;
CROTONE;FORZA ITALIA;2397;;
CROTONE;NUOVO CENTRO DESTRA - UDC;1412;;
CROTONE;L'ALTRA EUROPA CON TSIPRAS;662;;
CROTONE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;443;;
CROTONE;ITALIA DEI VALORI;99;;
CROTONE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;88;;
CROTONE;SCELTA EUROPEA;67;;
CROTONE;VERDI EUROPEI-GREEN ITALIA;52;;
CROTONE;IO CAMBIO - MAIE;12;;
CRUCOLI;PARTITO DEMOCRATICO;800;;
CRUCOLI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;474;;
CRUCOLI;FORZA ITALIA;293;;
CRUCOLI;NUOVO CENTRO DESTRA - UDC;127;;
CRUCOLI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;98;;
CRUCOLI;L'ALTRA EUROPA CON TSIPRAS;47;;
CRUCOLI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;27;;
CRUCOLI;ITALIA DEI VALORI;16;;
CRUCOLI;SCELTA EUROPEA;14;;
CRUCOLI;VERDI EUROPEI-GREEN ITALIA;13;;
CRUCOLI;IO CAMBIO - MAIE;7;;
CUTRO;PARTITO DEMOCRATICO;971;;
CUTRO;FORZA ITALIA;645;;
CUTRO;NUOVO CENTRO DESTRA - UDC;431;;
CUTRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;430;;
CUTRO;L'ALTRA EUROPA CON TSIPRAS;114;;
CUTRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;88;;
CUTRO;ITALIA DEI VALORI;82;;
CUTRO;SCELTA EUROPEA;74;;
CUTRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;48;;
CUTRO;VERDI EUROPEI-GREEN ITALIA;41;;
CUTRO;IO CAMBIO - MAIE;10;;
ISOLA DI CAPO RIZZUTO;FORZA ITALIA;1110;;
ISOLA DI CAPO RIZZUTO;PARTITO DEMOCRATICO;860;;
ISOLA DI CAPO RIZZUTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;598;;
ISOLA DI CAPO RIZZUTO;NUOVO CENTRO DESTRA - UDC;411;;
ISOLA DI CAPO RIZZUTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;92;;
ISOLA DI CAPO RIZZUTO;L'ALTRA EUROPA CON TSIPRAS;60;;
ISOLA DI CAPO RIZZUTO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;21;;
ISOLA DI CAPO RIZZUTO;VERDI EUROPEI-GREEN ITALIA;12;;
ISOLA DI CAPO RIZZUTO;SCELTA EUROPEA;10;;
ISOLA DI CAPO RIZZUTO;ITALIA DEI VALORI;6;;
ISOLA DI CAPO RIZZUTO;IO CAMBIO - MAIE;6;;
MELISSA;PARTITO DEMOCRATICO;695;;
MELISSA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;485;;
MELISSA;FORZA ITALIA;324;;
MELISSA;NUOVO CENTRO DESTRA - UDC;113;;
MELISSA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;59;;
MELISSA;SCELTA EUROPEA;36;;
MELISSA;L'ALTRA EUROPA CON TSIPRAS;28;;
MELISSA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;24;;
MELISSA;ITALIA DEI VALORI;18;;
MELISSA;VERDI EUROPEI-GREEN ITALIA;6;;
MELISSA;IO CAMBIO - MAIE;4;;
MESORACA;PARTITO DEMOCRATICO;1127;;
MESORACA;FORZA ITALIA;824;;
MESORACA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;548;;
MESORACA;NUOVO CENTRO DESTRA - UDC;287;;
MESORACA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;147;;
MESORACA;ITALIA DEI VALORI;113;;
MESORACA;SCELTA EUROPEA;86;;
MESORACA;L'ALTRA EUROPA CON TSIPRAS;39;;
MESORACA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;27;;
MESORACA;IO CAMBIO - MAIE;20;;
MESORACA;VERDI EUROPEI-GREEN ITALIA;15;;
PALLAGORIO;PARTITO DEMOCRATICO;216;;
PALLAGORIO;FORZA ITALIA;215;;
PALLAGORIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;78;;
PALLAGORIO;NUOVO CENTRO DESTRA - UDC;31;;
PALLAGORIO;L'ALTRA EUROPA CON TSIPRAS;18;;
PALLAGORIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;6;;
PALLAGORIO;ITALIA DEI VALORI;3;;
PALLAGORIO;IO CAMBIO - MAIE;1;;
PALLAGORIO;SCELTA EUROPEA;1;;
PALLAGORIO;VERDI EUROPEI-GREEN ITALIA;0;;
PALLAGORIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;0;;
PETILIA POLICASTRO;PARTITO DEMOCRATICO;1232;;
PETILIA POLICASTRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;531;;
PETILIA POLICASTRO;NUOVO CENTRO DESTRA - UDC;371;;
PETILIA POLICASTRO;FORZA ITALIA;311;;
PETILIA POLICASTRO;SCELTA EUROPEA;58;;
PETILIA POLICASTRO;L'ALTRA EUROPA CON TSIPRAS;45;;
PETILIA POLICASTRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;23;;
PETILIA POLICASTRO;ITALIA DEI VALORI;14;;
PETILIA POLICASTRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;9;;
PETILIA POLICASTRO;VERDI EUROPEI-GREEN ITALIA;5;;
PETILIA POLICASTRO;IO CAMBIO - MAIE;2;;
ROCCABERNARDA;PARTITO DEMOCRATICO;578;;
ROCCABERNARDA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;243;;
ROCCABERNARDA;FORZA ITALIA;139;;
ROCCABERNARDA;NUOVO CENTRO DESTRA - UDC;71;;
ROCCABERNARDA;L'ALTRA EUROPA CON TSIPRAS;39;;
ROCCABERNARDA;SCELTA EUROPEA;32;;
ROCCABERNARDA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;18;;
ROCCABERNARDA;ITALIA DEI VALORI;10;;
ROCCABERNARDA;VERDI EUROPEI-GREEN ITALIA;1;;
ROCCABERNARDA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
ROCCABERNARDA;IO CAMBIO - MAIE;0;;
ROCCA DI NETO;PARTITO DEMOCRATICO;527;;
