

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGLIE' ;2200;1691;84;217;
AIRASCA ;3177;2176;72;177;
ALA DI STURA ;391;322;34;56;
ALBIANO D'IVREA ;1494;903;10;54;
ALICE SUPERIORE ;653;438;29;45;
ALMESE ;5192;4071;108;281;
ALPETTE ;252;232;14;22;
ALPIGNANO ;14241;9397;89;383;
ANDEZENO ;1551;1249;57;116;
ANDRATE ;432;310;22;43;
ANGROGNA ;839;433;6;26;
ARIGNANO ;861;692;25;55;
AVIGLIANA ;10171;6864;59;269;
AZEGLIO ;1065;664;8;37;
BAIRO ;692;405;8;37;
BALANGERO ;2684;1736;24;79;
BALDISSERO CANAVESE ;458;294;4;12;
BALDISSERO TORINESE ;3038;2168;46;119;
BALME ;106;87;4;7;
BANCHETTE ;2573;1740;42;95;
BARBANIA ;1378;971;38;100;
BARDONECCHIA ;2556;1532;24;70;
BARONE CANAVESE ;513;374;11;19;
BEINASCO ;14821;11109;202;605;
BIBIANA ;2938;1623;48;141;
BOBBIO PELLICE ;1087;372;19;41;
BOLLENGO ;1806;1097;22;95;
BORGARO TORINESE ;10957;8460;172;464;
BORGIALLO ;462;346;17;36;
BORGOFRANCO D'IVREA ;3053;2252;66;196;
BORGOMASINO ;680;361;3;14;
BORGONE SUSA ;1867;1363;48;102;
BOSCONERO ;2526;1956;72;167;
BRANDIZZO ;6789;5008;185;399;
BRICHERASIO ;4182;2847;141;278;
BROSSO ;389;219;6;17;
BROZOLO ;412;324;21;36;
BRUINO ;6810;5196;124;334;
BRUSASCO ;1411;820;16;66;
BRUZOLO ;1255;979;34;69;
BURIASCO ;1295;800;31;89;
BUROLO ;1061;818;23;56;
BUSANO ;1263;1052;63;127;
BUSSOLENO ;5092;3771;94;249;
BUTTIGLIERA ALTA ;5282;4083;82;221;
CAFASSE ;2885;2154;60;190;
CALUSO ;6616;4520;147;360;
CAMBIANO ;5125;3579;35;197;
CAMPIGLIONE-FENILE ;1214;894;53;120;
CANDIA CANAVESE ;1169;845;53;118;
CANDIOLO ;4629;3668;118;244;
CANISCHIO ;246;197;9;34;
CANTALUPA ;2180;1552;56;123;
CANTOIRA ;471;352;10;37;
CAPRIE ;1700;1350;35;86;
CARAVINO ;852;514;12;39;
CAREMA ;626;395;31;57;
CARIGNANO ;7755;4773;98;334;
CARMAGNOLA ;22231;13582;225;922;
CASALBORGONE ;1542;1001;25;68;
CASCINETTE D'IVREA ;1230;836;13;44;
CASELETTE ;2426;1962;46;122;
CASELLE TORINESE ;14935;9629;120;480;
CASTAGNETO PO ;1486;1124;30;64;
CASTAGNOLE PIEMONTE ;1936;1393;61;133;
CASTELLAMONTE ;7838;4612;77;276;
