

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
BIBBONA ;2527;1944;27;83;
CAMPIGLIA MARITTIMA ;10632;7559;112;303;
CAMPO NELL'ELBA ;4180;2938;94;208;
CAPOLIVERI ;3084;2217;95;145;
CAPRAIA ISOLA ;379;193;1;6;
CASTAGNETO CARDUCCI ;6862;5056;97;265;
CECINA ;22555;15903;281;697;
COLLESALVETTI ;13697;9588;118;326;
LIVORNO ;134162;88702;920;2705;
MARCIANA ;2422;1368;91;163;
MARCIANA MARINA ;2067;870;21;49;
PIOMBINO ;27787;19505;230;703;
PORTO AZZURRO ;2875;1549;14;56;
PORTOFERRAIO ;9761;6586;193;431;
RIO MARINA ;1885;983;16;40;
RIO NELL'ELBA ;981;738;44;70;
ROSIGNANO MARITTIMO ;26288;17565;211;588;
SAN VINCENZO ;5724;4238;59;191;
SASSETTA ;377;246;2;11;
SUVERETO ;2442;1983;35;102;
