

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
BELLARIA-IGEA MARINA ;14291;10766;217;505;
CASTELDELCI ;383;316;27;33;
CATTOLICA ;13359;8334;42;175;
CORIANO ;8542;5941;41;190;
GEMMANO ;1208;599;8;28;
MAIOLO ;710;594;20;43;
MISANO ADRIATICO ;10041;7017;89;227;
MONDAINO ;1141;809;23;78;
MONTE COLOMBO ;2767;1591;9;39;
MONTEFIORE CONCA ;1950;1357;45;91;
MONTEGRIDOLFO ;835;576;14;37;
MONTESCUDO ;2807;1937;43;113;
MORCIANO DI ROMAGNA ;5350;3799;86;194;
NOVAFELTRIA ;5948;3869;29;137;
PENNABILLI ;2482;1504;11;57;
POGGIO TORRIANA ;4039;3091;83;184;
RICCIONE ;27863;20203;284;651;
RIMINI ;114082;71331;353;1532;
SALUDECIO ;2498;1775;43;93;
SAN CLEMENTE ;4133;2863;58;127;
SAN GIOVANNI IN MARIGNANO ;7401;5544;80;175;
SAN LEO ;2691;1972;55;135;
SANT'AGATA FELTRIA ;1898;1372;50;88;
SANTARCANGELO DI ROMAGNA ;17336;12698;209;520;
TALAMELLO ;921;747;24;42;
VERUCCHIO ;8152;5750;110;253;
