

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AIELLO DEL FRIULI ;2027;1111;12;58;
AMARO ;699;480;32;49;
AMPEZZO ;1067;700;36;76;
AQUILEIA ;2852;2088;38;96;
ARTA TERME ;2029;878;2;27;
ARTEGNA ;3076;1857;53;131;
ATTIMIS ;1625;1220;41;101;
BAGNARIA ARSA ;3380;1767;4;67;
BASILIANO ;4687;3251;95;214;
BERTIOLO ;2434;1250;7;40;
BICINICCO ;1803;1200;42;88;
BORDANO ;718;318;5;17;
BUJA ;6080;2855;20;94;
BUTTRIO ;3399;2307;41;113;
CAMINO AL TAGLIAMENTO ;1686;1145;45;95;
CAMPOFORMIDO ;6474;4520;99;241;
CAMPOLONGO TAPOGLIANO ;1058;760;19;46;
CARLINO ;2445;1838;69;153;
CASSACCO ;2696;1791;49;147;
CASTIONS DI STRADA ;3392;2256;69;164;
CAVAZZO CARNICO ;968;678;30;58;
CERCIVENTO ;641;421;17;73;
CERVIGNANO DEL FRIULI ;10898;6037;32;209;
CHIOPRIS-VISCONE ;558;394;14;27;
CHIUSAFORTE ;875;422;21;59;
CIVIDALE DEL FRIULI ;9377;5277;34;189;
CODROIPO ;13919;7209;45;233;
COLLOREDO DI MONTE ALBANO ;2135;1427;38;102;
COMEGLIANS ;545;223;3;9;
CORNO DI ROSAZZO ;2724;2006;47;156;
COSEANO ;1983;1385;50;96;
DIGNANO ;2326;1288;43;98;
DOGNA ;212;70;1;7;
DRENCHIA ;190;48;1;3;
ENEMONZO ;1261;736;35;61;
FAEDIS ;2897;1361;10;62;
FAGAGNA ;5627;3622;86;213;
FIUMICELLO ;4238;3009;66;155;
FLAIBANO ;1055;682;23;59;
FORGARIA NEL FRIULI ;1915;719;8;38;
FORNI AVOLTRI ;597;446;31;71;
FORNI DI SOPRA ;1015;706;31;62;
FORNI DI SOTTO ;662;460;41;62;
GEMONA DEL FRIULI ;11008;6839;245;620;
GONARS ;4201;2917;86;208;
GRIMACCO ;416;276;10;21;
