

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUARICA DEL CAPO ;4933;3247;270;395;
ALESSANO ;6093;2539;38;117;
ALEZIO ;5216;2000;23;72;
ALLISTE ;5804;1969;32;130;
ANDRANO ;4321;3461;271;445;
ARADEO ;8695;3521;52;170;
ARNESANO ;3201;1586;21;73;
BAGNOLO DEL SALENTO ;1774;1415;156;204;
BOTRUGNO ;2900;2091;162;238;
CALIMERA ;6177;3716;40;141;
CAMPI SALENTINA ;9056;7357;658;991;
CANNOLE ;1556;837;14;31;
CAPRARICA DI LECCE ;2173;998;16;54;
CARMIANO ;10180;4430;83;271;
CARPIGNANO SALENTINO ;3586;2689;196;294;
CASARANO ;17451;7062;70;368;
CASTRI DI LECCE ;2471;2143;170;283;
CASTRIGNANO DE' GRECI ;4258;1839;37;86;
CASTRIGNANO DEL CAPO ;5299;2109;24;100;
CASTRO ;2118;1246;19;42;
CAVALLINO ;9999;5276;71;234;
COLLEPASSO ;5704;2417;47;119;
COPERTINO ;19842;15462;1420;2245;
CORIGLIANO D'OTRANTO ;5503;2641;38;132;
CORSANO ;4933;3835;328;451;
CURSI ;3740;2917;225;319;
CUTROFIANO ;8149;3289;45;168;
DISO ;2818;1566;30;108;
GAGLIANO DEL CAPO ;5377;1963;24;104;
GALATINA ;23378;10450;150;507;
GALATONE ;13521;6210;78;305;
GALLIPOLI ;17943;7250;65;368;
GIUGGIANELLO ;1093;936;81;103;
GIURDIGNANO ;1687;807;15;43;
GUAGNANO ;5119;2070;41;123;
LECCE ;75905;35442;239;1372;
LEQUILE ;7091;5545;310;567;
LEVERANO ;11395;4876;79;243;
LIZZANELLO ;9537;4997;64;258;
MAGLIE ;12940;7605;111;365;
MARTANO ;8738;4082;64;223;
MARTIGNANO ;1499;1286;91;140;
MATINO ;10653;3910;61;258;
MELENDUGNO ;8390;3772;42;164;
MELISSANO ;6246;2438;40;121;
MELPIGNANO ;2309;1139;17;44;
MIGGIANO ;3205;2568;223;324;
MINERVINO DI LECCE ;3305;2699;239;348;
MONTERONI DI LECCE ;11310;5673;75;320;
MONTESANO SALENTINO ;2277;1069;16;70;
MORCIANO DI LEUCA ;3857;2401;206;281;
MURO LECCESE ;4658;3580;212;360;
NARDO' ;26620;13704;132;554;
NEVIANO ;4916;2055;32;95;
NOCIGLIA ;2258;1031;27;77;
NOVOLI ;6996;3211;40;147;
ORTELLE ;2084;1143;23;84;
OTRANTO ;4907;2347;28;64;
PALMARIGGI ;1402;1182;158;224;
PARABITA ;8699;3633;26;132;
PATU' ;1695;915;10;26;
POGGIARDO ;5325;2694;37;138;
PORTO CESAREO ;4790;2070;22;59;
PRESICCE ;5937;3811;313;418;
RACALE ;9173;3448;41;172;
RUFFANO ;8572;2834;35;134;
SALICE SALENTINO ;7124;3552;61;204;
SALVE ;5360;1900;27;108;
SANARICA ;1326;1086;90;135;
SAN CASSIANO ;1859;974;30;70;
SAN CESARIO DI LECCE ;6715;3585;45;190;
SAN DONATO DI LECCE ;4885;2592;49;148;
SANNICOLA ;5713;2466;36;128;
SAN PIETRO IN LAMA ;3076;1378;24;80;
SANTA CESAREA TERME ;2586;1308;33;93;
SCORRANO ;6478;2700;40;163;
SECLI' ;1661;1389;165;207;
SOGLIANO CAVOUR ;3546;1830;32;105;
SOLETO ;4695;3890;305;412;
SPECCHIA ;4593;3421;228;373;
SPONGANO ;3310;1727;64;113;
SQUINZANO ;12516;5882;93;320;
STERNATIA ;2083;1813;155;214;
SUPERSANO ;3950;2904;292;456;
SURANO ;1640;1272;167;208;
SURBO ;12091;4910;73;294;
TAURISANO ;11855;3712;31;135;
TAVIANO ;10266;4068;51;206;
TIGGIANO ;2518;2062;173;238;
TREPUZZI ;12209;6027;73;288;
TRICASE ;15501;7014;111;386;
TUGLIE ;5386;3654;255;402;
UGENTO ;11686;3943;56;220;
UGGIANO LA CHIESA ;3946;1993;26;79;
VEGLIE ;11828;4711;62;261;
VERNOLE ;6221;2848;52;206;
ZOLLINO ;1986;1548;152;201;
