

Ente;Liste/Gruppi;Voti;
ACERNO;PARTITO DEMOCRATICO;365;;
ACERNO;FORZA ITALIA;315;;
ACERNO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;296;;
ACERNO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;132;;
ACERNO;L'ALTRA EUROPA CON TSIPRAS;52;;
ACERNO;NUOVO CENTRO DESTRA - UDC;25;;
ACERNO;SCELTA EUROPEA;16;;
ACERNO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;5;;
ACERNO;ITALIA DEI VALORI;4;;
ACERNO;VERDI EUROPEI-GREEN ITALIA;4;;
ACERNO;IO CAMBIO - MAIE;2;;
AGROPOLI;PARTITO DEMOCRATICO;3399;;
AGROPOLI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1758;;
AGROPOLI;FORZA ITALIA;1638;;
AGROPOLI;NUOVO CENTRO DESTRA - UDC;415;;
AGROPOLI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;291;;
AGROPOLI;L'ALTRA EUROPA CON TSIPRAS;217;;
AGROPOLI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;42;;
AGROPOLI;VERDI EUROPEI-GREEN ITALIA;35;;
AGROPOLI;SCELTA EUROPEA;27;;
AGROPOLI;ITALIA DEI VALORI;16;;
AGROPOLI;IO CAMBIO - MAIE;12;;
ALBANELLA;PARTITO DEMOCRATICO;1106;;
ALBANELLA;FORZA ITALIA;1057;;
ALBANELLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;971;;
ALBANELLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;256;;
ALBANELLA;NUOVO CENTRO DESTRA - UDC;144;;
ALBANELLA;L'ALTRA EUROPA CON TSIPRAS;101;;
ALBANELLA;SCELTA EUROPEA;43;;
ALBANELLA;VERDI EUROPEI-GREEN ITALIA;25;;
ALBANELLA;ITALIA DEI VALORI;24;;
ALBANELLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;19;;
ALBANELLA;IO CAMBIO - MAIE;18;;
ALFANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;173;;
ALFANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;72;;
ALFANO;PARTITO DEMOCRATICO;71;;
ALFANO;NUOVO CENTRO DESTRA - UDC;50;;
ALFANO;FORZA ITALIA;45;;
ALFANO;L'ALTRA EUROPA CON TSIPRAS;7;;
ALFANO;VERDI EUROPEI-GREEN ITALIA;3;;
ALFANO;IO CAMBIO - MAIE;2;;
ALFANO;ITALIA DEI VALORI;2;;
ALFANO;SCELTA EUROPEA;0;;
ALFANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;0;;
ALTAVILLA SILENTINA;PARTITO DEMOCRATICO;1105;;
ALTAVILLA SILENTINA;FORZA ITALIA;686;;
ALTAVILLA SILENTINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;578;;
ALTAVILLA SILENTINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;119;;
ALTAVILLA SILENTINA;NUOVO CENTRO DESTRA - UDC;102;;
ALTAVILLA SILENTINA;L'ALTRA EUROPA CON TSIPRAS;72;;
ALTAVILLA SILENTINA;SCELTA EUROPEA;18;;
ALTAVILLA SILENTINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;16;;
ALTAVILLA SILENTINA;ITALIA DEI VALORI;7;;
ALTAVILLA SILENTINA;VERDI EUROPEI-GREEN ITALIA;4;;
ALTAVILLA SILENTINA;IO CAMBIO - MAIE;2;;
AMALFI;PARTITO DEMOCRATICO;905;;
AMALFI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;405;;
AMALFI;FORZA ITALIA;359;;
AMALFI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;186;;
AMALFI;NUOVO CENTRO DESTRA - UDC;58;;
