

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AFRICO ;2416;1041;6;32;
AGNANA CALABRA ;518;380;47;57;
ANOIA ;2157;714;12;55;
ANTONIMINA ;1269;408;14;44;
ARDORE ;4469;1774;20;75;
BAGALADI ;976;753;96;123;
BAGNARA CALABRA ;11021;3683;28;154;
BENESTARE ;2178;1660;229;367;
BIANCO ;3787;1327;13;54;
BIVONGI ;1654;627;11;55;
BOVA ;427;160;4;8;
BOVALINO ;6996;3090;49;205;
BOVA MARINA ;3398;2490;182;371;
BRANCALEONE ;3296;2282;227;336;
BRUZZANO ZEFFIRIO ;1231;375;5;18;
CALANNA ;882;405;9;35;
CAMINI ;852;266;2;13;
CAMPO CALABRO ;3769;1737;19;114;
CANDIDONI ;476;114;2;6;
CANOLO ;744;567;64;100;
CARAFFA DEL BIANCO ;642;260;5;10;
CARDETO ;1527;1166;105;149;
CARERI ;2009;1101;148;249;
CASIGNANA ;885;349;1;8;
CAULONIA ;7343;2488;18;185;
CIMINA' ;626;127;2;7;
CINQUEFRONDI ;6404;2473;34;140;
CITTANOVA ;8198;6253;496;817;
CONDOFURI ;4250;1405;20;96;
COSOLETO ;1083;325;2;8;
DELIANUOVA ;3265;1038;21;69;
FEROLETO DELLA CHIESA ;1585;1117;200;284;
FERRUZZANO ;937;240;3;15;
FIUMARA ;1148;394;7;31;
GALATRO ;2074;574;9;36;
GERACE ;2464;980;13;71;
GIFFONE ;1739;817;12;40;
GIOIA TAURO ;15040;5158;47;288;
GIOIOSA IONICA ;6798;2116;24;118;
GROTTERIA ;3730;868;22;50;
LAGANADI ;369;214;4;13;
LAUREANA DI BORRELLO ;5201;2151;33;179;
LOCRI ;10100;3981;43;251;
MAMMOLA ;4121;813;9;41;
MARINA DI GIOIOSA IONICA ;6064;1943;26;98;
MAROPATI ;1525;503;4;26;
MARTONE ;581;374;45;58;
MELICUCCA' ;1212;313;3;13;
MELICUCCO ;4256;1125;31;74;
MELITO DI PORTO SALVO ;9288;3525;36;193;
MOLOCHIO ;2494;931;11;78;
MONASTERACE ;2869;2185;141;246;
MONTEBELLO IONICO ;5308;1840;13;91;
MOTTA SAN GIOVANNI ;5213;2231;26;106;
OPPIDO MAMERTINA ;5525;3456;363;549;
PALIZZI ;2111;1517;167;257;
PALMI ;15913;5941;57;356;
PAZZANO ;660;233;3;19;
PLACANICA ;1267;427;3;15;
PLATI' ;3923;981;75;157;
POLISTENA ;8820;3747;40;254;
PORTIGLIOLA ;1108;348;5;21;
REGGIO DI CALABRIA ;147213;64608;472;3968;
RIACE ;1760;1139;143;192;
RIZZICONI ;6204;2399;38;186;
ROCCAFORTE DEL GRECO ;494;261;25;43;
ROCCELLA IONICA ;7081;4085;329;684;
ROGHUDI ;870;298;4;20;
ROSARNO ;11361;3904;51;251;
SAMO ;889;264;6;10;
SAN FERDINANDO ;3808;1367;15;67;
SAN GIORGIO MORGETO ;3385;1039;7;54;
SAN GIOVANNI DI GERACE ;696;362;67;80;
SAN LORENZO ;2531;701;7;39;
SAN LUCA ;2966;689;6;33;
SAN PIETRO DI CARIDA' ;1469;789;87;120;
SAN PROCOPIO ;586;140;4;9;
SAN ROBERTO ;1760;1259;131;231;
SANTA CRISTINA D'ASPROMONTE ;1066;625;92;147;
SANT'AGATA DEL BIANCO ;583;237;3;6;
SANT'ALESSIO IN ASPROMONTE ;296;199;15;19;
SANT'EUFEMIA D'ASPROMONTE ;3766;1083;27;82;
SANT'ILARIO DELLO IONIO ;1203;707;82;132;
SANTO STEFANO IN ASPROMONTE ;1129;609;4;26;
SCIDO ;928;551;92;131;
SCILLA ;5419;1999;18;133;
SEMINARA ;2853;726;6;36;
SERRATA ;1015;270;8;20;
SIDERNO ;15857;4990;54;260;
SINOPOLI ;2355;481;8;25;
STAITI ;355;74;1;2;
STIGNANO ;1185;766;107;156;
STILO ;2438;919;12;54;
TAURIANOVA ;13726;4342;62;270;
TERRANOVA SAPPO MINULIO ;517;140;4;6;
VARAPODIO ;2486;897;17;62;
VILLA SAN GIOVANNI ;11217;5403;60;364;
