

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALTIVOLE ;5534;3740;85;200;
ARCADE ;3540;1934;14;48;
ASOLO ;7074;4751;109;262;
BORSO DEL GRAPPA ;4639;2623;22;96;
BREDA DI PIAVE ;6476;3429;28;128;
CAERANO DI SAN MARCO ;6172;4352;93;217;
CAPPELLA MAGGIORE ;4547;2131;17;85;
CARBONERA ;8904;6125;110;286;
CASALE SUL SILE ;10205;5900;36;187;
CASIER ;8918;6192;110;253;
CASTELCUCCO ;1922;891;6;26;
CASTELFRANCO VENETO ;27890;15615;109;493;
CASTELLO DI GODEGO ;5563;3416;28;118;
CAVASO DEL TOMBA ;2731;1678;38;124;
CESSALTO ;3273;1488;9;53;
CHIARANO ;3093;1957;48;121;
CIMADOLMO ;2707;1917;67;125;
CISON DI VALMARINO ;2912;1501;57;128;
CODOGNE' ;4977;2966;84;187;
COLLE UMBERTO ;4524;2870;69;166;
CONEGLIANO ;26762;15487;117;408;
CORDIGNANO ;7123;3156;26;128;
CORNUDA ;5155;3406;100;224;
CRESPANO DEL GRAPPA ;3468;1747;11;65;
CROCETTA DEL MONTELLO ;5112;3398;93;233;
FARRA DI SOLIGO ;7076;4769;145;326;
FOLLINA ;3379;2139;51;116;
FONTANELLE ;4806;2491;23;99;
FONTE ;4334;3040;76;176;
FREGONA ;3339;1795;70;147;
GAIARINE ;5191;3693;98;200;
GIAVERA DEL MONTELLO ;4642;2923;78;163;
GODEGA DI SANT'URBANO ;5611;2750;23;91;
GORGO AL MONTICANO ;3593;2406;51;146;
ISTRANA ;7567;3980;36;152;
LORIA ;7611;5109;133;302;
MANSUE' ;3845;2628;79;182;
MARENO DI PIAVE ;8230;4303;36;172;
MASER ;4508;3036;62;206;
MASERADA SUL PIAVE ;7350;4905;94;267;
MEDUNA DI LIVENZA ;2699;1684;44;95;
MIANE ;3137;1939;44;126;
MOGLIANO VENETO ;22281;15172;201;579;
MONASTIER DI TREVISO ;3468;2488;69;149;
MONFUMO ;1479;619;6;33;
MONTEBELLUNA ;25028;12899;97;451;
MORGANO ;3703;2511;50;126;
MORIAGO DELLA BATTAGLIA ;2451;1201;8;39;
MOTTA DI LIVENZA ;8598;4502;36;179;
NERVESA DELLA BATTAGLIA ;5871;3023;17;90;
ODERZO ;16197;9000;67;303;
ORMELLE ;3510;2327;74;147;
ORSAGO ;3129;2164;53;116;
PADERNO DEL GRAPPA ;1809;1243;40;82;
PAESE ;17314;12135;184;591;
PEDEROBBA ;6777;4023;119;241;
PIEVE DI SOLIGO ;8714;5789;124;324;
PONTE DI PIAVE ;6266;4520;152;280;
PONZANO VENETO ;9880;6829;118;313;
PORTOBUFFOLE' ;652;369;3;12;
POSSAGNO ;1852;833;10;33;
POVEGLIANO ;4571;2891;58;150;
PREGANZIOL ;13417;9532;141;392;
QUINTO DI TREVISO ;7762;5469;104;256;
REFRONTOLO ;1455;1047;34;92;
RESANA ;7559;5240;131;331;
REVINE LAGO ;1908;1285;34;92;
RIESE PIO X ;9039;6148;123;346;
RONCADE ;11527;8052;164;436;
SALGAREDA ;5096;3497;83;194;
SAN BIAGIO DI CALLALTA ;10301;5718;44;193;
SAN FIOR ;5747;3607;84;225;
SAN PIETRO DI FELETTO ;4612;3192;82;176;
SAN POLO DI PIAVE ;3988;2459;98;178;
SANTA LUCIA DI PIAVE ;7153;3876;33;138;
SAN VENDEMIANO ;8160;5508;141;342;
SAN ZENONE DEGLI EZZELINI ;5387;3943;88;234;
SARMEDE ;2579;1812;51;127;
SEGUSINO ;1829;900;5;34;
SERNAGLIA DELLA BATTAGLIA ;4969;3354;88;220;
SILEA ;8145;4955;33;156;
SPRESIANO ;9024;4888;40;205;
SUSEGANA ;8973;4901;39;189;
TARZO ;4025;1919;10;46;
TREVIGNANO ;8827;4608;38;160;
TREVISO ;65118;38797;203;852;
VALDOBBIADENE ;9082;5896;162;395;
VAZZOLA ;5270;3684;112;267;
VEDELAGO ;13447;7273;53;278;
VIDOR ;3142;1696;16;63;
VILLORBA ;14783;8566;59;255;
VITTORIO VENETO ;25076;15685;322;821;
VOLPAGO DEL MONTELLO ;9285;4537;32;153;
ZENSON DI PIAVE ;1370;802;6;26;
ZERO BRANCO ;8873;6224;137;367;
