

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGUGLIARO ;1233;930;28;61;
ALBETTONE ;1800;1185;34;99;
ALONTE ;1318;929;34;73;
ALTAVILLA VICENTINA ;9058;6515;129;325;
ALTISSIMO ;1869;1357;52;111;
ARCUGNANO ;6520;4969;92;246;
ARSIERO ;2784;1922;75;180;
ARZIGNANO ;18088;13464;274;629;
ASIAGO ;5697;4278;146;333;
ASIGLIANO VENETO ;720;524;14;35;
BARBARANO VICENTINO ;3451;2494;72;129;
BASSANO DEL GRAPPA ;34495;23659;471;1101;
BOLZANO VICENTINO ;5222;3131;18;92;
BREGANZE ;7255;5163;116;262;
BRENDOLA ;5275;3245;28;96;
BRESSANVIDO ;2544;1842;54;129;
BROGLIANO ;3070;1823;15;79;
CALDOGNO ;9078;5517;42;182;
CALTRANO ;2265;1605;45;126;
CALVENE ;1145;813;36;59;
CAMISANO VICENTINO ;7910;5952;144;323;
CAMPIGLIA DEI BERICI ;1513;1162;38;70;
CAMPOLONGO SUL BRENTA ;736;489;15;38;
CARRE' ;2893;2109;56;137;
CARTIGLIANO ;2977;2278;45;121;
CASSOLA ;11141;8438;147;398;
CASTEGNERO ;2343;1493;39;80;
CASTELGOMBERTO ;4872;2749;21;86;
CHIAMPO ;9177;5832;56;179;
CHIUPPANO ;2234;1487;39;89;
CISMON DEL GRAPPA ;1122;571;21;44;
COGOLLO DEL CENGIO ;2867;1622;16;54;
CONCO ;2260;1412;37;113;
CORNEDO VICENTINO ;9587;6894;117;332;
COSTABISSARA ;5716;3619;33;106;
CREAZZO ;8552;6247;111;307;
CRESPADORO ;1049;606;2;24;
DUEVILLE ;11424;8128;178;406;
ENEGO ;2213;874;6;24;
FARA VICENTINO ;3282;2491;53;133;
FOZA ;859;539;34;67;
GALLIO ;2182;1650;47;117;
GAMBELLARA ;2581;1514;17;53;
GAMBUGLIANO ;706;544;10;32;
GRANCONA ;1505;1207;36;76;
GRISIGNANO DI ZOCCO ;3298;2399;60;127;
GRUMOLO DELLE ABBADESSE ;2857;2112;65;125;
ISOLA VICENTINA ;7903;5631;119;291;
LAGHI ;147;94;11;18;
LASTEBASSE ;201;143;10;14;
LONGARE ;4684;3301;63;175;
LONIGO ;11420;6579;56;246;
LUGO DI VICENZA ;3011;2337;80;138;
LUSIANA ;2447;1614;47;105;
MALO ;11693;7066;72;258;
MARANO VICENTINO ;7647;4488;30;183;
MAROSTICA ;12347;7054;48;258;
MASON VICENTINO ;3308;2141;46;111;
MOLVENA ;2416;1521;23;67;
MONTEBELLO VICENTINO ;4982;3534;87;180;
MONTECCHIO MAGGIORE ;16912;12341;273;635;
MONTECCHIO PRECALCINO ;4146;3119;88;209;
MONTE DI MALO ;2468;1752;49;107;
MONTEGALDA ;2610;1617;11;58;
MONTEGALDELLA ;1490;1135;36;68;
MONTEVIALE ;2174;1320;5;42;
MONTICELLO CONTE OTTO ;7446;5559;118;273;
MONTORSO VICENTINO ;2376;1789;68;125;
MOSSANO ;1440;818;11;38;
MUSSOLENTE ;6251;4614;106;261;
NANTO ;2372;1491;20;69;
NOGAROLE VICENTINO ;964;793;20;71;
NOVE ;4151;3187;71;193;
NOVENTA VICENTINA ;7278;4937;120;268;
ORGIANO ;2615;1487;14;61;
PEDEMONTE ;746;532;22;42;
PIANEZZE ;1856;1361;19;72;
PIOVENE ROCCHETTE ;6462;4518;106;265;
POJANA MAGGIORE ;3688;2650;65;190;
POSINA ;966;254;1;11;
POVE DEL GRAPPA ;2618;2048;39;108;
POZZOLEONE ;2195;1748;72;138;
QUINTO VICENTINO ;4418;2704;12;94;
RECOARO TERME ;6048;3182;15;142;
ROANA ;3965;2949;102;192;
ROMANO D'EZZELINO ;11255;7031;46;233;
ROSA' ;11483;7007;42;238;
ROSSANO VENETO ;6481;3726;29;123;
ROTZO ;718;337;3;21;
SALCEDO ;908;706;24;62;
SANDRIGO ;6721;3812;32;117;
SAN GERMANO DEI BERICI ;937;580;4;24;
SAN NAZARIO ;1711;1035;38;84;
SAN PIETRO MUSSOLINO ;1066;887;19;41;
SANTORSO ;4652;3509;91;178;
SAN VITO DI LEGUZZANO ;2943;2151;46;97;
SARCEDO ;4313;3297;64;176;
SAREGO ;4857;2892;25;100;
SCHIAVON ;2334;1556;57;119;
SCHIO ;30993;20970;373;858;
SOLAGNA ;1534;1136;39;91;
SOSSANO ;3405;2528;96;200;
SOVIZZO ;5783;4156;72;174;
TEZZE SUL BRENTA ;9920;7276;136;351;
THIENE ;17657;10500;77;284;
TONEZZA DEL CIMONE ;576;416;16;36;
TORREBELVICINO ;5115;3468;73;174;
TORRI DI QUARTESOLO ;9017;6241;84;281;
TRISSINO ;7002;4994;153;315;
VALDAGNO ;21899;14958;264;734;
VALDASTICO ;1483;871;31;75;
VALLI DEL PASUBIO ;3206;2015;61;144;
VALSTAGNA ;1916;1081;37;85;
VELO D'ASTICO ;2118;1519;41;91;
VICENZA ;83912;50916;237;1096;
VILLAGA ;1582;1124;25;72;
VILLAVERLA ;4890;2926;22;127;
ZANE' ;5256;4043;97;225;
ZERMEGHEDO ;986;765;16;31;
ZOVENCEDO ;658;464;19;29;
ZUGLIANO ;5562;4128;78;183;
