

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUARO ;2804;1010;6;34;
ARENA ;2065;510;6;17;
BRIATICO ;3937;2119;145;337;
BROGNATURO ;659;325;10;26;
CAPISTRANO ;1413;445;6;30;
CESSANITI ;3252;1038;11;65;
DASA' ;1350;404;8;24;
DINAMI ;3056;751;17;61;
DRAPIA ;2713;1481;112;200;
FABRIZIA ;3541;812;15;70;
FILADELFIA ;6011;2288;43;128;
FILANDARI ;1930;1193;112;177;
FILOGASO ;1556;483;14;28;
FRANCAVILLA ANGITOLA ;2101;667;4;30;
FRANCICA ;1847;497;16;52;
GEROCARNE ;2271;790;13;55;
IONADI ;3256;1347;13;91;
JOPPOLO ;1582;602;13;38;
LIMBADI ;2816;1050;16;69;
MAIERATO ;2535;746;16;55;
MILETO ;6175;4283;432;631;
MONGIANA ;824;538;51;86;
MONTEROSSO CALABRO ;2055;745;11;48;
NARDODIPACE ;1603;546;5;29;
NICOTERA ;6259;2075;39;174;
PARGHELIA ;1213;556;10;26;
PIZZO ;8046;3029;23;105;
PIZZONI ;1611;872;105;175;
POLIA ;1040;372;9;22;
RICADI ;4378;1951;37;110;
ROMBIOLO ;4381;3072;214;421;
SAN CALOGERO ;4465;1351;19;98;
SAN COSTANTINO CALABRO ;2424;823;19;56;
SAN GREGORIO D'IPPONA ;2394;1622;188;280;
SAN NICOLA DA CRISSA ;1659;513;12;39;
SANT'ONOFRIO ;3411;1056;22;40;
SERRA SAN BRUNO ;6141;2738;32;264;
SIMBARIO ;1168;601;35;55;
SORIANELLO ;1059;841;91;114;
SORIANO CALABRO ;2147;1689;228;318;
SPADOLA ;761;360;7;24;
SPILINGA ;1902;582;9;28;
STEFANACONI ;2647;831;13;46;
TROPEA ;6249;4373;352;597;
VALLELONGA ;1095;492;49;66;
VAZZANO ;1189;467;11;31;
VIBO VALENTIA ;28403;12468;139;614;
ZACCANOPOLI ;1084;387;6;32;
ZAMBRONE ;1812;1194;154;263;
ZUNGRI ;2105;1330;158;269;
