

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ABETONE ;567;430;24;44;
AGLIANA ;13396;9522;183;451;
BUGGIANO ;7300;5212;138;295;
CHIESINA UZZANESE ;3547;2704;70;170;
CUTIGLIANO ;1357;1044;30;94;
LAMPORECCHIO ;5954;4267;65;177;
LARCIANO ;5211;3870;79;191;
MARLIANA ;2705;1573;13;61;
MASSA E COZZILE ;6376;4535;99;233;
MONSUMMANO TERME ;17298;11825;255;679;
MONTALE ;8715;6379;107;268;
MONTECATINI-TERME ;15346;10588;215;466;
PESCIA ;15731;10524;204;566;
PIEVE A NIEVOLE ;7548;5055;94;266;
PISTOIA ;72241;44814;292;1296;
PITEGLIO ;1589;1124;36;82;
PONTE BUGGIANESE ;7075;4280;39;149;
QUARRATA ;19551;11914;89;382;
SAMBUCA PISTOIESE ;1456;928;27;60;
SAN MARCELLO PISTOIESE ;6171;3601;24;132;
SERRAVALLE PISTOIESE ;9235;5741;47;197;
UZZANO ;4466;2731;34;77;
