

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACCETTURA ;1939;1286;217;338;
ALIANO ;1062;325;3;19;
BERNALDA ;10047;6982;400;883;
CALCIANO ;713;586;46;88;
CIRIGLIANO ;349;228;27;52;
COLOBRARO ;1393;528;13;41;
CRACO ;642;481;37;74;
FERRANDINA ;7760;3321;38;262;
GARAGUSO ;949;754;91;139;
GORGOGLIONE ;893;713;56;88;
GRASSANO ;5100;1970;26;142;
GROTTOLE ;2070;919;10;52;
IRSINA ;4304;1713;13;113;
MATERA ;48966;22659;177;1133;
MIGLIONICO ;2276;1586;101;214;
MONTALBANO JONICO ;6153;2589;42;252;
MONTESCAGLIOSO ;8505;3044;33;217;
NOVA SIRI ;5483;4390;345;682;
OLIVETO LUCANO ;468;204;1;14;
PISTICCI ;15211;5477;91;564;
POLICORO ;13491;5321;66;355;
POMARICO ;3718;2725;252;438;
ROTONDELLA ;2546;1847;193;303;
SALANDRA ;2493;1066;18;93;
SAN GIORGIO LUCANO ;1289;888;98;142;
SAN MAURO FORTE ;1521;537;7;53;
SCANZANO JONICO ;5672;2288;35;165;
STIGLIANO ;4343;1536;29;119;
TRICARICO ;5512;1843;12;116;
TURSI ;4219;1593;19;128;
VALSINNI ;1500;1098;110;198;
