

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ADRARA SAN MARTINO ;1696;1178;41;81;
ADRARA SAN ROCCO ;664;384;3;16;
ALBANO SANT'ALESSANDRO ;5842;3812;41;137;
ALBINO ;14648;10748;200;462;
ALGUA ;588;470;14;26;
ALME' ;4608;3203;39;132;
ALMENNO SAN BARTOLOMEO ;4795;3522;82;214;
ALMENNO SAN SALVATORE ;4772;3447;65;150;
ALZANO LOMBARDO ;10482;7864;141;350;
AMBIVERE ;1891;1405;32;81;
ANTEGNATE ;2106;1663;32;87;
ARCENE ;3614;2758;42;136;
ARDESIO ;2922;1774;19;100;
ARZAGO D'ADDA ;2110;1293;4;49;
AVERARA ;157;87;4;6;
AVIATICO ;451;300;6;14;
AZZANO SAN PAOLO ;5644;4356;54;151;
AZZONE ;380;310;13;33;
BAGNATICA ;3240;2454;39;112;
BARBATA ;532;451;19;38;
BARIANO ;3348;2573;77;201;
BARZANA ;1459;1070;32;87;
BEDULITA ;656;349;2;13;
BERBENNO ;2374;1565;68;128;
BERGAMO ;88920;64190;741;1943;
BERZO SAN FERMO ;1007;789;24;53;
BIANZANO ;562;463;24;46;
BLELLO ;94;49;1;5;
BOLGARE ;4065;3183;54;146;
BOLTIERE ;4349;3209;58;151;
BONATE SOPRA ;6929;4810;53;175;
BONATE SOTTO ;4847;3677;74;193;
BORGO DI TERZO ;850;505;6;13;
BOSSICO ;889;513;11;45;
BOTTANUCO ;3984;2575;19;118;
BRACCA ;630;498;10;30;
BRANZI ;601;532;24;43;
BREMBATE ;6411;4580;77;216;
BREMBATE DI SOPRA ;6101;3937;37;136;
BRIGNANO GERA D'ADDA ;4478;3317;85;210;
BRUMANO ;101;79;7;12;
BRUSAPORTO ;4208;3365;66;169;
CALCINATE ;3951;2645;17;90;
CALCIO ;3736;2938;87;171;
CALUSCO D'ADDA ;6241;3947;30;132;
CALVENZANO ;3259;2400;33;112;
CAMERATA CORNELLO ;519;457;21;39;
CANONICA D'ADDA ;3150;2348;38;91;
CAPIZZONE ;1070;754;33;54;
CAPRIATE SAN GERVASIO ;6024;3795;24;111;
