

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ABBATEGGIO ;505;302;29;46;
ALANNO ;3307;2085;84;208;
BOLOGNANO ;1105;796;60;104;
BRITTOLI ;441;169;10;15;
BUSSI SUL TIRINO ;2468;1495;52;110;
CAPPELLE SUL TAVO ;3198;2432;154;312;
CARAMANICO TERME ;2168;1390;135;197;
CARPINETO DELLA NORA ;627;419;39;56;
CASTIGLIONE A CASAURIA ;1115;519;39;67;
CATIGNANO ;1444;1038;90;128;
CEPAGATTI ;8956;5756;179;496;
CITTA' SANT'ANGELO ;11721;8952;454;788;
CIVITAQUANA ;1248;899;90;134;
CIVITELLA CASANOVA ;1839;928;23;85;
COLLECORVINO ;4936;2902;92;251;
CORVARA ;422;187;33;40;
CUGNOLI ;1422;781;24;64;
ELICE ;1428;900;31;79;
FARINDOLA ;1422;1053;135;195;
LETTOMANOPPELLO ;2692;2016;111;178;
LORETO APRUTINO ;6831;4106;120;344;
MANOPPELLO ;6337;3833;130;346;
MONTEBELLO DI BERTONA ;1067;748;121;149;
MONTESILVANO ;40738;28855;1524;2685;
MOSCUFO ;2718;2090;118;207;
NOCCIANO ;1832;978;38;88;
PENNE ;10811;6935;222;676;
PESCARA ;101240;72763;3430;5836;
PESCOSANSONESCO ;563;319;15;39;
PIANELLA ;7133;4691;167;455;
PICCIANO ;1086;779;21;69;
PIETRANICO ;527;281;20;46;
POPOLI ;4814;2646;62;194;
ROCCAMORICE ;1251;488;32;61;
ROSCIANO ;3247;2679;175;312;
SALLE ;518;239;24;30;
SANT'EUFEMIA A MAIELLA ;531;158;13;19;
SAN VALENTINO IN ABRUZZO CITERIORE ;2099;1135;45;109;
SCAFA ;3398;2192;68;165;
SERRAMONACESCA ;779;360;17;34;
SPOLTORE ;15515;10164;288;785;
TOCCO DA CASAURIA ;2647;1495;45;114;
TORRE DE' PASSERI ;2668;2044;123;238;
TURRIVALIGNANI ;839;507;26;55;
VICOLI ;475;313;43;59;
VILLA CELIERA ;676;419;15;32;
