

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
BIENTINA ;6367;3826;34;118;
BUTI ;4722;2973;48;99;
CALCI ;5446;3931;84;194;
CALCINAIA ;9502;6735;115;290;
CAPANNOLI ;4982;3634;89;192;
CASALE MARITTIMO ;911;708;28;51;
CASCIANA TERME LARI ;9995;7314;164;363;
CASCINA ;35299;22100;134;699;
CASTELFRANCO DI SOTTO ;9937;7059;168;434;
CASTELLINA MARITTIMA ;1681;1095;4;34;
CASTELNUOVO DI VAL DI CECINA ;1675;1398;52;96;
CHIANNI ;1200;912;38;70;
CRESPINA LORENZANA ;4320;3100;85;231;
FAUGLIA ;2984;2255;40;121;
GUARDISTALLO ;1021;816;35;48;
LAJATICO ;1113;879;25;41;
MONTECATINI VAL DI CECINA ;1483;986;8;43;
MONTESCUDAIO ;1681;1279;34;70;
MONTEVERDI MARITTIMO ;596;497;25;52;
MONTOPOLI IN VAL D'ARNO ;8711;6262;128;302;
ORCIANO PISANO ;547;314;3;12;
PALAIA ;3727;2643;57;133;
PECCIOLI ;3926;3168;70;126;
PISA ;70347;42242;200;936;
POMARANCE ;4796;3873;119;214;
PONSACCO ;11717;8500;145;351;
PONTEDERA ;21457;15242;253;592;
RIPARBELLA ;1252;768;4;25;
SAN GIULIANO TERME ;25740;18018;262;765;
SAN MINIATO ;22241;15984;290;727;
SANTA CROCE SULL'ARNO ;9769;6952;154;338;
SANTA LUCE ;1391;946;14;37;
SANTA MARIA A MONTE ;10316;6169;49;256;
TERRICCIOLA ;3585;2761;82;168;
VECCHIANO ;10276;6130;36;203;
VICOPISANO ;7065;5275;124;262;
VOLTERRA ;8820;6860;169;424;
