

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUAPENDENTE ;4626;3144;29;109;
ARLENA DI CASTRO ;676;500;7;26;
BAGNOREGIO ;3036;2471;113;235;
BARBARANO ROMANO ;914;565;1;21;
BASSANO IN TEVERINA ;1051;947;47;115;
BASSANO ROMANO ;3943;2155;11;62;
BLERA ;2634;1597;18;67;
BOLSENA ;3433;2759;141;309;
BOMARZO ;1457;915;7;28;
CALCATA ;741;611;33;54;
CANEPINA ;2503;2123;70;166;
CANINO ;4232;2457;19;121;
CAPODIMONTE ;1490;1259;63;124;
CAPRANICA ;5086;3252;17;124;
CAPRAROLA ;4271;2553;27;105;
CARBOGNANO ;1625;945;11;37;
CASTEL SANT'ELIA ;1982;1231;10;49;
CASTIGLIONE IN TEVERINA ;1770;1324;30;87;
CELLENO ;1114;897;39;76;
CELLERE ;1038;870;54;102;
CIVITA CASTELLANA ;12432;9032;212;542;
CIVITELLA D'AGLIANO ;1426;1212;66;107;
CORCHIANO ;2819;1659;12;82;
FABRICA DI ROMA ;6427;3705;32;152;
FALERIA ;1647;919;7;32;
FARNESE ;1447;1063;57;116;
GALLESE ;2313;1364;10;68;
GRADOLI ;1152;874;23;59;
GRAFFIGNANO ;2035;1638;73;142;
GROTTE DI CASTRO ;2408;1865;79;195;
ISCHIA DI CASTRO ;2011;1712;101;202;
LATERA ;840;437;5;31;
LUBRIANO ;730;426;6;23;
MARTA ;2928;1569;12;69;
MONTALTO DI CASTRO ;6941;4200;31;170;
MONTEFIASCONE ;11042;6268;49;249;
MONTE ROMANO ;1680;1534;57;104;
MONTEROSI ;3064;2399;81;173;
NEPI ;7323;5557;181;395;
ONANO ;873;679;35;62;
ORIOLO ROMANO ;3047;1910;9;69;
ORTE ;6518;5077;145;300;
PIANSANO ;1801;1428;65;132;
PROCENO ;503;320;4;23;
RONCIGLIONE ;6915;3988;29;143;
SAN LORENZO NUOVO ;1704;1451;66;128;
SORIANO NEL CIMINO ;6817;4099;42;219;
SUTRI ;5281;3133;15;74;
TARQUINIA ;13695;7198;33;240;
TESSENNANO ;292;254;14;21;
TUSCANIA ;6784;5627;189;381;
VALENTANO ;2673;1456;3;49;
VALLERANO ;2082;1239;19;76;
VASANELLO ;3241;1994;23;120;
VEJANO ;1874;1525;97;156;
VETRALLA ;10912;6411;35;240;
VIGNANELLO ;3802;2303;32;109;
VILLA SAN GIOVANNI IN TUSCIA ;1007;911;48;78;
VITERBO ;52677;29319;107;841;
VITORCHIANO ;3961;2318;8;99;
