

Ente;Liste/Gruppi;Voti;
ALBI;PARTITO DEMOCRATICO;191;;
ALBI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;154;;
ALBI;NUOVO CENTRO DESTRA - UDC;52;;
ALBI;FORZA ITALIA;39;;
ALBI;L'ALTRA EUROPA CON TSIPRAS;26;;
ALBI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;11;;
ALBI;SCELTA EUROPEA;5;;
ALBI;IO CAMBIO - MAIE;2;;
ALBI;ITALIA DEI VALORI;1;;
ALBI;VERDI EUROPEI-GREEN ITALIA;0;;
ALBI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;0;;
AMARONI;PARTITO DEMOCRATICO;385;;
AMARONI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;205;;
AMARONI;FORZA ITALIA;188;;
AMARONI;NUOVO CENTRO DESTRA - UDC;79;;
AMARONI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;35;;
AMARONI;L'ALTRA EUROPA CON TSIPRAS;35;;
AMARONI;SCELTA EUROPEA;21;;
AMARONI;ITALIA DEI VALORI;7;;
AMARONI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
AMARONI;IO CAMBIO - MAIE;2;;
AMARONI;VERDI EUROPEI-GREEN ITALIA;1;;
AMATO;PARTITO DEMOCRATICO;132;;
AMATO;FORZA ITALIA;123;;
AMATO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;101;;
AMATO;NUOVO CENTRO DESTRA - UDC;51;;
AMATO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;13;;
AMATO;L'ALTRA EUROPA CON TSIPRAS;9;;
AMATO;VERDI EUROPEI-GREEN ITALIA;7;;
AMATO;SCELTA EUROPEA;6;;
AMATO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;5;;
AMATO;IO CAMBIO - MAIE;2;;
AMATO;ITALIA DEI VALORI;2;;
ANDALI;PARTITO DEMOCRATICO;76;;
ANDALI;FORZA ITALIA;38;;
ANDALI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;34;;
ANDALI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;25;;
ANDALI;NUOVO CENTRO DESTRA - UDC;12;;
ANDALI;SCELTA EUROPEA;7;;
ANDALI;ITALIA DEI VALORI;4;;
ANDALI;L'ALTRA EUROPA CON TSIPRAS;2;;
ANDALI;VERDI EUROPEI-GREEN ITALIA;1;;
ANDALI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
ANDALI;IO CAMBIO - MAIE;0;;
ARGUSTO;PARTITO DEMOCRATICO;107;;
ARGUSTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;23;;
ARGUSTO;FORZA ITALIA;20;;
ARGUSTO;NUOVO CENTRO DESTRA - UDC;3;;
ARGUSTO;L'ALTRA EUROPA CON TSIPRAS;3;;
ARGUSTO;VERDI EUROPEI-GREEN ITALIA;2;;
ARGUSTO;SCELTA EUROPEA;2;;
ARGUSTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1;;
ARGUSTO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
