

Ente;Liste/Gruppi;Voti;
CASTELFRANCO PIANDISCO';NUOVO CENTRO DESTRA - UDC;143;;
CASTELFRANCO PIANDISCO';FRATELLI D'ITALIA - ALLEANZA NAZIONALE;141;;
CASTELFRANCO PIANDISCO';VERDI EUROPEI-GREEN ITALIA;29;;
CASTELFRANCO PIANDISCO';ITALIA DEI VALORI;28;;
CASTELFRANCO PIANDISCO';SCELTA EUROPEA;22;;
CASTELFRANCO PIANDISCO';IO CAMBIO - MAIE;13;;
CASTEL SAN NICCOLO';PARTITO DEMOCRATICO;1023;;
CASTEL SAN NICCOLO';MOVIMENTO 5 STELLE BEPPEGRILLO.IT;239;;
CASTEL SAN NICCOLO';FORZA ITALIA;190;;
CASTEL SAN NICCOLO';LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;50;;
CASTEL SAN NICCOLO';NUOVO CENTRO DESTRA - UDC;45;;
CASTEL SAN NICCOLO';L'ALTRA EUROPA CON TSIPRAS;42;;
CASTEL SAN NICCOLO';FRATELLI D'ITALIA - ALLEANZA NAZIONALE;36;;
CASTEL SAN NICCOLO';ITALIA DEI VALORI;9;;
CASTEL SAN NICCOLO';SCELTA EUROPEA;8;;
CASTEL SAN NICCOLO';VERDI EUROPEI-GREEN ITALIA;8;;
CASTEL SAN NICCOLO';IO CAMBIO - MAIE;5;;
CASTIGLION FIBOCCHI;PARTITO DEMOCRATICO;748;;
CASTIGLION FIBOCCHI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;207;;
CASTIGLION FIBOCCHI;FORZA ITALIA;186;;
CASTIGLION FIBOCCHI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;48;;
CASTIGLION FIBOCCHI;NUOVO CENTRO DESTRA - UDC;38;;
CASTIGLION FIBOCCHI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;33;;
CASTIGLION FIBOCCHI;VERDI EUROPEI-GREEN ITALIA;16;;
CASTIGLION FIBOCCHI;L'ALTRA EUROPA CON TSIPRAS;15;;
CASTIGLION FIBOCCHI;ITALIA DEI VALORI;13;;
CASTIGLION FIBOCCHI;IO CAMBIO - MAIE;6;;
