

Ente;Liste/Gruppi;Voti;
CASTELFIDARDO;VERDI EUROPEI-GREEN ITALIA;91;;
CASTELFIDARDO;ITALIA DEI VALORI;69;;
CASTELFIDARDO;SCELTA EUROPEA;21;;
CASTELFIDARDO;IO CAMBIO - MAIE;12;;
CASTELLEONE DI SUASA;PARTITO DEMOCRATICO;559;;
CASTELLEONE DI SUASA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;207;;
CASTELLEONE DI SUASA;FORZA ITALIA;137;;
CASTELLEONE DI SUASA;NUOVO CENTRO DESTRA - UDC;40;;
CASTELLEONE DI SUASA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;35;;
CASTELLEONE DI SUASA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;27;;
CASTELLEONE DI SUASA;L'ALTRA EUROPA CON TSIPRAS;21;;
CASTELLEONE DI SUASA;ITALIA DEI VALORI;14;;
CASTELLEONE DI SUASA;SCELTA EUROPEA;11;;
CASTELLEONE DI SUASA;VERDI EUROPEI-GREEN ITALIA;9;;
CASTELLEONE DI SUASA;IO CAMBIO - MAIE;4;;
CASTELPLANIO;PARTITO DEMOCRATICO;1029;;
CASTELPLANIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;417;;
CASTELPLANIO;FORZA ITALIA;176;;
CASTELPLANIO;L'ALTRA EUROPA CON TSIPRAS;77;;
CASTELPLANIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;67;;
CASTELPLANIO;NUOVO CENTRO DESTRA - UDC;32;;
CASTELPLANIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;27;;
CASTELPLANIO;VERDI EUROPEI-GREEN ITALIA;19;;
CASTELPLANIO;ITALIA DEI VALORI;14;;
CASTELPLANIO;SCELTA EUROPEA;12;;
CASTELPLANIO;IO CAMBIO - MAIE;9;;
CERRETO D'ESI;PARTITO DEMOCRATICO;799;;
CERRETO D'ESI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;463;;
CERRETO D'ESI;FORZA ITALIA;289;;
CERRETO D'ESI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;86;;
CERRETO D'ESI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;65;;
CERRETO D'ESI;L'ALTRA EUROPA CON TSIPRAS;65;;
CERRETO D'ESI;NUOVO CENTRO DESTRA - UDC;52;;
CERRETO D'ESI;VERDI EUROPEI-GREEN ITALIA;30;;
CERRETO D'ESI;ITALIA DEI VALORI;12;;
CERRETO D'ESI;IO CAMBIO - MAIE;4;;
CERRETO D'ESI;SCELTA EUROPEA;3;;
CHIARAVALLE;PARTITO DEMOCRATICO;4115;;
CHIARAVALLE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1480;;
CHIARAVALLE;FORZA ITALIA;598;;
CHIARAVALLE;L'ALTRA EUROPA CON TSIPRAS;400;;
CHIARAVALLE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;196;;
CHIARAVALLE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;173;;
CHIARAVALLE;NUOVO CENTRO DESTRA - UDC;172;;
CHIARAVALLE;SCELTA EUROPEA;71;;
CHIARAVALLE;VERDI EUROPEI-GREEN ITALIA;45;;
CHIARAVALLE;ITALIA DEI VALORI;29;;
CHIARAVALLE;IO CAMBIO - MAIE;11;;
CORINALDO;PARTITO DEMOCRATICO;1225;;
CORINALDO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;541;;
CORINALDO;FORZA ITALIA;329;;
CORINALDO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;113;;
CORINALDO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;111;;
CORINALDO;L'ALTRA EUROPA CON TSIPRAS;92;;
CORINALDO;NUOVO CENTRO DESTRA - UDC;73;;
CORINALDO;ITALIA DEI VALORI;19;;
CORINALDO;SCELTA EUROPEA;9;;
CORINALDO;IO CAMBIO - MAIE;8;;
CORINALDO;VERDI EUROPEI-GREEN ITALIA;7;;
CUPRAMONTANA;PARTITO DEMOCRATICO;1286;;
CUPRAMONTANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;429;;
CUPRAMONTANA;FORZA ITALIA;218;;
CUPRAMONTANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;84;;
CUPRAMONTANA;L'ALTRA EUROPA CON TSIPRAS;70;;
CUPRAMONTANA;NUOVO CENTRO DESTRA - UDC;67;;
CUPRAMONTANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;54;;
CUPRAMONTANA;VERDI EUROPEI-GREEN ITALIA;17;;
CUPRAMONTANA;SCELTA EUROPEA;16;;
CUPRAMONTANA;ITALIA DEI VALORI;10;;
CUPRAMONTANA;IO CAMBIO - MAIE;3;;
FABRIANO;PARTITO DEMOCRATICO;6738;;
FABRIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;3386;;
FABRIANO;FORZA ITALIA;1381;;
FABRIANO;NUOVO CENTRO DESTRA - UDC;725;;
FABRIANO;L'ALTRA EUROPA CON TSIPRAS;575;;
FABRIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;499;;
FABRIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;415;;
FABRIANO;VERDI EUROPEI-GREEN ITALIA;106;;
FABRIANO;ITALIA DEI VALORI;90;;
FABRIANO;SCELTA EUROPEA;58;;
FABRIANO;IO CAMBIO - MAIE;18;;
FALCONARA MARITTIMA;PARTITO DEMOCRATICO;6686;;
FALCONARA MARITTIMA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2927;;
FALCONARA MARITTIMA;FORZA ITALIA;1392;;
FALCONARA MARITTIMA;L'ALTRA EUROPA CON TSIPRAS;683;;
FALCONARA MARITTIMA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;426;;
FALCONARA MARITTIMA;NUOVO CENTRO DESTRA - UDC;422;;
FALCONARA MARITTIMA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;312;;
FALCONARA MARITTIMA;VERDI EUROPEI-GREEN ITALIA;144;;
FALCONARA MARITTIMA;SCELTA EUROPEA;73;;
FALCONARA MARITTIMA;ITALIA DEI VALORI;57;;
FALCONARA MARITTIMA;IO CAMBIO - MAIE;14;;
