

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGAZZANO ;1571;928;14;27;
ALSENO ;3898;2946;77;151;
BESENZONE ;769;595;36;54;
BETTOLA ;2631;1268;11;56;
BOBBIO ;3349;2450;112;185;
BORGONOVO VAL TIDONE ;5678;3361;31;121;
CADEO ;4553;2720;29;117;
CALENDASCO ;1972;1518;45;103;
CAMINATA ;253;217;11;13;
CAORSO ;3796;2828;81;170;
CARPANETO PIACENTINO ;5988;3564;25;113;
CASTELL'ARQUATO ;3937;2956;91;168;
CASTEL SAN GIOVANNI ;9741;7220;235;442;
CASTELVETRO PIACENTINO ;4443;2637;20;106;
CERIGNALE ;178;99;6;10;
COLI ;927;694;56;77;
CORTE BRUGNATELLA ;601;489;53;70;
CORTEMAGGIORE ;3451;2074;14;61;
FARINI ;1395;920;58;102;
FERRIERE ;1424;622;10;23;
FIORENZUOLA D'ARDA ;11209;7152;49;224;
GAZZOLA ;1691;1273;36;79;
GOSSOLENGO ;4388;3225;47;139;
GRAGNANO TREBBIENSE ;3292;2401;57;144;
GROPPARELLO ;2104;1186;5;41;
LUGAGNANO VAL D'ARDA ;3442;2612;83;189;
MONTICELLI D'ONGINA ;4421;2744;22;129;
MORFASSO ;1162;743;31;51;
NIBBIANO ;1889;1436;52;118;
OTTONE ;664;388;40;48;
PECORARA ;721;538;31;50;
PIACENZA ;75063;45521;286;1205;
PIANELLO VAL TIDONE ;1883;1418;77;116;
PIOZZANO ;569;479;19;39;
PODENZANO ;7248;5424;149;322;
PONTE DELL'OLIO ;4029;2935;73;179;
PONTENURE ;4716;3616;73;173;
RIVERGARO ;5583;4127;91;205;
ROTTOFRENO ;8856;5381;43;195;
SAN GIORGIO PIACENTINO ;4608;3451;91;211;
SAN PIETRO IN CERRO ;734;470;21;39;
SARMATO ;2211;1616;40;100;
TRAVO ;1871;1325;56;98;
VERNASCA ;2022;1416;49;86;
VIGOLZONE ;3418;2566;99;192;
VILLANOVA SULL'ARDA ;1492;858;7;26;
ZERBA ;115;60;1;3;
ZIANO PIACENTINO ;2155;1496;56;104;
