

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUI TERME ;16521;10022;182;543;
ALBERA LIGURE ;342;238;21;34;
ALESSANDRIA ;74090;42695;505;1906;
ALFIANO NATTA ;657;475;25;45;
ALICE BEL COLLE ;670;426;12;31;
ALLUVIONI CAMBIO' ;984;501;15;40;
ALTAVILLA MONFERRATO ;426;322;17;27;
ALZANO SCRIVIA ;320;276;22;46;
ARQUATA SCRIVIA ;5233;3364;36;165;
AVOLASCA ;260;212;15;21;
BALZOLA ;1186;938;44;72;
BASALUZZO ;1926;1279;45;105;
BASSIGNANA ;1732;1133;55;102;
BELFORTE MONFERRATO ;430;339;8;21;
BERGAMASCO ;693;518;28;57;
BERZANO DI TORTONA ;123;99;7;15;
BISTAGNO ;1532;1124;52;125;
BORGHETTO DI BORBERA ;1727;1318;78;147;
BORGORATTO ALESSANDRINO ;575;363;10;25;
BORGO SAN MARTINO ;1177;678;17;40;
BOSCO MARENGO ;2280;1529;44;104;
BOSIO ;995;714;26;68;
BOZZOLE ;266;211;9;16;
BRIGNANO FRASCATA ;393;295;16;20;
CABELLA LIGURE ;643;379;40;56;
CAMAGNA MONFERRATO ;512;382;29;44;
CAMINO ;726;466;21;36;
CANTALUPO LIGURE ;547;308;21;32;
CAPRIATA D'ORBA ;1699;1270;52;93;
CARBONARA SCRIVIA ;865;699;30;59;
CARENTINO ;279;215;14;23;
CAREZZANO ;358;250;7;18;
CARPENETO ;914;701;48;73;
CARREGA LIGURE ;300;41;0;1;
CARROSIO ;462;287;3;12;
CARTOSIO ;625;506;36;71;
CASAL CERMELLI ;1021;597;6;31;
CASALEGGIO BOIRO ;368;276;12;22;
CASALE MONFERRATO ;28756;19444;611;1433;
CASALNOCETO ;847;581;32;52;
CASASCO ;152;86;3;6;
CASSANO SPINOLA ;1452;1016;46;94;
CASSINE ;2697;1472;19;70;
CASSINELLE ;920;640;33;48;
CASTELLANIA ;90;66;2;2;
CASTELLAR GUIDOBONO ;349;307;12;24;
CASTELLAZZO BORMIDA ;4376;2693;101;216;
CASTELLETTO D'ERRO ;138;107;9;12;
CASTELLETTO D'ORBA ;1721;1327;57;104;
CASTELLETTO MERLI ;489;374;22;42;
CASTELLETTO MONFERRATO ;1332;859;19;41;
CASTELNUOVO BORMIDA ;651;330;7;25;
CASTELNUOVO SCRIVIA ;4797;2936;105;234;
CASTELSPINA ;436;259;8;14;
CAVATORE ;251;160;4;14;
CELLA MONTE ;448;294;4;12;
CERESETO ;435;326;16;24;
CERRETO GRUE ;292;234;5;22;
CERRINA ;1222;882;64;98;
CONIOLO ;393;320;13;18;
CONZANO ;950;698;21;50;
COSTA VESCOVATO ;323;208;21;26;
CREMOLINO ;905;717;21;43;
CUCCARO MONFERRATO ;352;256;17;24;
DENICE ;168;142;18;23;
DERNICE ;228;140;5;9;
FABBRICA CURONE ;659;444;44;66;
FELIZZANO ;1906;1498;84;142;
FRACONALTO ;381;210;9;21;
FRANCAVILLA BISIO ;484;282;7;16;
FRASCARO ;363;236;8;16;
FRASSINELLO MONFERRATO ;442;371;28;43;
FRASSINETO PO ;1270;962;46;125;
FRESONARA ;754;523;32;43;
FRUGAROLO ;1782;1293;48;103;
FUBINE ;1403;865;15;38;
GABIANO ;1090;773;59;100;
GAMALERO ;815;429;10;26;
GARBAGNA ;674;444;34;54;
GAVAZZANA ;159;104;5;9;
GAVI ;3843;2562;53;134;
GIAROLE ;602;439;22;44;
GREMIASCO ;335;217;24;33;
GROGNARDO ;253;194;5;10;
GRONDONA ;462;357;5;13;
GUAZZORA ;307;232;14;28;
ISOLA SANT'ANTONIO ;637;380;8;20;
LERMA ;749;553;12;23;
LU ;1111;783;55;103;
