

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
BRINDISI ;72619;30528;225;1299;
CAROVIGNO ;13581;6535;90;397;
CEGLIE MESSAPICA ;17015;7582;145;521;
CELLINO SAN MARCO ;5738;2563;32;142;
CISTERNINO ;10453;5549;105;398;
ERCHIE ;7313;2858;43;203;
FASANO ;33575;14697;198;806;
FRANCAVILLA FONTANA ;29958;23457;2065;3398;
LATIANO ;12115;5325;93;409;
MESAGNE ;23419;10175;131;528;
ORIA ;12640;5560;96;453;
OSTUNI ;26183;21056;1492;2348;
SAN DONACI ;5695;2395;37;133;
SAN MICHELE SALENTINO ;5283;2443;78;275;
SAN PANCRAZIO SALENTINO ;8642;4094;40;210;
SAN PIETRO VERNOTICO ;11932;5237;62;224;
SAN VITO DEI NORMANNI ;16569;7826;98;489;
TORCHIAROLO ;4540;1805;32;94;
TORRE SANTA SUSANNA ;8918;4233;80;368;
VILLA CASTELLI ;7448;6200;528;778;
