

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ANTRONA SCHIERANCO ;424;333;21;41;
ANZOLA D'OSSOLA ;350;311;24;42;
ARIZZANO ;1727;1169;31;80;
AROLA ;275;190;18;32;
AURANO ;117;76;6;9;
BACENO ;872;655;42;84;
BANNIO ANZINO ;478;299;24;43;
BAVENO ;4148;2963;99;215;
BEE ;593;468;17;35;
BELGIRATE ;413;268;0;3;
BEURA-CARDEZZA ;1534;705;18;47;
BOGNANCO ;264;146;10;21;
BROVELLO-CARPUGNINO ;591;473;22;50;
CALASCA-CASTIGLIONE ;644;264;4;17;
CAMBIASCA ;1431;1134;46;123;
CANNERO RIVIERA ;934;595;33;59;
CANNOBIO ;5004;2937;121;275;
CAPREZZO ;192;131;8;20;
CASALE CORTE CERRO ;2946;2099;86;192;
CAVAGLIO-SPOCCIA ;303;198;21;46;
CEPPO MORELLI ;328;231;15;40;
CESARA ;548;300;6;18;
COSSOGNO ;575;375;19;68;
CRAVEGGIA ;742;510;47;83;
CREVOLADOSSOLA ;4196;2115;37;109;
CRODO ;1284;900;39;100;
CURSOLO-ORASSO ;193;55;2;4;
DOMODOSSOLA ;16251;8642;113;461;
DRUOGNO ;905;440;9;46;
FALMENTA ;242;57;1;11;
FORMAZZA ;391;234;2;11;
GERMAGNO ;169;146;4;9;
GHIFFA ;2161;1488;46;110;
GIGNESE ;845;505;9;24;
GRAVELLONA TOCE ;6307;4438;196;433;
GURRO ;354;113;5;8;
INTRAGNA ;129;72;2;5;
LOREGLIA ;233;175;10;42;
MACUGNAGA ;536;246;5;24;
MADONNA DEL SASSO ;349;288;17;33;
MALESCO ;1303;935;43;153;
MASERA ;1363;948;35;108;
MASSIOLA ;129;108;6;9;
MERGOZZO ;1965;1406;65;138;
MIAZZINA ;342;278;17;27;
MONTECRESTESE ;1176;833;61;97;
MONTESCHENO ;384;280;22;37;
NONIO ;761;555;24;60;
OGGEBBIO ;813;621;36;68;
OMEGNA ;12982;7266;81;327;
ORNAVASSO ;2933;1722;63;155;
PALLANZENO ;1013;680;52;84;
PIEDIMULERA ;1339;959;51;119;
PIEVE VERGONTE ;2379;1752;115;253;
PREMENO ;687;492;24;37;
PREMIA ;523;403;29;58;
PREMOSELLO-CHIOVENDA ;1820;953;13;78;
QUARNA SOPRA ;240;188;11;21;
QUARNA SOTTO ;365;178;2;10;
RE ;721;551;67;110;
SAN BERNARDINO VERBANO ;1237;922;48;79;
SANTA MARIA MAGGIORE ;1218;717;40;71;
SEPPIANA ;145;117;14;21;
STRESA ;4032;2336;21;96;
TOCENO ;712;499;33;73;
TRAREGO VIGGIONA ;374;189;0;9;
TRASQUERA ;269;70;0;2;
TRONTANO ;1445;1045;58;120;
VALSTRONA ;1056;779;45;112;
VANZONE CON SAN CARLO ;433;268;27;93;
VARZO ;2101;1359;72;158;
VERBANIA ;25763;17173;419;1063;
VIGANELLA ;134;107;6;14;
VIGNONE ;1036;782;16;50;
VILLADOSSOLA ;5998;3383;38;178;
VILLETTE ;240;174;21;48;
VOGOGNA ;1562;1141;49;105;
