

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ARCIDOSSO ;3194;2392;74;198;
CAMPAGNATICO ;1992;1154;9;33;
CAPALBIO ;3183;2544;71;149;
CASTEL DEL PIANO ;3577;2636;71;186;
CASTELL'AZZARA ;1342;1035;35;70;
CASTIGLIONE DELLA PESCAIA ;6197;3736;14;86;
CINIGIANO ;1981;1545;57;111;
CIVITELLA PAGANICO ;2357;1922;98;173;
FOLLONICA ;17567;12552;201;556;
GAVORRANO ;6857;4119;30;127;
GROSSETO ;64468;39271;227;1110;
ISOLA DEL GIGLIO ;1360;943;36;51;
MAGLIANO IN TOSCANA ;3011;2345;56;142;
MANCIANO ;5807;3508;27;145;
MASSA MARITTIMA ;6807;5012;130;277;
MONTE ARGENTARIO ;10622;5178;42;157;
MONTEROTONDO MARITTIMO ;932;787;33;72;
MONTIERI ;838;620;12;33;
ORBETELLO ;12244;7046;40;226;
PITIGLIANO ;3356;1996;24;87;
ROCCALBEGNA ;839;442;8;32;
ROCCASTRADA ;7230;5190;123;290;
SANTA FIORA ;2137;1726;50;119;
SCANSANO ;3440;2001;14;101;
SCARLINO ;3058;2385;55;115;
SEGGIANO ;729;520;24;45;
SEMPRONIANO ;909;536;8;24;
SORANO ;2993;2224;73;149;
