

Ente;Liste/Gruppi;Voti;
ANDRIANO/ANDRIAN;SVP;284;;
ANDRIANO/ANDRIAN;L'ALTRA EUROPA CON TSIPRAS;36;;
ANDRIANO/ANDRIAN;PARTITO DEMOCRATICO;27;;
ANDRIANO/ANDRIAN;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;26;;
ANDRIANO/ANDRIAN;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;23;;
ANDRIANO/ANDRIAN;VERDI EUROPEI-GREEN ITALIA;13;;
ANDRIANO/ANDRIAN;FORZA ITALIA;6;;
ANDRIANO/ANDRIAN;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;6;;
ANDRIANO/ANDRIAN;NUOVO CENTRO DESTRA - UDC;4;;
ANDRIANO/ANDRIAN;IO CAMBIO - MAIE;0;;
ANDRIANO/ANDRIAN;SCELTA EUROPEA;0;;
ANDRIANO/ANDRIAN;ITALIA DEI VALORI;0;;
ALDINO/ALDEIN;SVP;462;;
ALDINO/ALDEIN;L'ALTRA EUROPA CON TSIPRAS;60;;
ALDINO/ALDEIN;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;21;;
ALDINO/ALDEIN;VERDI EUROPEI-GREEN ITALIA;15;;
ALDINO/ALDEIN;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;12;;
ALDINO/ALDEIN;PARTITO DEMOCRATICO;10;;
ALDINO/ALDEIN;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;3;;
ALDINO/ALDEIN;ITALIA DEI VALORI;3;;
ALDINO/ALDEIN;FORZA ITALIA;2;;
ALDINO/ALDEIN;IO CAMBIO - MAIE;1;;
ALDINO/ALDEIN;NUOVO CENTRO DESTRA - UDC;1;;
ALDINO/ALDEIN;SCELTA EUROPEA;0;;
ANTERIVO/ALTREI;SVP;124;;
ANTERIVO/ALTREI;L'ALTRA EUROPA CON TSIPRAS;14;;
ANTERIVO/ALTREI;PARTITO DEMOCRATICO;9;;
ANTERIVO/ALTREI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;8;;
ANTERIVO/ALTREI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
ANTERIVO/ALTREI;VERDI EUROPEI-GREEN ITALIA;7;;
ANTERIVO/ALTREI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1;;
ANTERIVO/ALTREI;FORZA ITALIA;1;;
ANTERIVO/ALTREI;ITALIA DEI VALORI;0;;
ANTERIVO/ALTREI;NUOVO CENTRO DESTRA - UDC;0;;
ANTERIVO/ALTREI;SCELTA EUROPEA;0;;
ANTERIVO/ALTREI;IO CAMBIO - MAIE;0;;
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE;SVP;3172;;
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE;L'ALTRA EUROPA CON TSIPRAS;655;;
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE;PARTITO DEMOCRATICO;514;;
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;357;;
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;281;;
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE;VERDI EUROPEI-GREEN ITALIA;271;;
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE;FORZA ITALIA;120;;
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;33;;
