

Ente;Liste/Gruppi;Voti;
FAVIGNANA;PARTITO DEMOCRATICO;330;;
FAVIGNANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;221;;
FAVIGNANA;NUOVO CENTRO DESTRA - UDC;145;;
FAVIGNANA;L'ALTRA EUROPA CON TSIPRAS;37;;
FAVIGNANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;29;;
FAVIGNANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;13;;
FAVIGNANA;VERDI EUROPEI-GREEN ITALIA;9;;
FAVIGNANA;ITALIA DEI VALORI;2;;
FAVIGNANA;SCELTA EUROPEA;2;;
FAVIGNANA;IO CAMBIO - MAIE;1;;
GIBELLINA;PARTITO DEMOCRATICO;606;;
GIBELLINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;514;;
GIBELLINA;NUOVO CENTRO DESTRA - UDC;228;;
GIBELLINA;FORZA ITALIA;126;;
GIBELLINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;30;;
GIBELLINA;L'ALTRA EUROPA CON TSIPRAS;28;;
GIBELLINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;14;;
GIBELLINA;ITALIA DEI VALORI;9;;
GIBELLINA;SCELTA EUROPEA;6;;
GIBELLINA;IO CAMBIO - MAIE;2;;
GIBELLINA;VERDI EUROPEI-GREEN ITALIA;1;;
MARSALA;PARTITO DEMOCRATICO;9960;;
MARSALA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;6969;;
MARSALA;FORZA ITALIA;4649;;
MARSALA;NUOVO CENTRO DESTRA - UDC;1551;;
MARSALA;L'ALTRA EUROPA CON TSIPRAS;422;;
MARSALA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;357;;
MARSALA;ITALIA DEI VALORI;117;;
MARSALA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;114;;
MARSALA;VERDI EUROPEI-GREEN ITALIA;98;;
MARSALA;SCELTA EUROPEA;79;;
MARSALA;IO CAMBIO - MAIE;42;;
MAZARA DEL VALLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;9721;;
MAZARA DEL VALLO;FORZA ITALIA;7691;;
MAZARA DEL VALLO;PARTITO DEMOCRATICO;6476;;
MAZARA DEL VALLO;NUOVO CENTRO DESTRA - UDC;1147;;
MAZARA DEL VALLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1071;;
MAZARA DEL VALLO;L'ALTRA EUROPA CON TSIPRAS;407;;
MAZARA DEL VALLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;212;;
MAZARA DEL VALLO;ITALIA DEI VALORI;192;;
MAZARA DEL VALLO;SCELTA EUROPEA;158;;
MAZARA DEL VALLO;VERDI EUROPEI-GREEN ITALIA;90;;
MAZARA DEL VALLO;IO CAMBIO - MAIE;70;;
PACECO;PARTITO DEMOCRATICO;1331;;
PACECO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;974;;
PACECO;FORZA ITALIA;716;;
PACECO;NUOVO CENTRO DESTRA - UDC;195;;
PACECO;L'ALTRA EUROPA CON TSIPRAS;59;;
PACECO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;53;;
PACECO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;22;;
PACECO;ITALIA DEI VALORI;21;;
PACECO;VERDI EUROPEI-GREEN ITALIA;12;;
PACECO;IO CAMBIO - MAIE;8;;
PACECO;SCELTA EUROPEA;7;;
PANTELLERIA;PARTITO DEMOCRATICO;595;;
