

Ente;Liste/Gruppi;Voti;
FOLLONICA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2355;;
FOLLONICA;FORZA ITALIA;1876;;
FOLLONICA;L'ALTRA EUROPA CON TSIPRAS;539;;
FOLLONICA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;432;;
FOLLONICA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;370;;
FOLLONICA;NUOVO CENTRO DESTRA - UDC;213;;
FOLLONICA;VERDI EUROPEI-GREEN ITALIA;104;;
FOLLONICA;SCELTA EUROPEA;66;;
FOLLONICA;ITALIA DEI VALORI;62;;
FOLLONICA;IO CAMBIO - MAIE;22;;
GAVORRANO;PARTITO DEMOCRATICO;2281;;
GAVORRANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;741;;
GAVORRANO;FORZA ITALIA;456;;
GAVORRANO;L'ALTRA EUROPA CON TSIPRAS;199;;
GAVORRANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;118;;
GAVORRANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;89;;
GAVORRANO;NUOVO CENTRO DESTRA - UDC;44;;
GAVORRANO;VERDI EUROPEI-GREEN ITALIA;29;;
GAVORRANO;ITALIA DEI VALORI;19;;
GAVORRANO;SCELTA EUROPEA;10;;
GAVORRANO;IO CAMBIO - MAIE;6;;
GROSSETO;PARTITO DEMOCRATICO;19397;;
GROSSETO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;7667;;
GROSSETO;FORZA ITALIA;5183;;
GROSSETO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1731;;
GROSSETO;L'ALTRA EUROPA CON TSIPRAS;1398;;
GROSSETO;NUOVO CENTRO DESTRA - UDC;1093;;
GROSSETO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1091;;
GROSSETO;VERDI EUROPEI-GREEN ITALIA;261;;
GROSSETO;SCELTA EUROPEA;164;;
GROSSETO;ITALIA DEI VALORI;146;;
GROSSETO;IO CAMBIO - MAIE;30;;
ISOLA DEL GIGLIO;PARTITO DEMOCRATICO;296;;
ISOLA DEL GIGLIO;FORZA ITALIA;226;;
ISOLA DEL GIGLIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;187;;
ISOLA DEL GIGLIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;63;;
ISOLA DEL GIGLIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;45;;
ISOLA DEL GIGLIO;NUOVO CENTRO DESTRA - UDC;30;;
ISOLA DEL GIGLIO;VERDI EUROPEI-GREEN ITALIA;23;;
ISOLA DEL GIGLIO;L'ALTRA EUROPA CON TSIPRAS;8;;
ISOLA DEL GIGLIO;ITALIA DEI VALORI;8;;
ISOLA DEL GIGLIO;SCELTA EUROPEA;4;;
ISOLA DEL GIGLIO;IO CAMBIO - MAIE;2;;
MAGLIANO IN TOSCANA;PARTITO DEMOCRATICO;1088;;
MAGLIANO IN TOSCANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;353;;
MAGLIANO IN TOSCANA;FORZA ITALIA;339;;
MAGLIANO IN TOSCANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;152;;
MAGLIANO IN TOSCANA;L'ALTRA EUROPA CON TSIPRAS;83;;
MAGLIANO IN TOSCANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;72;;
MAGLIANO IN TOSCANA;NUOVO CENTRO DESTRA - UDC;63;;
MAGLIANO IN TOSCANA;ITALIA DEI VALORI;19;;
MAGLIANO IN TOSCANA;VERDI EUROPEI-GREEN ITALIA;17;;
MAGLIANO IN TOSCANA;SCELTA EUROPEA;13;;
MAGLIANO IN TOSCANA;IO CAMBIO - MAIE;4;;
MANCIANO;PARTITO DEMOCRATICO;1777;;
MANCIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;541;;
MANCIANO;FORZA ITALIA;465;;
MANCIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;204;;
MANCIANO;L'ALTRA EUROPA CON TSIPRAS;159;;
MANCIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;97;;
MANCIANO;NUOVO CENTRO DESTRA - UDC;69;;
MANCIANO;ITALIA DEI VALORI;23;;
MANCIANO;VERDI EUROPEI-GREEN ITALIA;18;;
MANCIANO;SCELTA EUROPEA;7;;
MANCIANO;IO CAMBIO - MAIE;3;;
MASSA MARITTIMA;PARTITO DEMOCRATICO;2631;;
MASSA MARITTIMA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;751;;
MASSA MARITTIMA;FORZA ITALIA;558;;
MASSA MARITTIMA;L'ALTRA EUROPA CON TSIPRAS;287;;
MASSA MARITTIMA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;174;;
MASSA MARITTIMA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;144;;
MASSA MARITTIMA;NUOVO CENTRO DESTRA - UDC;78;;
MASSA MARITTIMA;VERDI EUROPEI-GREEN ITALIA;46;;
MASSA MARITTIMA;SCELTA EUROPEA;32;;
MASSA MARITTIMA;ITALIA DEI VALORI;24;;
MASSA MARITTIMA;IO CAMBIO - MAIE;10;;
