

Ente;Liste/Gruppi;Voti;
AIELLO DEL SABATO;PARTITO DEMOCRATICO;856;;
AIELLO DEL SABATO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;328;;
AIELLO DEL SABATO;FORZA ITALIA;264;;
AIELLO DEL SABATO;NUOVO CENTRO DESTRA - UDC;87;;
AIELLO DEL SABATO;L'ALTRA EUROPA CON TSIPRAS;34;;
AIELLO DEL SABATO;SCELTA EUROPEA;24;;
AIELLO DEL SABATO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;22;;
AIELLO DEL SABATO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;10;;
AIELLO DEL SABATO;ITALIA DEI VALORI;9;;
AIELLO DEL SABATO;IO CAMBIO - MAIE;8;;
AIELLO DEL SABATO;VERDI EUROPEI-GREEN ITALIA;6;;
ALTAVILLA IRPINA;PARTITO DEMOCRATICO;856;;
ALTAVILLA IRPINA;FORZA ITALIA;517;;
ALTAVILLA IRPINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;407;;
ALTAVILLA IRPINA;NUOVO CENTRO DESTRA - UDC;229;;
ALTAVILLA IRPINA;L'ALTRA EUROPA CON TSIPRAS;140;;
ALTAVILLA IRPINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;104;;
ALTAVILLA IRPINA;ITALIA DEI VALORI;44;;
ALTAVILLA IRPINA;VERDI EUROPEI-GREEN ITALIA;31;;
ALTAVILLA IRPINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;25;;
ALTAVILLA IRPINA;SCELTA EUROPEA;24;;
ALTAVILLA IRPINA;IO CAMBIO - MAIE;7;;
ANDRETTA;NUOVO CENTRO DESTRA - UDC;388;;
ANDRETTA;PARTITO DEMOCRATICO;157;;
ANDRETTA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;144;;
ANDRETTA;FORZA ITALIA;86;;
ANDRETTA;L'ALTRA EUROPA CON TSIPRAS;50;;
ANDRETTA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;22;;
ANDRETTA;SCELTA EUROPEA;20;;
ANDRETTA;ITALIA DEI VALORI;13;;
ANDRETTA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;9;;
ANDRETTA;IO CAMBIO - MAIE;5;;
ANDRETTA;VERDI EUROPEI-GREEN ITALIA;5;;
AQUILONIA;PARTITO DEMOCRATICO;287;;
AQUILONIA;NUOVO CENTRO DESTRA - UDC;247;;
AQUILONIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;110;;
AQUILONIA;L'ALTRA EUROPA CON TSIPRAS;101;;
AQUILONIA;SCELTA EUROPEA;64;;
AQUILONIA;FORZA ITALIA;35;;
AQUILONIA;ITALIA DEI VALORI;11;;
AQUILONIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
AQUILONIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
