

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACCUMOLI ;541;443;40;77;
AMATRICE ;2299;1756;102;175;
ANTRODOCO ;2367;1360;8;56;
ASCREA ;209;122;1;2;
BELMONTE IN SABINA ;543;299;0;9;
BORBONA ;570;321;4;12;
BORGO VELINO ;807;531;13;18;
BORGOROSE ;4334;1972;19;110;
CANTALICE ;2272;1832;101;209;
CANTALUPO IN SABINA ;1365;1104;28;76;
CASAPROTA ;580;341;5;30;
CASPERIA ;998;849;63;113;
CASTEL DI TORA ;267;231;9;23;
CASTELNUOVO DI FARFA ;867;477;3;21;
CASTEL SANT'ANGELO ;1131;895;54;95;
CITTADUCALE ;5772;3368;28;163;
CITTAREALE ;424;157;3;9;
COLLALTO SABINO ;392;204;1;5;
COLLE DI TORA ;312;270;18;30;
COLLEGIOVE ;144;129;10;13;
COLLEVECCHIO ;1326;1085;68;118;
COLLI SUL VELINO ;423;369;15;43;
CONCERVIANO ;291;237;19;27;
CONFIGNI ;536;484;34;62;
CONTIGLIANO ;2994;2342;114;224;
COTTANELLO ;464;410;39;58;
FARA IN SABINA ;10016;6178;32;216;
FIAMIGNANO ;1281;693;5;33;
FORANO ;2252;1814;66;143;
FRASSO SABINO ;554;483;23;46;
GRECCIO ;1292;1040;64;101;
LABRO ;289;244;10;25;
LEONESSA ;2097;1686;51;91;
LONGONE SABINO ;557;467;31;42;
MAGLIANO SABINA ;3055;2328;74;165;
MARCETELLI ;78;47;1;1;
MICIGLIANO ;134;89;5;6;
MOMPEO ;478;396;27;53;
MONTASOLA ;342;303;11;33;
MONTEBUONO ;734;430;7;27;
MONTELEONE SABINO ;1043;604;6;32;
MONTENERO SABINO ;262;166;1;4;
MONTE SAN GIOVANNI IN SABINA ;599;546;38;109;
MONTOPOLI DI SABINA ;3319;2376;34;128;
MORRO REATINO ;313;278;17;33;
NESPOLO ;209;102;0;5;
ORVINIO ;384;264;15;32;
PAGANICO SABINO ;163;144;7;11;
PESCOROCCHIANO ;1976;899;11;43;
PETRELLA SALTO ;1088;870;58;102;
POGGIO BUSTONE ;1788;1546;53;108;
POGGIO CATINO ;1087;835;36;92;
POGGIO MIRTETO ;4636;3574;98;238;
POGGIO MOIANO ;2182;1783;77;151;
POGGIO NATIVO ;1967;1642;56;121;
POGGIO SAN LORENZO ;471;408;21;39;
POSTA ;587;468;37;62;
POZZAGLIA SABINA ;340;286;35;45;
RIETI ;38926;20375;156;802;
RIVODUTRI ;1052;915;38;78;
ROCCANTICA ;499;335;16;38;
ROCCA SINIBALDA ;748;625;30;57;
SALISANO ;488;425;40;59;
SCANDRIGLIA ;2364;1795;77;159;
SELCI ;913;689;33;89;
STIMIGLIANO ;1612;1268;45;101;
TARANO ;1063;844;42;73;
TOFFIA ;833;676;24;62;
TORRICELLA IN SABINA ;1104;884;25;54;
TORRI IN SABINA ;1057;595;4;57;
TURANIA ;219;139;4;7;
VACONE ;218;185;12;19;
VARCO SABINO ;179;109;0;2;
