

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ANNONE VENETO ;3410;2184;60;131;
CAMPAGNA LUPIA ;5577;3443;28;113;
CAMPOLONGO MAGGIORE ;8396;5216;38;200;
CAMPONOGARA ;10393;7345;129;370;
CAORLE ;9506;5304;31;162;
CAVALLINO-TREPORTI ;10669;4838;52;223;
CAVARZERE ;12680;6902;53;256;
CEGGIA ;4740;3475;64;177;
CHIOGGIA ;41560;22765;207;1258;
CINTO CAOMAGGIORE ;2822;1978;56;126;
CONA ;2565;1933;46;120;
CONCORDIA SAGITTARIA ;8983;6228;140;364;
DOLO ;11980;7496;49;248;
ERACLEA ;10093;5480;39;198;
FIESSO D'ARTICO ;6031;3782;34;123;
FOSSALTA DI PIAVE ;3353;2430;46;134;
FOSSALTA DI PORTOGRUARO ;5275;3640;78;192;
FOSSO' ;5336;3385;32;135;
GRUARO ;2547;1867;67;113;
JESOLO ;20108;10006;59;283;
MARCON ;13306;8012;38;219;
MARTELLAGO ;17143;10659;56;317;
MEOLO ;5077;3676;79;195;
MIRA ;30918;18641;113;553;
MIRANO ;22430;13908;74;431;
MUSILE DI PIAVE ;8877;5008;38;157;
NOALE ;12819;9613;207;560;
NOVENTA DI PIAVE ;5476;2961;15;88;
PIANIGA ;9652;5912;55;224;
PORTOGRUARO ;21102;11770;60;325;
PRAMAGGIORE ;3591;1943;13;73;
QUARTO D'ALTINO ;6420;3732;30;107;
SALZANO ;10488;6231;39;212;
SAN DONA' DI PIAVE ;32662;18309;114;477;
SAN MICHELE AL TAGLIAMENTO ;10139;5195;31;143;
SANTA MARIA DI SALA ;13624;8189;54;341;
SAN STINO DI LIVENZA ;10451;5878;38;166;
SCORZE' ;14713;11075;176;542;
SPINEA ;21409;15390;171;579;
STRA ;5893;4404;83;218;
TEGLIO VENETO ;1905;1372;36;74;
TORRE DI MOSTO ;3948;2142;12;86;
VENEZIA ;208060;119640;544;3015;
VIGONOVO ;7533;4902;51;193;
