

Ente;Liste/Gruppi;Voti;
AGRIGENTO;PARTITO DEMOCRATICO;5749;;
AGRIGENTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;4777;;
AGRIGENTO;FORZA ITALIA;3879;;
AGRIGENTO;NUOVO CENTRO DESTRA - UDC;2659;;
AGRIGENTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;680;;
AGRIGENTO;L'ALTRA EUROPA CON TSIPRAS;606;;
AGRIGENTO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;173;;
AGRIGENTO;VERDI EUROPEI-GREEN ITALIA;119;;
AGRIGENTO;ITALIA DEI VALORI;43;;
AGRIGENTO;SCELTA EUROPEA;36;;
AGRIGENTO;IO CAMBIO - MAIE;23;;
ALESSANDRIA DELLA ROCCA;PARTITO DEMOCRATICO;369;;
ALESSANDRIA DELLA ROCCA;FORZA ITALIA;294;;
ALESSANDRIA DELLA ROCCA;NUOVO CENTRO DESTRA - UDC;239;;
ALESSANDRIA DELLA ROCCA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;113;;
ALESSANDRIA DELLA ROCCA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;26;;
ALESSANDRIA DELLA ROCCA;L'ALTRA EUROPA CON TSIPRAS;22;;
ALESSANDRIA DELLA ROCCA;SCELTA EUROPEA;4;;
ALESSANDRIA DELLA ROCCA;VERDI EUROPEI-GREEN ITALIA;2;;
ALESSANDRIA DELLA ROCCA;ITALIA DEI VALORI;1;;
ALESSANDRIA DELLA ROCCA;IO CAMBIO - MAIE;0;;
ALESSANDRIA DELLA ROCCA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;0;;
ARAGONA;PARTITO DEMOCRATICO;1319;;
ARAGONA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;698;;
ARAGONA;NUOVO CENTRO DESTRA - UDC;587;;
ARAGONA;FORZA ITALIA;535;;
ARAGONA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;343;;
ARAGONA;L'ALTRA EUROPA CON TSIPRAS;43;;
ARAGONA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;26;;
ARAGONA;VERDI EUROPEI-GREEN ITALIA;10;;
ARAGONA;SCELTA EUROPEA;8;;
ARAGONA;IO CAMBIO - MAIE;4;;
ARAGONA;ITALIA DEI VALORI;2;;
BIVONA;PARTITO DEMOCRATICO;799;;
BIVONA;FORZA ITALIA;485;;
BIVONA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;269;;
BIVONA;NUOVO CENTRO DESTRA - UDC;144;;
BIVONA;L'ALTRA EUROPA CON TSIPRAS;56;;
BIVONA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;16;;
BIVONA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
BIVONA;VERDI EUROPEI-GREEN ITALIA;4;;
BIVONA;ITALIA DEI VALORI;4;;
BIVONA;IO CAMBIO - MAIE;1;;
BIVONA;SCELTA EUROPEA;1;;
BURGIO;PARTITO DEMOCRATICO;522;;
BURGIO;NUOVO CENTRO DESTRA - UDC;304;;
BURGIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;200;;
BURGIO;FORZA ITALIA;141;;
BURGIO;L'ALTRA EUROPA CON TSIPRAS;18;;
BURGIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;7;;
BURGIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;7;;
BURGIO;IO CAMBIO - MAIE;2;;
BURGIO;ITALIA DEI VALORI;2;;
BURGIO;SCELTA EUROPEA;2;;
BURGIO;VERDI EUROPEI-GREEN ITALIA;1;;
CALAMONACI;PARTITO DEMOCRATICO;231;;
CALAMONACI;NUOVO CENTRO DESTRA - UDC;103;;
CALAMONACI;FORZA ITALIA;57;;
CALAMONACI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;57;;
CALAMONACI;L'ALTRA EUROPA CON TSIPRAS;12;;
CALAMONACI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;4;;
CALAMONACI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;2;;
CALAMONACI;IO CAMBIO - MAIE;0;;
CALAMONACI;VERDI EUROPEI-GREEN ITALIA;0;;
CALAMONACI;ITALIA DEI VALORI;0;;
CALAMONACI;SCELTA EUROPEA;0;;
CALTABELLOTTA;FORZA ITALIA;624;;
CALTABELLOTTA;PARTITO DEMOCRATICO;613;;
CALTABELLOTTA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;613;;
CALTABELLOTTA;NUOVO CENTRO DESTRA - UDC;228;;
CALTABELLOTTA;L'ALTRA EUROPA CON TSIPRAS;52;;
CALTABELLOTTA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;48;;
CALTABELLOTTA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;27;;
CALTABELLOTTA;SCELTA EUROPEA;23;;
CALTABELLOTTA;ITALIA DEI VALORI;14;;
CALTABELLOTTA;IO CAMBIO - MAIE;10;;
CALTABELLOTTA;VERDI EUROPEI-GREEN ITALIA;10;;
CAMASTRA;FORZA ITALIA;340;;
CAMASTRA;PARTITO DEMOCRATICO;224;;
CAMASTRA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;153;;
CAMASTRA;NUOVO CENTRO DESTRA - UDC;110;;
CAMASTRA;L'ALTRA EUROPA CON TSIPRAS;11;;
CAMASTRA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;5;;
CAMASTRA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;3;;
CAMASTRA;IO CAMBIO - MAIE;0;;
CAMASTRA;VERDI EUROPEI-GREEN ITALIA;0;;
CAMASTRA;ITALIA DEI VALORI;0;;
CAMASTRA;SCELTA EUROPEA;0;;
CAMMARATA;PARTITO DEMOCRATICO;800;;
CAMMARATA;NUOVO CENTRO DESTRA - UDC;586;;
CAMMARATA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;578;;
CAMMARATA;FORZA ITALIA;523;;
CAMMARATA;L'ALTRA EUROPA CON TSIPRAS;59;;
CAMMARATA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;30;;
CAMMARATA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;15;;
CAMMARATA;ITALIA DEI VALORI;9;;
CAMMARATA;VERDI EUROPEI-GREEN ITALIA;7;;
CAMMARATA;SCELTA EUROPEA;5;;
CAMMARATA;IO CAMBIO - MAIE;3;;
CAMPOBELLO DI LICATA;PARTITO DEMOCRATICO;1535;;
CAMPOBELLO DI LICATA;FORZA ITALIA;749;;
CAMPOBELLO DI LICATA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;704;;
CAMPOBELLO DI LICATA;NUOVO CENTRO DESTRA - UDC;279;;
CAMPOBELLO DI LICATA;L'ALTRA EUROPA CON TSIPRAS;48;;
CAMPOBELLO DI LICATA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;44;;
CAMPOBELLO DI LICATA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
CAMPOBELLO DI LICATA;SCELTA EUROPEA;4;;
CAMPOBELLO DI LICATA;VERDI EUROPEI-GREEN ITALIA;2;;
CAMPOBELLO DI LICATA;ITALIA DEI VALORI;2;;
CAMPOBELLO DI LICATA;IO CAMBIO - MAIE;1;;
CANICATTI';PARTITO DEMOCRATICO;3569;;
CANICATTI';MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2828;;
CANICATTI';FORZA ITALIA;1911;;
CANICATTI';NUOVO CENTRO DESTRA - UDC;1706;;
CANICATTI';L'ALTRA EUROPA CON TSIPRAS;320;;
CANICATTI';FRATELLI D'ITALIA - ALLEANZA NAZIONALE;169;;
CANICATTI';LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;67;;
CANICATTI';VERDI EUROPEI-GREEN ITALIA;28;;
CANICATTI';ITALIA DEI VALORI;28;;
CANICATTI';SCELTA EUROPEA;24;;
CANICATTI';IO CAMBIO - MAIE;12;;
CASTELTERMINI;PARTITO DEMOCRATICO;1697;;
CASTELTERMINI;FORZA ITALIA;684;;
CASTELTERMINI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;667;;
CASTELTERMINI;NUOVO CENTRO DESTRA - UDC;517;;
CASTELTERMINI;L'ALTRA EUROPA CON TSIPRAS;36;;
CASTELTERMINI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;23;;
CASTELTERMINI;ITALIA DEI VALORI;8;;
CASTELTERMINI;SCELTA EUROPEA;5;;
CASTELTERMINI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
CASTELTERMINI;VERDI EUROPEI-GREEN ITALIA;3;;
CASTELTERMINI;IO CAMBIO - MAIE;3;;
CASTROFILIPPO;PARTITO DEMOCRATICO;500;;
CASTROFILIPPO;FORZA ITALIA;291;;
CASTROFILIPPO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;116;;
CASTROFILIPPO;NUOVO CENTRO DESTRA - UDC;51;;
CASTROFILIPPO;L'ALTRA EUROPA CON TSIPRAS;40;;
CASTROFILIPPO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;5;;
CASTROFILIPPO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;4;;
CASTROFILIPPO;VERDI EUROPEI-GREEN ITALIA;3;;
CASTROFILIPPO;ITALIA DEI VALORI;3;;
CASTROFILIPPO;SCELTA EUROPEA;2;;
CASTROFILIPPO;IO CAMBIO - MAIE;1;;
CATTOLICA ERACLEA;PARTITO DEMOCRATICO;754;;
CATTOLICA ERACLEA;FORZA ITALIA;436;;
CATTOLICA ERACLEA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;268;;
CATTOLICA ERACLEA;NUOVO CENTRO DESTRA - UDC;189;;
CATTOLICA ERACLEA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;40;;
CATTOLICA ERACLEA;L'ALTRA EUROPA CON TSIPRAS;5;;
CATTOLICA ERACLEA;ITALIA DEI VALORI;5;;
CATTOLICA ERACLEA;IO CAMBIO - MAIE;1;;
CATTOLICA ERACLEA;SCELTA EUROPEA;1;;
CATTOLICA ERACLEA;VERDI EUROPEI-GREEN ITALIA;1;;
CATTOLICA ERACLEA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
CIANCIANA;PARTITO DEMOCRATICO;809;;
CIANCIANA;NUOVO CENTRO DESTRA - UDC;226;;
CIANCIANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;194;;
CIANCIANA;FORZA ITALIA;159;;
CIANCIANA;L'ALTRA EUROPA CON TSIPRAS;32;;
CIANCIANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
CIANCIANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
CIANCIANA;VERDI EUROPEI-GREEN ITALIA;2;;
CIANCIANA;SCELTA EUROPEA;2;;
CIANCIANA;IO CAMBIO - MAIE;1;;
CIANCIANA;ITALIA DEI VALORI;0;;
COMITINI;PARTITO DEMOCRATICO;112;;
COMITINI;NUOVO CENTRO DESTRA - UDC;95;;
COMITINI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;59;;
COMITINI;FORZA ITALIA;31;;
COMITINI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;14;;
COMITINI;L'ALTRA EUROPA CON TSIPRAS;12;;
COMITINI;ITALIA DEI VALORI;2;;
COMITINI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
COMITINI;SCELTA EUROPEA;0;;
COMITINI;VERDI EUROPEI-GREEN ITALIA;0;;
COMITINI;IO CAMBIO - MAIE;0;;
FAVARA;PARTITO DEMOCRATICO;3364;;
FAVARA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2187;;
FAVARA;FORZA ITALIA;1807;;
FAVARA;NUOVO CENTRO DESTRA - UDC;974;;
FAVARA;L'ALTRA EUROPA CON TSIPRAS;290;;
FAVARA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;144;;
FAVARA;VERDI EUROPEI-GREEN ITALIA;71;;
FAVARA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;52;;
FAVARA;ITALIA DEI VALORI;15;;
FAVARA;SCELTA EUROPEA;14;;
FAVARA;IO CAMBIO - MAIE;8;;
GROTTE;PARTITO DEMOCRATICO;708;;
GROTTE;FORZA ITALIA;547;;
GROTTE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;429;;
GROTTE;NUOVO CENTRO DESTRA - UDC;268;;
GROTTE;L'ALTRA EUROPA CON TSIPRAS;62;;
