

Ente;Liste/Gruppi;Voti;
ANDREIS;PARTITO DEMOCRATICO;82;;
ANDREIS;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;22;;
ANDREIS;FORZA ITALIA;16;;
ANDREIS;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;13;;
ANDREIS;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;10;;
ANDREIS;L'ALTRA EUROPA CON TSIPRAS;5;;
ANDREIS;SVP;4;;
ANDREIS;SCELTA EUROPEA;3;;
ANDREIS;VERDI EUROPEI-GREEN ITALIA;2;;
ANDREIS;NUOVO CENTRO DESTRA - UDC;1;;
ANDREIS;ITALIA DEI VALORI;0;;
ANDREIS;IO CAMBIO - MAIE;0;;
ARBA;PARTITO DEMOCRATICO;223;;
ARBA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;142;;
ARBA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;115;;
ARBA;FORZA ITALIA;108;;
ARBA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;61;;
ARBA;NUOVO CENTRO DESTRA - UDC;13;;
ARBA;L'ALTRA EUROPA CON TSIPRAS;8;;
ARBA;VERDI EUROPEI-GREEN ITALIA;6;;
ARBA;ITALIA DEI VALORI;5;;
ARBA;IO CAMBIO - MAIE;5;;
ARBA;SCELTA EUROPEA;3;;
ARBA;SVP;1;;
ARZENE;PARTITO DEMOCRATICO;311;;
ARZENE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;139;;
ARZENE;FORZA ITALIA;78;;
ARZENE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;78;;
ARZENE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;68;;
ARZENE;NUOVO CENTRO DESTRA - UDC;26;;
ARZENE;L'ALTRA EUROPA CON TSIPRAS;21;;
ARZENE;SCELTA EUROPEA;3;;
ARZENE;ITALIA DEI VALORI;1;;
ARZENE;IO CAMBIO - MAIE;1;;
ARZENE;VERDI EUROPEI-GREEN ITALIA;1;;
ARZENE;SVP;0;;
AVIANO;PARTITO DEMOCRATICO;1619;;
AVIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;719;;
AVIANO;FORZA ITALIA;495;;
AVIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;364;;
AVIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;233;;
AVIANO;L'ALTRA EUROPA CON TSIPRAS;116;;
AVIANO;NUOVO CENTRO DESTRA - UDC;115;;
AVIANO;VERDI EUROPEI-GREEN ITALIA;34;;
AVIANO;SCELTA EUROPEA;26;;
AVIANO;ITALIA DEI VALORI;13;;
AVIANO;SVP;8;;
AVIANO;IO CAMBIO - MAIE;5;;
AZZANO DECIMO;PARTITO DEMOCRATICO;2734;;
