

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ABBADIA SAN SALVATORE ;5284;4069;103;231;
ASCIANO ;5477;4052;105;205;
BUONCONVENTO ;2489;1893;56;113;
CASOLE D'ELSA ;2957;2331;52;129;
CASTELLINA IN CHIANTI ;2085;1536;18;52;
CASTELNUOVO BERARDENGA ;6963;4996;88;201;
CASTIGLIONE D'ORCIA ;1993;1496;36;79;
CETONA ;2278;1662;30;85;
CHIANCIANO TERME ;5503;4078;95;199;
CHIUSDINO ;1395;1037;25;52;
CHIUSI ;6635;4683;24;123;
COLLE DI VAL D'ELSA ;16189;12247;159;408;
GAIOLE IN CHIANTI ;1878;1431;53;102;
MONTALCINO ;3885;2412;26;82;
MONTEPULCIANO ;11330;8159;157;301;
MONTERIGGIONI ;7413;5464;76;163;
MONTERONI D'ARBIA ;6437;4965;127;229;
MONTICIANO ;1046;661;3;21;
MURLO ;1832;1439;39;87;
PIANCASTAGNAIO ;3448;2748;63;160;
PIENZA ;1743;1454;35;62;
POGGIBONSI ;22128;16359;176;487;
RADDA IN CHIANTI ;1222;896;24;63;
RADICOFANI ;959;798;50;66;
RADICONDOLI ;726;571;21;41;
RAPOLANO TERME ;4016;2833;48;113;
SAN CASCIANO DEI BAGNI ;1379;1045;19;58;
SAN GIMIGNANO ;6100;4652;50;151;
SAN GIOVANNI D'ASSO ;685;521;15;31;
SAN QUIRICO D'ORCIA ;2043;1566;34;61;
SARTEANO ;3684;2379;25;85;
SIENA ;43113;27305;212;689;
SINALUNGA ;10030;6984;116;300;
SOVICILLE ;7674;5470;81;239;
TORRITA DI SIENA ;5956;4382;84;211;
TREQUANDA ;1039;743;11;21;
