

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
BAGNO DI ROMAGNA ;5183;4136;85;172;
BERTINORO ;8810;6003;37;159;
BORGHI ;2215;1560;39;81;
CASTROCARO TERME E TERRA DEL SOLE ;4985;3164;13;100;
CESENA ;76611;56137;604;1786;
CESENATICO ;20367;13336;84;419;
CIVITELLA DI ROMAGNA ;2770;2126;68;136;
DOVADOLA ;1344;755;5;21;
FORLI' ;90168;64133;600;1774;
FORLIMPOPOLI ;10154;7345;81;275;
GALEATA ;1701;1126;10;46;
GAMBETTOLA ;7914;5811;120;280;
GATTEO ;6776;4406;32;149;
LONGIANO ;5509;3845;28;95;
MELDOLA ;7754;5917;127;303;
MERCATO SARACENO ;5464;4001;78;175;
MODIGLIANA ;3758;2859;69;143;
MONTIANO ;1390;1103;27;55;
PORTICO E SAN BENEDETTO ;670;486;17;31;
PREDAPPIO ;5054;3777;53;194;
PREMILCUORE ;635;541;11;26;
ROCCA SAN CASCIANO ;1744;1363;43;94;
RONCOFREDDO ;2647;2122;57;134;
SAN MAURO PASCOLI ;8524;6064;118;258;
SANTA SOFIA ;3201;2615;64;146;
SARSINA ;2989;1919;9;63;
SAVIGNANO SUL RUBICONE ;12802;9321;160;330;
SOGLIANO AL RUBICONE ;2561;1696;8;64;
TREDOZIO ;1124;834;23;41;
VERGHERETO ;1595;943;10;40;
