

Ente;Liste/Gruppi;Voti;
ACCUMOLI;FORZA ITALIA;127;;
ACCUMOLI;PARTITO DEMOCRATICO;127;;
ACCUMOLI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;49;;
ACCUMOLI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;23;;
ACCUMOLI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;12;;
ACCUMOLI;NUOVO CENTRO DESTRA - UDC;11;;
ACCUMOLI;L'ALTRA EUROPA CON TSIPRAS;7;;
ACCUMOLI;IO CAMBIO - MAIE;5;;
ACCUMOLI;VERDI EUROPEI-GREEN ITALIA;4;;
ACCUMOLI;ITALIA DEI VALORI;1;;
ACCUMOLI;SCELTA EUROPEA;0;;
AMATRICE;FORZA ITALIA;444;;
AMATRICE;PARTITO DEMOCRATICO;397;;
AMATRICE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;380;;
AMATRICE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;221;;
AMATRICE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;46;;
AMATRICE;NUOVO CENTRO DESTRA - UDC;39;;
AMATRICE;L'ALTRA EUROPA CON TSIPRAS;26;;
AMATRICE;VERDI EUROPEI-GREEN ITALIA;11;;
AMATRICE;ITALIA DEI VALORI;11;;
AMATRICE;IO CAMBIO - MAIE;4;;
AMATRICE;SCELTA EUROPEA;2;;
ANTRODOCO;PARTITO DEMOCRATICO;471;;
ANTRODOCO;FORZA ITALIA;366;;
ANTRODOCO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;267;;
ANTRODOCO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;96;;
ANTRODOCO;NUOVO CENTRO DESTRA - UDC;31;;
ANTRODOCO;L'ALTRA EUROPA CON TSIPRAS;30;;
ANTRODOCO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;26;;
ANTRODOCO;SCELTA EUROPEA;8;;
ANTRODOCO;VERDI EUROPEI-GREEN ITALIA;5;;
ANTRODOCO;ITALIA DEI VALORI;4;;
ANTRODOCO;IO CAMBIO - MAIE;0;;
ASCREA;PARTITO DEMOCRATICO;41;;
ASCREA;FORZA ITALIA;25;;
ASCREA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;23;;
ASCREA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;11;;
ASCREA;SCELTA EUROPEA;6;;
ASCREA;L'ALTRA EUROPA CON TSIPRAS;5;;
ASCREA;ITALIA DEI VALORI;4;;
ASCREA;NUOVO CENTRO DESTRA - UDC;2;;
ASCREA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;2;;
ASCREA;IO CAMBIO - MAIE;1;;
ASCREA;VERDI EUROPEI-GREEN ITALIA;0;;
BELMONTE IN SABINA;PARTITO DEMOCRATICO;90;;
BELMONTE IN SABINA;FORZA ITALIA;72;;
BELMONTE IN SABINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;64;;
BELMONTE IN SABINA;SCELTA EUROPEA;29;;
BELMONTE IN SABINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;9;;
BELMONTE IN SABINA;NUOVO CENTRO DESTRA - UDC;8;;
BELMONTE IN SABINA;L'ALTRA EUROPA CON TSIPRAS;8;;
BELMONTE IN SABINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;6;;
BELMONTE IN SABINA;VERDI EUROPEI-GREEN ITALIA;2;;
BELMONTE IN SABINA;ITALIA DEI VALORI;2;;
BELMONTE IN SABINA;IO CAMBIO - MAIE;0;;
BORBONA;PARTITO DEMOCRATICO;135;;
BORBONA;FORZA ITALIA;61;;
BORBONA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;58;;
BORBONA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;22;;
BORBONA;L'ALTRA EUROPA CON TSIPRAS;12;;
BORBONA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
BORBONA;SCELTA EUROPEA;6;;
BORBONA;NUOVO CENTRO DESTRA - UDC;2;;
BORBONA;IO CAMBIO - MAIE;1;;
BORBONA;VERDI EUROPEI-GREEN ITALIA;1;;
BORBONA;ITALIA DEI VALORI;0;;
BORGO VELINO;PARTITO DEMOCRATICO;181;;
BORGO VELINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;127;;
BORGO VELINO;FORZA ITALIA;103;;
BORGO VELINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;41;;
BORGO VELINO;NUOVO CENTRO DESTRA - UDC;32;;
BORGO VELINO;L'ALTRA EUROPA CON TSIPRAS;16;;
BORGO VELINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;9;;
BORGO VELINO;SCELTA EUROPEA;3;;
BORGO VELINO;VERDI EUROPEI-GREEN ITALIA;1;;
BORGO VELINO;ITALIA DEI VALORI;0;;
BORGO VELINO;IO CAMBIO - MAIE;0;;
BORGOROSE;PARTITO DEMOCRATICO;625;;
BORGOROSE;FORZA ITALIA;491;;
BORGOROSE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;459;;
BORGOROSE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;75;;
BORGOROSE;NUOVO CENTRO DESTRA - UDC;67;;
BORGOROSE;L'ALTRA EUROPA CON TSIPRAS;59;;
BORGOROSE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;45;;
BORGOROSE;SCELTA EUROPEA;20;;
BORGOROSE;VERDI EUROPEI-GREEN ITALIA;10;;
BORGOROSE;ITALIA DEI VALORI;8;;
BORGOROSE;IO CAMBIO - MAIE;3;;
CANTALICE;PARTITO DEMOCRATICO;612;;
CANTALICE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;372;;
CANTALICE;FORZA ITALIA;294;;
CANTALICE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;133;;
CANTALICE;NUOVO CENTRO DESTRA - UDC;64;;
CANTALICE;L'ALTRA EUROPA CON TSIPRAS;61;;
CANTALICE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;43;;
CANTALICE;SCELTA EUROPEA;18;;
CANTALICE;VERDI EUROPEI-GREEN ITALIA;10;;
CANTALICE;ITALIA DEI VALORI;8;;
CANTALICE;IO CAMBIO - MAIE;8;;
CANTALUPO IN SABINA;PARTITO DEMOCRATICO;471;;
CANTALUPO IN SABINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;229;;
CANTALUPO IN SABINA;FORZA ITALIA;174;;
CANTALUPO IN SABINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;71;;
CANTALUPO IN SABINA;L'ALTRA EUROPA CON TSIPRAS;39;;
CANTALUPO IN SABINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;14;;
CANTALUPO IN SABINA;NUOVO CENTRO DESTRA - UDC;11;;
CANTALUPO IN SABINA;VERDI EUROPEI-GREEN ITALIA;8;;
CANTALUPO IN SABINA;SCELTA EUROPEA;6;;
CANTALUPO IN SABINA;ITALIA DEI VALORI;4;;
CANTALUPO IN SABINA;IO CAMBIO - MAIE;1;;
CASAPROTA;PARTITO DEMOCRATICO;98;;
CASAPROTA;FORZA ITALIA;77;;
CASAPROTA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;73;;
CASAPROTA;NUOVO CENTRO DESTRA - UDC;27;;
CASAPROTA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;14;;
CASAPROTA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
CASAPROTA;L'ALTRA EUROPA CON TSIPRAS;8;;
CASAPROTA;ITALIA DEI VALORI;4;;
CASAPROTA;VERDI EUROPEI-GREEN ITALIA;2;;
CASAPROTA;SCELTA EUROPEA;0;;
CASAPROTA;IO CAMBIO - MAIE;0;;
CASPERIA;PARTITO DEMOCRATICO;248;;
CASPERIA;FORZA ITALIA;145;;
CASPERIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;143;;
CASPERIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;64;;
CASPERIA;L'ALTRA EUROPA CON TSIPRAS;52;;
CASPERIA;NUOVO CENTRO DESTRA - UDC;49;;
CASPERIA;VERDI EUROPEI-GREEN ITALIA;13;;
CASPERIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;10;;
CASPERIA;ITALIA DEI VALORI;6;;
CASPERIA;SCELTA EUROPEA;5;;
CASPERIA;IO CAMBIO - MAIE;1;;
CASTEL DI TORA;PARTITO DEMOCRATICO;77;;
CASTEL DI TORA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;53;;
CASTEL DI TORA;FORZA ITALIA;45;;
CASTEL DI TORA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;15;;
