

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALBAVILLA ;5263;3838;96;243;
ALBESE CON CASSANO ;3514;2506;48;151;
ALBIOLO ;2295;1586;32;104;
ALSERIO ;958;792;26;50;
ALZATE BRIANZA ;4009;3083;66;192;
ANZANO DEL PARCO ;1472;1133;24;60;
APPIANO GENTILE ;6735;3700;29;152;
ARGEGNO ;603;447;18;25;
AROSIO ;4008;3036;81;195;
ASSO ;2831;1622;17;60;
BARNI ;459;298;2;12;
BELLAGIO ;3330;2323;80;150;
BENE LARIO ;419;193;5;12;
BEREGAZZO CON FIGLIARO ;2304;1395;10;57;
BINAGO ;4016;2733;39;136;
BIZZARONE ;1309;953;31;73;
BLESSAGNO ;281;125;0;2;
BLEVIO ;1005;735;24;41;
BREGNANO ;5225;3463;79;217;
BRENNA ;1738;1395;35;89;
BRIENNO ;328;180;2;8;
BRUNATE ;1429;1059;23;60;
BULGAROGRASSO ;3112;1920;19;108;
CABIATE ;5902;4269;59;207;
CADORAGO ;6057;4234;81;239;
CAGLIO ;404;288;7;15;
CAGNO ;1774;1069;26;75;
CAMPIONE D'ITALIA ;2850;1213;16;48;
CANTU' ;30866;17799;134;630;
CANZO ;4109;3008;80;206;
CAPIAGO INTIMIANO ;4588;3347;57;167;
CARATE URIO ;1026;595;8;12;
CARBONATE ;2409;1563;8;64;
CARIMATE ;3500;2590;55;133;
CARLAZZO ;2849;1314;34;51;
CARUGO ;4888;3113;20;130;
CASASCO D'INTELVI ;454;293;8;19;
CASLINO D'ERBA ;1362;1028;27;56;
CASNATE CON BERNATE ;4036;2687;15;96;
CASSINA RIZZARDI ;2562;1517;8;54;
CASTELMARTE ;1025;763;16;47;
CASTELNUOVO BOZZENTE ;776;633;15;32;
CASTIGLIONE D'INTELVI ;917;706;9;32;
CAVALLASCA ;2417;1766;31;94;
CAVARGNA ;328;93;3;4;
CERANO D'INTELVI ;432;355;5;42;
CERMENATE ;7690;5156;89;269;
CERNOBBIO ;6002;3356;24;122;
CIRIMIDO ;1616;1143;25;88;
CLAINO CON OSTENO ;612;346;20;38;
COLONNO ;423;280;15;27;
COLVERDE ;4418;3109;62;184;
COMO ;68640;38569;243;1229;
CORRIDO ;779;516;23;68;
CREMIA ;738;544;20;45;
CUCCIAGO ;2807;1979;39;135;
CUSINO ;208;185;11;30;
DIZZASCO ;508;364;11;29;
DOMASO ;1336;742;2;17;
DONGO ;2961;2379;81;146;
DOSSO DEL LIRO ;246;207;34;62;
ERBA ;13204;8117;65;315;
EUPILIO ;2280;1389;16;43;
FAGGETO LARIO ;983;725;20;39;
FALOPPIO ;3988;2200;14;80;
FENEGRO' ;2495;1648;28;82;
FIGINO SERENZA ;4200;3084;75;196;
FINO MORNASCO ;7635;5352;116;320;
GARZENO ;772;629;35;66;
GERA LARIO ;859;467;8;15;
GRANDATE ;2399;1838;46;114;
GRANDOLA ED UNITI ;1135;569;4;24;
GRAVEDONA ED UNITI ;3787;2112;19;98;
GRIANTE ;569;315;2;5;
GUANZATE ;4735;2765;21;143;
INVERIGO ;7273;4582;43;188;
LAGLIO ;805;434;4;12;
LAINO ;520;335;10;31;
