

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AVETRANA ;5832;1944;23;131;
CAROSINO ;5700;4608;254;452;
CASTELLANETA ;14344;7485;66;483;
CRISPIANO ;11484;5089;76;278;
FAGGIANO ;2976;2523;179;265;
FRAGAGNANO ;4583;2405;25;121;
GINOSA ;18850;9473;74;502;
GROTTAGLIE ;26521;12000;161;690;
LATERZA ;12321;6454;49;300;
LEPORANO ;6497;2893;22;100;
LIZZANO ;8348;4134;52;213;
MANDURIA ;26142;11196;172;835;
MARTINA FRANCA ;41248;20290;278;1323;
MARUGGIO ;4681;3850;407;626;
MASSAFRA ;26215;13337;145;771;
MONTEIASI ;4603;2173;31;130;
MONTEMESOLA ;3427;1564;37;114;
MONTEPARANO ;2010;1025;17;49;
MOTTOLA ;13610;7101;88;432;
PALAGIANELLO ;6446;3275;39;199;
PALAGIANO ;12859;6246;77;388;
PULSANO ;9392;4478;70;246;
ROCCAFORZATA ;1519;833;17;54;
SAN GIORGIO IONICO ;12658;6066;43;255;
SAN MARZANO DI SAN GIUSEPPE ;7330;3603;56;233;
SAVA ;14077;5736;77;328;
STATTE ;11416;5250;51;348;
TARANTO ;168660;71243;454;2453;
TORRICELLA ;3588;1603;34;136;
