

Ente;Liste/Gruppi;Voti;
CARASCO;PARTITO DEMOCRATICO;617;;
CARASCO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;510;;
CARASCO;FORZA ITALIA;323;;
CARASCO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;182;;
CARASCO;NUOVO CENTRO DESTRA - UDC;135;;
CARASCO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;48;;
CARASCO;L'ALTRA EUROPA CON TSIPRAS;40;;
CARASCO;ITALIA DEI VALORI;17;;
CARASCO;VERDI EUROPEI-GREEN ITALIA;11;;
CARASCO;SCELTA EUROPEA;8;;
CARASCO;IO CAMBIO - MAIE;5;;
CASARZA LIGURE;PARTITO DEMOCRATICO;1473;;
CASARZA LIGURE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1098;;
CASARZA LIGURE;FORZA ITALIA;641;;
CASARZA LIGURE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;275;;
CASARZA LIGURE;L'ALTRA EUROPA CON TSIPRAS;187;;
CASARZA LIGURE;NUOVO CENTRO DESTRA - UDC;158;;
CASARZA LIGURE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;105;;
CASARZA LIGURE;VERDI EUROPEI-GREEN ITALIA;38;;
CASARZA LIGURE;ITALIA DEI VALORI;20;;
CASARZA LIGURE;SCELTA EUROPEA;17;;
CASARZA LIGURE;IO CAMBIO - MAIE;8;;
CASELLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;640;;
CASELLA;PARTITO DEMOCRATICO;609;;
CASELLA;FORZA ITALIA;238;;
CASELLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;100;;
CASELLA;L'ALTRA EUROPA CON TSIPRAS;67;;
CASELLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;37;;
CASELLA;NUOVO CENTRO DESTRA - UDC;29;;
CASELLA;SCELTA EUROPEA;16;;
CASELLA;ITALIA DEI VALORI;14;;
CASELLA;VERDI EUROPEI-GREEN ITALIA;12;;
CASELLA;IO CAMBIO - MAIE;1;;
CASTIGLIONE CHIAVARESE;PARTITO DEMOCRATICO;364;;
CASTIGLIONE CHIAVARESE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;213;;
CASTIGLIONE CHIAVARESE;FORZA ITALIA;115;;
CASTIGLIONE CHIAVARESE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;64;;
CASTIGLIONE CHIAVARESE;NUOVO CENTRO DESTRA - UDC;47;;
CASTIGLIONE CHIAVARESE;L'ALTRA EUROPA CON TSIPRAS;34;;
CASTIGLIONE CHIAVARESE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;19;;
CASTIGLIONE CHIAVARESE;VERDI EUROPEI-GREEN ITALIA;14;;
CASTIGLIONE CHIAVARESE;ITALIA DEI VALORI;10;;
CASTIGLIONE CHIAVARESE;SCELTA EUROPEA;3;;
CASTIGLIONE CHIAVARESE;IO CAMBIO - MAIE;2;;
CERANESI;PARTITO DEMOCRATICO;885;;
CERANESI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;645;;
CERANESI;FORZA ITALIA;158;;
CERANESI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;92;;
CERANESI;L'ALTRA EUROPA CON TSIPRAS;62;;
CERANESI;NUOVO CENTRO DESTRA - UDC;49;;
CERANESI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;27;;
CERANESI;VERDI EUROPEI-GREEN ITALIA;16;;
CERANESI;ITALIA DEI VALORI;13;;
CERANESI;SCELTA EUROPEA;6;;
CERANESI;IO CAMBIO - MAIE;3;;
CHIAVARI;PARTITO DEMOCRATICO;4990;;
CHIAVARI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2977;;
CHIAVARI;FORZA ITALIA;1849;;
CHIAVARI;NUOVO CENTRO DESTRA - UDC;1075;;
CHIAVARI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;732;;
CHIAVARI;L'ALTRA EUROPA CON TSIPRAS;543;;
CHIAVARI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;353;;
CHIAVARI;VERDI EUROPEI-GREEN ITALIA;89;;
CHIAVARI;SCELTA EUROPEA;77;;
CHIAVARI;ITALIA DEI VALORI;60;;
CHIAVARI;IO CAMBIO - MAIE;24;;
CICAGNA;PARTITO DEMOCRATICO;280;;
CICAGNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;279;;
