

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALTIDONA ;2655;1425;19;60;
AMANDOLA ;3104;2501;121;181;
BELMONTE PICENO ;566;444;40;57;
CAMPOFILONE ;1742;1206;65;105;
FALERONE ;2941;1995;126;188;
FERMO ;30596;17417;192;656;
FRANCAVILLA D'ETE ;912;636;40;70;
GROTTAZZOLINA ;2624;1922;115;192;
LAPEDONA ;1071;824;51;84;
MAGLIANO DI TENNA ;1137;914;62;103;
MASSA FERMANA ;909;623;47;83;
MONSAMPIETRO MORICO ;566;484;46;63;
MONTAPPONE ;1669;1015;76;114;
MONTEFALCONE APPENNINO ;456;280;20;29;
MONTEFORTINO ;1152;541;7;20;
MONTE GIBERTO ;743;520;61;77;
MONTEGIORGIO ;6260;3029;58;141;
MONTEGRANARO ;10908;8120;333;562;
MONTELEONE DI FERMO ;359;201;7;14;
MONTELPARO ;734;362;4;15;
MONTE RINALDO ;411;297;33;47;
MONTERUBBIANO ;2159;867;44;72;
MONTE SAN PIETRANGELI ;2307;1184;41;83;
MONTE URANO ;6215;4664;218;356;
MONTE VIDON COMBATTE ;452;264;30;41;
MONTE VIDON CORRADO ;779;476;25;42;
MONTOTTONE ;984;415;7;17;
MORESCO ;517;390;33;43;
ORTEZZANO ;674;361;6;9;
PEDASO ;2123;1239;15;41;
PETRITOLI ;2206;1114;23;70;
PONZANO DI FERMO ;1442;936;47;78;
PORTO SAN GIORGIO ;13807;7710;84;281;
PORTO SANT'ELPIDIO ;19458;11010;132;416;
RAPAGNANO ;1676;990;33;68;
SANTA VITTORIA IN MATENANO ;1180;969;69;105;
SANT'ELPIDIO A MARE ;14302;7509;107;316;
SERVIGLIANO ;1947;1507;112;156;
SMERILLO ;321;282;30;36;
TORRE SAN PATRIZIO ;1878;1229;101;144;
