

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALASSIO ;9294;5145;38;139;
ALBENGA ;19080;14522;393;1000;
ALBISSOLA MARINA ;4881;3556;68;167;
ALBISOLA SUPERIORE ;9001;6511;145;409;
ALTARE ;1886;1059;8;36;
ANDORA ;6264;4763;183;351;
ARNASCO ;498;338;10;29;
BALESTRINO ;586;279;4;12;
BARDINETO ;606;477;33;55;
BERGEGGI ;986;749;13;36;
BOISSANO ;2042;1257;10;42;
BORGHETTO SANTO SPIRITO ;4076;2235;15;96;
BORGIO VEREZZI ;2053;1215;8;47;
BORMIDA ;447;315;39;58;
CAIRO MONTENOTTE ;10848;6306;65;311;
CALICE LIGURE ;1584;1156;41;104;
CALIZZANO ;1448;707;12;44;
CARCARE ;4728;2970;36;152;
CASANOVA LERRONE ;577;455;31;58;
CASTELBIANCO ;269;126;3;13;
CASTELVECCHIO DI ROCCA BARBENA ;167;108;0;3;
CELLE LIGURE ;4663;3401;67;182;
CENGIO ;2891;1709;21;80;
CERIALE ;4528;2527;26;84;
CISANO SUL NEVA ;1625;1240;25;68;
COSSERIA ;1033;725;26;59;
DEGO ;2250;1323;81;128;
ERLI ;287;156;13;15;
FINALE LIGURE ;10491;7389;167;398;
GARLENDA ;955;716;23;58;
GIUSTENICE ;851;693;30;50;
GIUSVALLA ;734;232;4;18;
LAIGUEGLIA ;1533;908;10;32;
LOANO ;9335;5325;38;188;
MAGLIOLO ;941;669;31;57;
MALLARE ;1153;823;48;94;
MASSIMINO ;97;75;2;5;
MILLESIMO ;3090;2222;82;178;
MIOGLIA ;581;355;22;39;
MURIALDO ;761;540;27;50;
NASINO ;226;136;6;10;
NOLI ;2423;1738;46;116;
ONZO ;184;150;6;13;
ORCO FEGLINO ;917;620;30;57;
ORTOVERO ;1164;978;29;55;
OSIGLIA ;608;315;17;32;
PALLARE ;922;653;25;80;
PIANA CRIXIA ;759;549;36;64;
PIETRA LIGURE ;7492;5355;143;360;
PLODIO ;555;446;28;45;
PONTINVREA ;836;552;24;53;
QUILIANO ;6594;4588;89;252;
RIALTO ;630;279;4;16;
ROCCAVIGNALE ;754;539;31;62;
SASSELLO ;1952;977;18;40;
SAVONA ;49968;30821;194;1051;
SPOTORNO ;3329;1945;12;54;
STELLA ;2888;1644;11;63;
STELLANELLO ;688;389;7;24;
TESTICO ;166;92;1;5;
TOIRANO ;2267;1711;38;104;
TOVO SAN GIACOMO ;2142;1297;12;63;
URBE ;725;529;34;51;
VADO LIGURE ;7218;5169;119;302;
VARAZZE ;12084;8360;146;496;
VENDONE ;339;288;21;42;
VEZZI PORTIO ;768;539;8;25;
VILLANOVA D'ALBENGA ;2150;1741;69;139;
ZUCCARELLO ;292;176;1;7;
