

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACCEGLIO ;147;88;7;11;
AISONE ;232;175;17;23;
ALBA ;24427;18700;643;1323;
ALBARETTO DELLA TORRE ;196;165;10;28;
ALTO ;119;67;4;7;
ARGENTERA ;74;65;4;5;
ARGUELLO ;170;134;9;13;
BAGNASCO ;959;632;39;102;
BAGNOLO PIEMONTE ;4860;2732;85;267;
BALDISSERO D'ALBA ;871;753;52;85;
BARBARESCO ;547;340;21;31;
BARGE ;6690;3665;100;289;
BAROLO ;584;488;33;50;
BASTIA MONDOVI' ;478;292;10;27;
BATTIFOLLO ;218;162;22;30;
BEINETTE ;2670;1850;89;191;
BELLINO ;111;80;14;24;
BELVEDERE LANGHE ;314;211;18;33;
BENE VAGIENNA ;2868;1623;48;156;
BENEVELLO ;391;232;3;15;
BERGOLO ;95;30;1;1;
BERNEZZO ;3063;2346;87;227;
BONVICINO ;81;71;12;16;
BORGOMALE ;308;253;18;35;
BORGO SAN DALMAZZO ;9768;6142;96;375;
BOSIA ;197;136;10;20;
BOSSOLASCO ;582;435;36;63;
BOVES ;7876;5740;243;547;
BRA ;22711;16689;750;1515;
BRIAGLIA ;291;212;17;28;
BRIGA ALTA ;122;35;1;3;
BRONDELLO ;281;208;19;34;
BROSSASCO ;928;755;38;87;
BUSCA ;8597;6236;325;722;
CAMERANA ;542;467;57;95;
CAMO ;200;146;9;48;
CANALE ;4288;3216;144;312;
CANOSIO ;86;65;9;9;
CAPRAUNA ;132;64;2;3;
CARAGLIO ;5559;3935;176;397;
CARAMAGNA PIEMONTE ;2502;1805;113;251;
CARDE' ;1253;782;39;102;
CARRU' ;3647;2099;67;171;
CARTIGNANO ;150;114;6;12;
CASALGRASSO ;1222;694;16;44;
CASTAGNITO ;1516;1171;41;72;
CASTELDELFINO ;149;85;0;5;
CASTELLAR ;270;216;17;28;
CASTELLETTO STURA ;1093;872;53;113;
CASTELLETTO UZZONE ;391;231;23;31;
CASTELLINALDO ;742;633;48;74;
CASTELLINO TANARO ;315;227;21;51;
CASTELMAGNO ;89;42;0;4;
CASTELNUOVO DI CEVA ;150;61;1;2;
CASTIGLIONE FALLETTO ;537;484;24;39;
CASTIGLIONE TINELLA ;719;440;24;38;
CASTINO ;452;278;26;54;
CAVALLERLEONE ;640;435;42;62;
CAVALLERMAGGIORE ;4726;2782;47;243;
CELLE DI MACRA ;88;73;3;7;
CENTALLO ;5348;3893;196;497;
CERESOLE ALBA ;1721;1384;60;121;
CERRETTO LANGHE ;375;283;20;46;
CERVASCA ;4006;2991;120;275;
CERVERE ;1890;1354;58;185;
CEVA ;4459;3228;190;377;
CHERASCO ;7093;5159;227;506;
CHIUSA DI PESIO ;3170;2291;135;257;
CIGLIE' ;168;117;12;25;
CISSONE ;84;55;6;8;
CLAVESANA ;702;476;32;63;
CORNELIANO D'ALBA ;1657;1297;67;139;
CORTEMILIA ;2134;1084;22;73;
COSSANO BELBO ;1006;552;23;49;
COSTIGLIOLE SALUZZO ;2520;1734;68;163;
CRAVANZANA ;394;275;23;41;
CRISSOLO ;147;86;7;14;
CUNEO ;44113;28412;445;1504;
DEMONTE ;1695;962;26;71;
DIANO D'ALBA ;2899;1917;37;114;
DOGLIANI ;3693;2810;168;348;
DRONERO ;5487;3447;75;251;
ELVA ;81;41;6;8;
ENTRACQUE ;691;402;20;45;
ENVIE ;2074;1354;131;205;
FARIGLIANO ;1432;1062;85;147;
FAULE ;454;343;25;51;
FEISOGLIO ;389;216;4;15;
FOSSANO ;19780;14517;572;1203;
FRABOSA SOPRANA ;700;409;16;40;
FRABOSA SOTTANA ;1238;943;76;134;
FRASSINO ;245;141;6;12;
GAIOLA ;452;365;24;58;
GAMBASCA ;343;233;14;25;
GARESSIO ;2870;1824;99;221;
GENOLA ;2097;1530;57;139;
GORZEGNO ;287;208;27;41;
GOTTASECCA ;187;107;7;18;
GOVONE ;1836;1391;55;128;
GRINZANE CAVOUR ;1473;999;15;54;
GUARENE ;2654;2208;88;160;
IGLIANO ;95;39;0;3;
ISASCA ;92;57;5;8;
LAGNASCO ;1191;904;62;106;
LA MORRA ;2203;1689;101;171;
LEQUIO BERRIA ;449;347;29;57;
LEQUIO TANARO ;676;355;8;34;
LESEGNO ;742;512;35;67;
LEVICE ;268;161;14;19;
LIMONE PIEMONTE ;1298;983;42;82;
LISIO ;185;158;13;27;
MACRA ;55;38;0;1;
MAGLIANO ALFIERI ;1621;1251;44;89;
MAGLIANO ALPI ;1804;1385;86;175;
MANGO ;1071;742;46;101;
MANTA ;2942;2179;90;181;
MARENE ;2496;1864;83;157;
MARGARITA ;1173;815;56;119;
MARMORA ;61;57;5;8;
MARSAGLIA ;229;189;18;36;
MARTINIANA PO ;628;402;24;49;
MELLE ;263;157;5;13;
MOIOLA ;206;166;18;31;
MOMBARCARO ;239;193;26;44;
MOMBASIGLIO ;605;382;22;50;
MONASTERO DI VASCO ;1104;694;15;51;
MONASTEROLO CASOTTO ;85;68;12;16;
MONASTEROLO DI SAVIGLIANO ;1190;895;57;110;
MONCHIERO ;442;334;20;42;
MONDOVI' ;17485;10865;226;712;
MONESIGLIO ;559;395;32;54;
MONFORTE D'ALBA ;1600;1180;77;144;
MONTA' ;3530;2682;125;308;
MONTALDO DI MONDOVI' ;492;397;35;66;
MONTALDO ROERO ;719;618;43;87;
MONTANERA ;594;472;35;58;
MONTELUPO ALBESE ;413;319;19;44;
MONTEMALE DI CUNEO ;213;152;11;26;
MONTEROSSO GRANA ;390;254;6;29;
MONTEU ROERO ;1477;1034;64;128;
MONTEZEMOLO ;346;191;8;17;
MONTICELLO D'ALBA ;1726;1410;74;147;
MORETTA ;3693;2431;101;237;
MOROZZO ;1605;990;30;80;
MURAZZANO ;826;482;55;89;
MURELLO ;936;479;12;32;
NARZOLE ;2518;1617;58;186;
NEIVE ;2456;1898;109;210;
NEVIGLIE ;343;269;26;36;
NIELLA BELBO ;405;255;25;52;
NIELLA TANARO ;876;679;35;98;
NOVELLO ;795;626;48;101;
NUCETTO ;461;289;14;22;
ONCINO ;81;33;0;0;
ORMEA ;1575;1102;81;138;
OSTANA ;74;51;3;7;
PAESANA ;2534;1833;108;264;
PAGNO ;523;417;36;59;
PAMPARATO ;301;225;22;46;
PAROLDO ;261;152;15;26;
PERLETTO ;265;200;9;25;
PERLO ;217;91;12;13;
PEVERAGNO ;4719;2928;72;213;
PEZZOLO VALLE UZZONE ;389;191;9;30;
PIANFEI ;1948;1294;84;216;
PIASCO ;2352;1795;100;188;
PIETRAPORZIO ;76;61;12;13;
PIOBESI D'ALBA ;1010;839;45;87;
PIOZZO ;874;561;46;78;
POCAPAGLIA ;2707;2028;75;222;
POLONGHERA ;928;716;62;94;
PONTECHIANALE ;173;100;3;9;
PRADLEVES ;227;189;14;23;
PRAZZO ;160;98;5;8;
PRIERO ;361;233;2;16;
PRIOCCA ;1693;1271;53;136;
PRIOLA ;706;429;36;64;
PRUNETTO ;418;279;14;35;
RACCONIGI ;8135;5194;91;358;
REVELLO ;3780;2702;157;280;
RIFREDDO ;829;684;55;109;
RITTANA ;102;62;1;3;
ROASCHIA ;174;57;6;8;
ROASCIO ;86;55;7;9;
ROBILANTE ;1859;1476;74;183;
ROBURENT ;521;364;26;49;
ROCCABRUNA ;1258;1053;61;147;
ROCCA CIGLIE' ;132;104;12;18;
ROCCA DE' BALDI ;1375;1036;63;185;
ROCCAFORTE MONDOVI' ;1721;990;20;68;
ROCCASPARVERA ;622;485;21;51;
ROCCAVIONE ;2303;1700;72;152;
ROCCHETTA BELBO ;177;112;11;20;
RODDI ;1236;859;21;49;
RODDINO ;362;241;16;32;
RODELLO ;789;710;35;54;
ROSSANA ;887;582;37;77;
RUFFIA ;317;229;13;32;
SALE DELLE LANGHE ;466;359;31;53;
SALE SAN GIOVANNI ;152;130;7;16;
SALICETO ;1269;819;47;102;
SALMOUR ;610;357;14;35;
SALUZZO ;13457;9739;343;782;
SAMBUCO ;118;48;2;5;
SAMPEYRE ;897;507;23;58;
SAN BENEDETTO BELBO ;235;128;8;21;
SAN DAMIANO MACRA ;392;306;28;53;
SANFRE' ;2376;1924;111;203;
SANFRONT ;2038;1688;127;244;
SAN MICHELE MONDOVI' ;1531;854;20;54;
SANT'ALBANO STURA ;1947;1549;87;169;
SANTA VITTORIA D'ALBA ;2094;1588;66;141;
SANTO STEFANO BELBO ;3389;1970;41;165;
SANTO STEFANO ROERO ;1185;856;62;106;
SAVIGLIANO ;17056;12433;466;1000;
SCAGNELLO ;195;145;10;21;
SCARNAFIGI ;1824;1331;66;149;
SERRALUNGA D'ALBA ;405;340;20;33;
SERRAVALLE LANGHE ;289;238;17;25;
SINIO ;375;257;12;23;
SOMANO ;406;240;20;43;
SOMMARIVA DEL BOSCO ;5143;3725;150;322;
SOMMARIVA PERNO ;2292;1759;97;202;
STROPPO ;79;62;6;10;
TARANTASCA ;1847;1312;75;169;
TORRE BORMIDA ;206;147;14;23;
TORRE MONDOVI' ;417;295;13;30;
TORRE SAN GIORGIO ;708;473;34;58;
TORRESINA ;50;36;5;9;
TREISO ;632;440;17;31;
TREZZO TINELLA ;284;239;13;20;
TRINITA' ;1934;1420;125;214;
VALDIERI ;945;490;16;55;
VALGRANA ;662;500;38;67;
VALLORIATE ;101;81;5;11;
VALMALA ;60;57;7;10;
VENASCA ;1269;977;63;115;
VERDUNO ;451;373;25;35;
VERNANTE ;1020;644;24;38;
VERZUOLO ;5036;3643;177;347;
VEZZA D'ALBA ;1834;1535;75;139;
VICOFORTE ;2563;2050;114;242;
VIGNOLO ;1986;1646;86;182;
VILLAFALLETTO ;2509;1683;79;213;
VILLANOVA MONDOVI' ;4638;2785;71;235;
VILLANOVA SOLARO ;778;553;69;109;
VILLAR SAN COSTANZO ;1354;991;59;135;
VINADIO ;555;311;11;27;
VIOLA ;376;302;24;36;
VOTTIGNASCO ;465;415;24;53;
