

Ente;Liste/Gruppi;Voti;
AIROLA;PARTITO DEMOCRATICO;1473;;
AIROLA;FORZA ITALIA;836;;
AIROLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;612;;
AIROLA;NUOVO CENTRO DESTRA - UDC;462;;
AIROLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;80;;
AIROLA;L'ALTRA EUROPA CON TSIPRAS;47;;
AIROLA;ITALIA DEI VALORI;21;;
AIROLA;VERDI EUROPEI-GREEN ITALIA;20;;
AIROLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;20;;
AIROLA;SCELTA EUROPEA;8;;
AIROLA;IO CAMBIO - MAIE;4;;
AMOROSI;PARTITO DEMOCRATICO;527;;
AMOROSI;FORZA ITALIA;469;;
AMOROSI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;364;;
AMOROSI;NUOVO CENTRO DESTRA - UDC;197;;
AMOROSI;L'ALTRA EUROPA CON TSIPRAS;116;;
AMOROSI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;43;;
AMOROSI;ITALIA DEI VALORI;21;;
AMOROSI;VERDI EUROPEI-GREEN ITALIA;15;;
AMOROSI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
AMOROSI;SCELTA EUROPEA;8;;
AMOROSI;IO CAMBIO - MAIE;4;;
APICE;PARTITO DEMOCRATICO;1116;;
APICE;FORZA ITALIA;1025;;
APICE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;507;;
APICE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;324;;
APICE;NUOVO CENTRO DESTRA - UDC;223;;
APICE;L'ALTRA EUROPA CON TSIPRAS;90;;
APICE;ITALIA DEI VALORI;64;;
APICE;SCELTA EUROPEA;35;;
APICE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;32;;
APICE;IO CAMBIO - MAIE;16;;
APICE;VERDI EUROPEI-GREEN ITALIA;8;;
APOLLOSA;FORZA ITALIA;408;;
APOLLOSA;PARTITO DEMOCRATICO;311;;
APOLLOSA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;305;;
APOLLOSA;NUOVO CENTRO DESTRA - UDC;81;;
APOLLOSA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;36;;
APOLLOSA;L'ALTRA EUROPA CON TSIPRAS;32;;
APOLLOSA;SCELTA EUROPEA;11;;
APOLLOSA;ITALIA DEI VALORI;7;;
APOLLOSA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;5;;
APOLLOSA;VERDI EUROPEI-GREEN ITALIA;3;;
APOLLOSA;IO CAMBIO - MAIE;3;;
ARPAIA;FORZA ITALIA;258;;
ARPAIA;PARTITO DEMOCRATICO;205;;
ARPAIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;171;;
ARPAIA;NUOVO CENTRO DESTRA - UDC;52;;
ARPAIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;11;;
ARPAIA;L'ALTRA EUROPA CON TSIPRAS;10;;
ARPAIA;IO CAMBIO - MAIE;5;;
ARPAIA;VERDI EUROPEI-GREEN ITALIA;5;;
ARPAIA;ITALIA DEI VALORI;4;;
ARPAIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
ARPAIA;SCELTA EUROPEA;2;;
ARPAISE;PARTITO DEMOCRATICO;175;;
ARPAISE;FORZA ITALIA;95;;
ARPAISE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;95;;
ARPAISE;NUOVO CENTRO DESTRA - UDC;17;;
ARPAISE;L'ALTRA EUROPA CON TSIPRAS;11;;
ARPAISE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;9;;
ARPAISE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
ARPAISE;SCELTA EUROPEA;2;;
ARPAISE;VERDI EUROPEI-GREEN ITALIA;0;;
ARPAISE;ITALIA DEI VALORI;0;;
ARPAISE;IO CAMBIO - MAIE;0;;
BASELICE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;555;;
BASELICE;PARTITO DEMOCRATICO;547;;
BASELICE;FORZA ITALIA;179;;
BASELICE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;100;;
BASELICE;NUOVO CENTRO DESTRA - UDC;74;;
BASELICE;ITALIA DEI VALORI;56;;
BASELICE;L'ALTRA EUROPA CON TSIPRAS;48;;
BASELICE;VERDI EUROPEI-GREEN ITALIA;12;;
BASELICE;SCELTA EUROPEA;9;;
BASELICE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
BASELICE;IO CAMBIO - MAIE;3;;
BENEVENTO;PARTITO DEMOCRATICO;9004;;
BENEVENTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;6283;;
BENEVENTO;FORZA ITALIA;5382;;
BENEVENTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1232;;
BENEVENTO;NUOVO CENTRO DESTRA - UDC;854;;
BENEVENTO;L'ALTRA EUROPA CON TSIPRAS;798;;
BENEVENTO;ITALIA DEI VALORI;353;;
BENEVENTO;VERDI EUROPEI-GREEN ITALIA;157;;
BENEVENTO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;147;;
BENEVENTO;SCELTA EUROPEA;108;;
BENEVENTO;IO CAMBIO - MAIE;33;;
BONEA;PARTITO DEMOCRATICO;161;;
BONEA;FORZA ITALIA;123;;
BONEA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;102;;
BONEA;NUOVO CENTRO DESTRA - UDC;91;;
BONEA;L'ALTRA EUROPA CON TSIPRAS;14;;
BONEA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;6;;
BONEA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;3;;
BONEA;VERDI EUROPEI-GREEN ITALIA;3;;
