

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
APRILIA ;53359;28366;164;1022;
BASSIANO ;1364;722;14;43;
CAMPODIMELE ;798;381;3;11;
CASTELFORTE ;4019;2374;33;147;
CISTERNA DI LATINA ;27842;22180;931;1974;
CORI ;8531;4878;35;204;
FONDI ;31108;17114;151;1039;
FORMIA ;32378;15781;165;657;
GAETA ;18767;9026;71;317;
ITRI ;8940;4820;60;264;
LATINA ;103144;57136;345;2571;
LENOLA ;3754;1966;34;122;
MAENZA ;2516;2126;133;249;
MINTURNO ;19106;8956;76;390;
MONTE SAN BIAGIO ;5217;4335;251;468;
NORMA ;3224;1898;21;105;
PONTINIA ;11198;6032;51;355;
PONZA ;3450;927;9;36;
PRIVERNO ;11422;5787;64;362;
PROSSEDI ;1198;899;62;118;
ROCCAGORGA ;3683;3117;170;317;
ROCCA MASSIMA ;955;830;55;86;
ROCCASECCA DEI VOLSCI ;946;639;5;36;
SABAUDIA ;15262;7571;51;292;
SAN FELICE CIRCEO ;7680;3466;19;160;
SANTI COSMA E DAMIANO ;5937;3460;51;186;
SERMONETA ;7621;6037;222;507;
SEZZE ;18418;8636;87;468;
SONNINO ;6054;3086;41;198;
SPERLONGA ;3027;2119;28;118;
SPIGNO SATURNIA ;2925;2013;88;215;
TERRACINA ;36250;18100;114;757;
VENTOTENE ;620;336;1;5;
