

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALTOPASCIO ;11242;6396;49;261;
BAGNI DI LUCCA ;6220;2612;14;104;
BARGA ;8760;6125;174;416;
BORGO A MOZZANO ;6489;4391;173;379;
CAMAIORE ;27341;14401;103;461;
CAMPORGIANO ;2154;1481;66;137;
CAPANNORI ;39791;25118;645;1595;
CAREGGINE ;733;432;28;38;
CASTELNUOVO DI GARFAGNANA ;5785;3987;136;253;
CASTIGLIONE DI GARFAGNANA ;1623;1331;66;116;
COREGLIA ANTELMINELLI ;4807;2668;27;117;
FABBRICHE DI VERGEMOLI ;948;613;44;72;
FORTE DEI MARMI ;6576;3645;23;112;
FOSCIANDORA ;565;429;21;34;
GALLICANO ;3337;2485;92;215;
GIUNCUGNANO ;524;343;14;38;
LUCCA ;76022;39185;205;1015;
MASSAROSA ;18995;12826;271;788;
MINUCCIANO ;1954;1485;66;140;
MOLAZZANA ;1227;737;22;39;
MONTECARLO ;3701;2695;88;193;
PESCAGLIA ;3317;2298;74;186;
PIAZZA AL SERCHIO ;2333;1314;10;54;
PIETRASANTA ;20871;10770;68;448;
PIEVE FOSCIANA ;2293;1303;21;62;
PORCARI ;6785;3901;32;122;
SAN ROMANO IN GARFAGNANA ;1357;966;71;111;
SERAVEZZA ;11170;5843;41;262;
SILLANO ;643;477;28;60;
STAZZEMA ;3267;1902;85;219;
VAGLI SOTTO ;1032;751;42;92;
VIAREGGIO ;51579;27742;113;600;
VILLA BASILICA ;1670;1100;49;100;
VILLA COLLEMANDINA ;1437;938;40;86;
