

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AGUGLIANO ;4001;3083;75;138;
ANCONA ;79552;46444;266;854;
ARCEVIA ;4174;2870;106;202;
BARBARA ;1094;939;61;80;
BELVEDERE OSTRENSE ;2006;1435;65;103;
CAMERANO ;6432;3676;25;110;
CAMERATA PICENA ;2068;1479;31;79;
CASTELBELLINO ;3726;2815;71;149;
CASTELFIDARDO ;15273;8595;69;268;
CASTELLEONE DI SUASA ;1381;1151;54;87;
CASTELPLANIO ;2772;2018;66;139;
CERRETO D'ESI ;3000;2042;81;174;
CHIARAVALLE ;11882;7481;66;191;
CORINALDO ;4281;2619;42;92;
CUPRAMONTANA ;4140;2376;38;122;
FABRIANO ;24740;14511;137;520;
FALCONARA MARITTIMA ;21334;13406;80;270;
FILOTTRANO ;8347;5811;270;474;
GENGA ;1531;1248;68;114;
JESI ;32144;20874;161;513;
LORETO ;11198;6437;77;242;
MAIOLATI SPONTINI ;5112;3748;111;203;
MERGO ;837;677;29;44;
MONSANO ;2751;2115;53;97;
MONTECAROTTO ;1916;1213;22;50;
MONTEMARCIANO ;8241;5746;125;276;
MONTE ROBERTO ;2283;1745;57;95;
MONTE SAN VITO ;5604;4080;75;182;
MORRO D'ALBA ;1593;994;19;45;
NUMANA ;3360;2317;61;126;
OFFAGNA ;1771;1294;52;91;
OSIMO ;29212;20271;627;1198;
OSTRA ;5526;3848;160;280;
OSTRA VETERE ;2901;1768;29;78;
POGGIO SAN MARCELLO ;610;478;32;45;
POLVERIGI ;3756;2761;51;131;
ROSORA ;1523;969;15;48;
SAN MARCELLO ;1804;1370;34;67;
SAN PAOLO DI JESI ;748;594;34;61;
SANTA MARIA NUOVA ;3565;2139;27;86;
SASSOFERRATO ;5837;4264;177;344;
SENIGALLIA ;37134;22000;181;584;
SERRA DE' CONTI ;2959;2219;55;101;
SERRA SAN QUIRICO ;2376;1805;77;130;
SIROLO ;3620;2537;73;142;
STAFFOLO ;1930;1363;53;109;
TRECASTELLI ;6117;4397;156;241;
