

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALFONSINE ;9580;7361;85;224;
BAGNACAVALLO ;13165;10007;119;346;
BAGNARA DI ROMAGNA ;1772;1290;13;32;
BRISIGHELLA ;6162;4635;103;241;
CASOLA VALSENIO ;2189;1660;34;99;
CASTEL BOLOGNESE ;7241;5244;89;223;
CERVIA ;22801;16713;207;575;
CONSELICE ;7271;5356;68;186;
COTIGNOLA ;5920;4511;55;152;
FAENZA ;44835;29994;198;726;
FUSIGNANO ;6277;4645;56;162;
LUGO ;25167;19046;253;650;
MASSA LOMBARDA ;7631;5709;68;148;
RAVENNA ;121726;81326;421;1997;
RIOLO TERME ;4480;2999;25;79;
RUSSI ;9386;7078;141;336;
SANT'AGATA SUL SANTERNO ;2179;1629;38;84;
SOLAROLO ;3305;2532;51;111;
