

Ente;Liste/Gruppi;Voti;
ACATE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;826;;
ACATE;PARTITO DEMOCRATICO;634;;
ACATE;FORZA ITALIA;503;;
ACATE;NUOVO CENTRO DESTRA - UDC;151;;
ACATE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;44;;
ACATE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;25;;
ACATE;L'ALTRA EUROPA CON TSIPRAS;22;;
ACATE;VERDI EUROPEI-GREEN ITALIA;5;;
ACATE;IO CAMBIO - MAIE;3;;
ACATE;ITALIA DEI VALORI;3;;
ACATE;SCELTA EUROPEA;3;;
CHIARAMONTE GULFI;PARTITO DEMOCRATICO;1361;;
CHIARAMONTE GULFI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;799;;
CHIARAMONTE GULFI;FORZA ITALIA;330;;
CHIARAMONTE GULFI;NUOVO CENTRO DESTRA - UDC;98;;
CHIARAMONTE GULFI;L'ALTRA EUROPA CON TSIPRAS;87;;
CHIARAMONTE GULFI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;66;;
CHIARAMONTE GULFI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;20;;
CHIARAMONTE GULFI;SCELTA EUROPEA;14;;
CHIARAMONTE GULFI;VERDI EUROPEI-GREEN ITALIA;9;;
CHIARAMONTE GULFI;ITALIA DEI VALORI;6;;
CHIARAMONTE GULFI;IO CAMBIO - MAIE;2;;
COMISO;PARTITO DEMOCRATICO;2925;;
COMISO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2725;;
COMISO;FORZA ITALIA;2048;;
COMISO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;449;;
COMISO;NUOVO CENTRO DESTRA - UDC;259;;
COMISO;L'ALTRA EUROPA CON TSIPRAS;242;;
COMISO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;54;;
COMISO;VERDI EUROPEI-GREEN ITALIA;35;;
COMISO;ITALIA DEI VALORI;18;;
COMISO;SCELTA EUROPEA;11;;
COMISO;IO CAMBIO - MAIE;7;;
GIARRATANA;PARTITO DEMOCRATICO;565;;
GIARRATANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;313;;
GIARRATANA;FORZA ITALIA;116;;
GIARRATANA;NUOVO CENTRO DESTRA - UDC;49;;
GIARRATANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;30;;
GIARRATANA;L'ALTRA EUROPA CON TSIPRAS;18;;
GIARRATANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;9;;
GIARRATANA;ITALIA DEI VALORI;8;;
GIARRATANA;SCELTA EUROPEA;8;;
GIARRATANA;VERDI EUROPEI-GREEN ITALIA;5;;
GIARRATANA;IO CAMBIO - MAIE;2;;
ISPICA;FORZA ITALIA;2317;;
