

Ente;Liste/Gruppi;Voti;
ABRIOLA;PARTITO DEMOCRATICO;371;;
ABRIOLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;122;;
ABRIOLA;SCELTA EUROPEA;60;;
ABRIOLA;NUOVO CENTRO DESTRA - UDC;42;;
ABRIOLA;FORZA ITALIA;41;;
ABRIOLA;L'ALTRA EUROPA CON TSIPRAS;16;;
ABRIOLA;ITALIA DEI VALORI;15;;
ABRIOLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;15;;
ABRIOLA;VERDI EUROPEI-GREEN ITALIA;3;;
ABRIOLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;3;;
ABRIOLA;IO CAMBIO - MAIE;1;;
ACERENZA;PARTITO DEMOCRATICO;275;;
ACERENZA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;246;;
ACERENZA;FORZA ITALIA;181;;
ACERENZA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;99;;
ACERENZA;NUOVO CENTRO DESTRA - UDC;47;;
ACERENZA;L'ALTRA EUROPA CON TSIPRAS;24;;
ACERENZA;SCELTA EUROPEA;21;;
ACERENZA;VERDI EUROPEI-GREEN ITALIA;18;;
ACERENZA;ITALIA DEI VALORI;17;;
ACERENZA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;7;;
ACERENZA;IO CAMBIO - MAIE;3;;
ALBANO DI LUCANIA;PARTITO DEMOCRATICO;330;;
ALBANO DI LUCANIA;FORZA ITALIA;59;;
ALBANO DI LUCANIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;50;;
ALBANO DI LUCANIA;L'ALTRA EUROPA CON TSIPRAS;15;;
ALBANO DI LUCANIA;NUOVO CENTRO DESTRA - UDC;15;;
ALBANO DI LUCANIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;9;;
ALBANO DI LUCANIA;VERDI EUROPEI-GREEN ITALIA;8;;
ALBANO DI LUCANIA;ITALIA DEI VALORI;4;;
ALBANO DI LUCANIA;SCELTA EUROPEA;4;;
ALBANO DI LUCANIA;IO CAMBIO - MAIE;2;;
ALBANO DI LUCANIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;2;;
ANZI;PARTITO DEMOCRATICO;559;;
ANZI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;200;;
ANZI;FORZA ITALIA;75;;
ANZI;NUOVO CENTRO DESTRA - UDC;53;;
ANZI;L'ALTRA EUROPA CON TSIPRAS;45;;
ANZI;ITALIA DEI VALORI;38;;
ANZI;SCELTA EUROPEA;28;;
ANZI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;18;;
ANZI;VERDI EUROPEI-GREEN ITALIA;17;;
ANZI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
ANZI;IO CAMBIO - MAIE;4;;
ARMENTO;PARTITO DEMOCRATICO;166;;
ARMENTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;48;;
ARMENTO;FORZA ITALIA;36;;
ARMENTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;25;;
