

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ABANO TERME ;15750;9745;48;247;
AGNA ;2731;2136;81;172;
ALBIGNASEGO ;19748;13254;91;450;
ANGUILLARA VENETA ;3872;2759;69;173;
ARQUA' PETRARCA ;1584;1274;42;78;
ARRE ;1833;1204;23;79;
ARZERGRANDE ;3994;2449;17;94;
BAGNOLI DI SOPRA ;2878;2152;98;169;
BAONE ;2782;2081;56;100;
BARBONA ;610;421;28;51;
BATTAGLIA TERME ;3096;2347;46;105;
BOARA PISANI ;2169;1353;17;49;
BORGORICCO ;6669;4880;125;282;
BOVOLENTA ;2783;1687;8;45;
BRUGINE ;5555;4180;86;237;
CADONEGHE ;12103;8849;106;330;
CAMPODARSEGO ;11383;7248;69;318;
CAMPODORO ;2144;1596;32;75;
CAMPOSAMPIERO ;8964;6699;186;432;
CAMPO SAN MARTINO ;4469;3487;77;254;
CANDIANA ;1995;1555;43;110;
CARCERI ;1334;1013;39;76;
CARMIGNANO DI BRENTA ;5936;4592;122;309;
CARTURA ;3740;2290;26;92;
CASALE DI SCODOSIA ;3848;2949;94;224;
CASALSERUGO ;4486;2985;32;141;
CASTELBALDO ;1335;743;9;22;
CERVARESE SANTA CROCE ;4498;3471;100;225;
CINTO EUGANEO ;1764;1289;36;89;
CITTADELLA ;16599;10292;92;441;
CODEVIGO ;5146;2924;22;101;
CONSELVE ;7994;4921;57;195;
CORREZZOLA ;4512;3171;96;213;
CURTAROLO ;5686;4306;103;261;
DUE CARRARE ;7182;4540;35;160;
ESTE ;13671;8367;60;277;
FONTANIVA ;6762;4900;156;360;
GALLIERA VENETA ;6119;4302;97;266;
GALZIGNANO TERME ;3743;2064;20;94;
GAZZO ;3396;1883;17;69;
GRANTORTO ;3523;2169;14;112;
GRANZE ;1581;832;16;52;
LEGNARO ;6779;4972;69;202;
LIMENA ;5961;4703;78;248;
LOREGGIA ;5500;3183;27;124;
LOZZO ATESTINO ;2799;1639;28;92;
MASERA' DI PADOVA ;7158;4404;39;171;
MASI ;1526;1123;36;77;
MASSANZAGO ;4365;3193;93;191;
MEGLIADINO SAN FIDENZIO ;1662;1239;36;81;
MEGLIADINO SAN VITALE ;1612;1235;34;88;
MERLARA ;2403;1333;13;64;
MESTRINO ;8073;5011;23;156;
MONSELICE ;14372;10993;264;634;
MONTAGNANA ;7662;4367;49;167;
MONTEGROTTO TERME ;8965;5572;31;146;
NOVENTA PADOVANA ;8328;5361;31;143;
OSPEDALETTO EUGANEO ;4610;2769;31;120;
PADOVA ;159286;114442;1429;3798;
PERNUMIA ;3172;1980;20;71;
PIACENZA D'ADIGE ;1177;864;41;85;
PIAZZOLA SUL BRENTA ;8900;6747;122;305;
PIOMBINO DESE ;7173;4287;51;199;
PIOVE DI SACCO ;15080;9387;59;314;
POLVERARA ;2596;2121;48;109;
PONSO ;2032;1657;107;162;
PONTELONGO ;2973;2223;64;148;
PONTE SAN NICOLO' ;10689;8226;131;368;
POZZONOVO ;3055;2357;77;145;
ROVOLON ;3769;2117;21;79;
RUBANO ;12302;8781;144;366;
SACCOLONGO ;4039;2952;64;186;
SALETTO ;2334;1744;49;130;
SAN GIORGIO DELLE PERTICHE ;7372;5695;138;321;
SAN GIORGIO IN BOSCO ;5129;4006;124;257;
SAN MARTINO DI LUPARI ;10910;7821;145;432;
SAN PIETRO IN GU ;3528;2852;98;216;
SAN PIETRO VIMINARIO ;2414;1818;44;93;
SANTA GIUSTINA IN COLLE ;5696;4370;121;293;
SANTA MARGHERITA D'ADIGE ;1960;1058;12;50;
SANT'ANGELO DI PIOVE DI SACCO ;5641;3554;15;100;
SANT'ELENA ;2042;1503;45;115;
SANT'URBANO ;1865;1046;9;34;
SAONARA ;7629;4992;24;156;
SELVAZZANO DENTRO ;17514;12820;231;580;
SOLESINO ;5705;3277;35;143;
STANGHELLA ;3515;2692;87;165;
TEOLO ;7478;4518;33;151;
TERRASSA PADOVANA ;2114;1632;47;104;
TOMBOLO ;6565;4707;141;324;
TORREGLIA ;5064;3019;18;100;
TREBASELEGHE ;9638;7250;180;413;
TRIBANO ;3499;2707;58;119;
URBANA ;1813;1480;56;113;
VEGGIANO ;3329;2018;9;71;
VESCOVANA ;1546;887;16;32;
VIGHIZZOLO D'ESTE ;789;637;37;80;
VIGODARZERE ;10155;6656;44;204;
VIGONZA ;17655;11382;68;354;
VILLA DEL CONTE ;4435;3416;85;224;
VILLA ESTENSE ;2063;1487;48;100;
VILLAFRANCA PADOVANA ;7741;5833;127;288;
VILLANOVA DI CAMPOSAMPIERO ;4646;3053;28;129;
VO' ;3010;2174;51;125;
